VarName;RhoReference;RhoEstimated;k;N;k_N;Smaup;reject
SAR1;0.7;0.672390193;156;30;0.173333333;0.378007501;1
SAR1;0.7;0.681248737;167;30;0.185555556;0.354606654;1
SAR1;0.7;0.572206781;370;30;0.411111111;0.179041325;1
SAR1;0.7;0.687844265;123;30;0.136666667;0.422577808;1
SAR1;0.7;0.693686896;98;30;0.108888889;0.472197301;1
SAR1;0.7;0.711906787;163;30;0.181111111;0.336741899;1
SAR1;0.7;0.658604323;59;30;0.065555556;0.623282127;1
SAR1;0.7;0.707430424;105;30;0.116666667;0.442851161;1
SAR1;0.7;0.688005383;249;30;0.276666667;0.253212825;1
SAR1;0.7;0.677586774;123;30;0.136666667;0.431567018;1
SAR1;0.7;0.705498426;179;30;0.198888889;0.320292873;1
SAR1;0.7;0.704319713;220;30;0.244444444;0.273735511;1
SAR1;0.7;0.682724923;118;30;0.131111111;0.437130838;1
SAR1;0.7;0.679304925;278;30;0.308888889;0.229293283;1
SAR1;0.7;0.661058909;83;30;0.092222222;0.542308096;1
SAR1;0.7;0.699029672;293;30;0.325555556;0.207246293;1
SAR1;0.7;0.707858313;292;30;0.324444444;0.204461503;1
SAR1;0.7;0.672377951;193;30;0.214444444;0.325823895;1
SAR1;0.7;0.665166327;207;30;0.23;0.313108794;1
SAR1;0.7;0.659729432;63;30;0.07;0.607774833;1
SAR1;0.7;0.706140475;297;30;0.33;0.200968318;1
SAR1;0.7;0.712929617;154;30;0.171111111;0.348786881;1
SAR1;0.7;0.692956769;40;30;0.044444444;0.676856107;1
SAR1;0.7;0.721407848;182;30;0.202222222;0.30514736;1
SAR1;0.7;0.697760542;54;30;0.06;0.609612705;1
SAR1;0.7;0.735238592;169;30;0.187777778;0.311091227;1
SAR1;0.7;0.692010694;64;30;0.071111111;0.575873666;1
SAR1;0.7;0.676537298;221;30;0.245555556;0.289482163;1
SAR1;0.7;0.671756582;28;30;0.031111111;0.752236657;1
SAR1;0.7;0.683252289;183;30;0.203333333;0.33114767;1
SAR1;0.7;0.680754931;240;30;0.266666667;0.266349712;1
SAR1;0.7;0.686456754;65;30;0.072222222;0.577277722;1
SAR1;0.7;0.681788643;50;30;0.055555556;0.639979057;1
SAR1;0.7;0.646442442;313;30;0.347777778;0.209802716;1
SAR1;0.7;0.710130904;214;30;0.237777778;0.276536087;1
SAR1;0.7;0.715824245;90;30;0.1;0.471956822;1
SAR1;0.7;0.670731511;142;30;0.157777778;0.402344538;1
SAR1;0.7;0.721762225;41;30;0.045555556;0.648977469;1
SAR1;0.7;0.701172735;71;30;0.078888889;0.542931449;1
SAR1;0.7;0.690813302;261;30;0.29;0.240026284;1
SAR1;0.7;0.711322718;201;30;0.223333333;0.289976784;1
SAR1;0.7;0.653172851;133;30;0.147777778;0.433228904;1
SAR1;0.7;0.683464351;150;30;0.166666667;0.37862818;1
SAR1;0.7;0.762305927;94;30;0.104444444;0.416997089;1
SAR1;0.7;0.628902898;190;30;0.211111111;0.359933056;1
SAR1;0.7;0.636317692;111;30;0.123333333;0.492943156;1
SAR1;0.7;0.663697889;33;30;0.036666667;0.731448044;1
