VarName;RhoReference;RhoEstimated;k;N;k_N;Smaup;reject
SAR1;-0.9;-0.908938361;466;30;0.517777778;0.185705052;1
SAR1;-0.9;-0.885919318;536;30;0.595555556;0.114682522;1
SAR1;-0.9;-0.850957543;19;30;0.021111111;0.884958958;1
SAR1;-0.9;-0.903774188;396;30;0.44;0.284656877;1
SAR1;-0.9;-0.89311294;336;30;0.373333333;0.389908106;1
SAR1;-0.9;-0.919277597;584;30;0.648888889;0.080681009;1
SAR1;-0.9;-0.912741981;522;30;0.58;0.126968062;1
SAR1;-0.9;-0.908438395;537;30;0.596666667;0.114059198;1
SAR1;-0.9;-0.901949162;187;30;0.207777778;0.673441753;1
SAR1;-0.9;-0.901099946;632;30;0.702222222;0.055497308;1
SAR1;-0.9;-0.901758615;99;30;0.11;0.804344167;1
SAR1;-0.9;-0.90740137;490;30;0.544444444;0.158346252;1
SAR1;-0.9;-0.907099998;557;30;0.618888889;0.098598418;1
SAR1;-0.9;-0.888485457;207;30;0.23;0.637980671;1
SAR1;-0.9;-0.900192967;520;30;0.577777778;0.128657781;1
SAR1;-0.9;-0.88792578;569;30;0.632222222;0.090056023;1
SAR1;-0.9;-0.892407287;237;30;0.263333333;0.582047316;1
SAR1;-0.9;-0.891424672;365;30;0.405555556;0.336992258;1
SAR1;-0.9;-0.904511476;513;30;0.57;0.135172534;1
SAR1;-0.9;-0.919004546;176;30;0.195555556;0.692183175;1
SAR1;-0.9;-0.903509048;505;30;0.561111111;0.142884296;1
SAR1;-0.9;-0.905292598;181;30;0.201111111;0.683718074;1
SAR1;-0.9;-0.885414926;26;30;0.028888889;0.879265127;1
SAR1;-0.9;-0.908110829;545;30;0.605555556;0.107648797;1
SAR1;-0.9;-0.892575259;245;30;0.272222222;0.566689025;1
SAR1;-0.9;-0.907518802;348;30;0.386666667;0.36776561;1
SAR1;-0.9;-0.912695489;327;30;0.363333333;0.407082406;1
SAR1;-0.9;-0.904511618;478;30;0.531111111;0.171573698;1
SAR1;-0.9;-0.89982785;566;30;0.628888889;0.092189257;1
SAR1;-0.9;-0.86895233;337;30;0.374444444;0.387804995;1
SAR1;-0.9;-0.913240565;654;30;0.726666667;0.046583494;1
SAR1;-0.9;-0.895998082;154;30;0.171111111;0.727601768;1
SAR1;-0.9;-0.893614693;220;30;0.244444444;0.614125279;1
SAR1;-0.9;-0.882298193;703;30;0.781111111;0.030918745;1
SAR1;-0.9;-0.891545929;105;30;0.116666667;0.796822241;1
SAR1;-0.9;-0.874527085;384;30;0.426666667;0.304101694;1
SAR1;-0.9;-0.902219715;277;30;0.307777778;0.504286132;1
SAR1;-0.9;-0.903097003;407;30;0.452222222;0.267229865;1
SAR1;-0.9;-0.907328968;184;30;0.204444444;0.678615913;1
SAR1;-0.9;-0.904497088;313;30;0.347777778;0.433880068;1
SAR1;-0.9;-0.889294338;212;30;0.235555556;0.628873075;1
SAR1;-0.9;-0.913315797;330;30;0.366666667;0.401394305;1
SAR1;-0.9;-0.90474493;365;30;0.405555556;0.337119233;1
SAR1;-0.9;-0.88451008;301;30;0.334444444;0.457051016;1
SAR1;-0.9;-0.911952378;142;30;0.157777778;0.745885078;1
SAR1;-0.9;-0.902705876;316;30;0.351111111;0.428071402;1
SAR1;-0.9;-0.889005209;286;30;0.317777778;0.486496317;1
SAR1;-0.9;-0.904292059;369;30;0.41;0.330087683;1
SAR1;-0.9;-0.914215607;546;30;0.606666667;0.106920876;1
SAR1;-0.9;-0.873590016;402;30;0.446666667;0.27476302;1
SAR1;-0.9;-0.900294138;539;30;0.598888889;0.112357469;1
SAR1;-0.9;-0.890966548;665;30;0.738888889;0.042481182;1
SAR1;-0.9;-0.880201021;372;30;0.413333333;0.324628323;1
SAR1;-0.9;-0.905801485;592;30;0.657777778;0.075823304;1
SAR1;-0.9;-0.901758106;430;30;0.477777778;0.232990202;1
SAR1;-0.9;-0.895289426;443;30;0.492222222;0.214940316;1
SAR1;-0.9;-0.864063216;192;30;0.213333333;0.664588776;1
SAR1;-0.9;-0.91501916;132;30;0.146666667;0.760459288;1
SAR1;-0.9;-0.879409651;35;30;0.038888889;0.871577873;1
SAR1;-0.9;-0.913637049;274;30;0.304444444;0.510259418;1
SAR1;-0.9;-0.897861785;295;30;0.327777778;0.46889967;1
SAR1;-0.9;-0.880712862;302;30;0.335555556;0.455065896;1
SAR1;-0.9;-0.873061382;340;30;0.377777778;0.382239241;1
SAR1;-0.9;-0.916045133;219;30;0.243333333;0.61609646;1
SAR1;-0.9;-0.876720656;161;30;0.178888889;0.716523906;1
SAR1;-0.9;-0.895485689;538;30;0.597777778;0.113128026;1
SAR1;-0.9;-0.890788038;694;30;0.771111111;0.033394907;1
SAR1;-0.9;-0.898280742;22;30;0.024444444;0.882553251;1
SAR1;-0.9;-0.906831835;230;30;0.255555556;0.595435413;1
SAR1;-0.9;-0.911452541;532;30;0.591111111;0.11824962;1
SAR1;-0.9;-0.880126368;476;30;0.528888889;0.173619441;1
SAR1;-0.9;-0.891456767;494;30;0.548888889;0.153956598;1
SAR1;-0.9;-0.894730403;453;30;0.503333333;0.201780341;1
SAR1;-0.9;-0.902299206;162;30;0.18;0.715013066;1
SAR1;-0.9;-0.879327235;599;30;0.665555556;0.071671813;1
SAR1;-0.9;-0.892940916;478;30;0.531111111;0.171459852;1
SAR1;-0.9;-0.885200094;505;30;0.561111111;0.142709599;1
SAR1;-0.9;-0.898577445;541;30;0.601111111;0.110731365;1
SAR1;-0.9;-0.896078377;487;30;0.541111111;0.161473477;1
SAR1;-0.9;-0.919126263;40;30;0.044444444;0.86714428;1
SAR1;-0.9;-0.93055025;86;30;0.095555556;0.819910937;1
SAR1;-0.9;-0.900690471;224;30;0.248888889;0.606695898;1
SAR1;-0.9;-0.909093268;713;30;0.792222222;0.028487232;1
SAR1;-0.9;-0.906667531;249;30;0.276666667;0.55904512;1
SAR1;-0.9;-0.908380508;548;30;0.608888889;0.105327454;1
SAR1;-0.9;-0.875605814;27;30;0.03;0.878428988;1
SAR1;-0.9;-0.909628567;39;30;0.043333333;0.868040622;1
SAR1;-0.9;-0.897231127;400;30;0.444444444;0.278181023;1
SAR1;-0.9;-0.906809552;227;30;0.252222222;0.601095211;1
SAR1;-0.9;-0.914915042;653;30;0.725555556;0.046971139;1
SAR1;-0.9;-0.888901855;578;30;0.642222222;0.08418526;1
SAR1;-0.9;-0.891689538;265;30;0.294444444;0.527766969;1
SAR1;-0.9;-0.898858258;557;30;0.618888889;0.09853029;1
SAR1;-0.9;-0.910219989;477;30;0.53;0.172770816;1
SAR1;-0.9;-0.887765401;35;30;0.038888889;0.871580642;1
SAR1;-0.9;-0.912526138;499;30;0.554444444;0.148988538;1
SAR1;-0.9;-0.881649285;113;30;0.125555556;0.786463021;1
SAR1;-0.9;-0.903161997;189;30;0.21;0.669987239;1
SAR1;-0.9;-0.906227743;102;30;0.113333333;0.800624592;1
SAR1;-0.9;-0.897692055;559;30;0.621111111;0.097078515;1
SAR1;-0.9;-0.905795466;396;30;0.44;0.284676611;1
SAR1;-0.9;-0.875736049;650;30;0.722222222;0.047907097;1
