VarName;RhoReference;RhoEstimated;k;N;k_N;Smaup;reject
SAR1;0;0.061163784;480;30;0.533333333;0.139688263;1
SAR1;0;-0.068259101;96;30;0.106666667;0.793549954;1
SAR1;0;-0.071479617;126;30;0.14;0.749524516;1
SAR1;0;0.068306547;321;30;0.356666667;0.364183062;1
SAR1;0;-0.014120422;332;30;0.368888889;0.356106638;1
SAR1;0;0.011816271;464;30;0.515555556;0.159285755;1
SAR1;0;-0.009411259;409;30;0.454444444;0.229653268;1
SAR1;0;0.08125543;477;30;0.53;0.141271114;1
SAR1;0;0.080241023;104;30;0.115555556;0.766530792;1
SAR1;0;-0.086354452;321;30;0.356666667;0.38518632;1
SAR1;0;0.022756092;44;30;0.048888889;0.854651657;1
SAR1;0;0.041414763;433;30;0.481111111;0.193092898;1
SAR1;0;-0.0344501;151;30;0.167777778;0.704789147;1
SAR1;0;0.028506895;236;30;0.262222222;0.535761584;1
SAR1;0;-0.076743151;145;30;0.161111111;0.71944964;1
SAR1;0;0.053048712;66;30;0.073333333;0.825114468;1
SAR1;0;-0.001292475;35;30;0.038888889;0.865711435;1
SAR1;0;-0.03587686;407;30;0.452222222;0.234886343;1
SAR1;0;0.006049453;171;30;0.19;0.664019855;1
SAR1;0;-0.087285457;120;30;0.133333333;0.760067652;1
SAR1;0;0.025697326;152;30;0.168888889;0.694931693;1
SAR1;0;0.058652494;170;30;0.188888889;0.657076414;1
SAR1;0;0.087427336;443;30;0.492222222;0.177025562;1
SAR1;0;0.079780357;436;30;0.484444444;0.185998718;1
SAR1;0;-0.041163345;145;30;0.161111111;0.715727678;1
SAR1;0;0.073281699;518;30;0.575555556;0.10623032;1
SAR1;0;-0.062381343;391;30;0.434444444;0.261212352;1
SAR1;0;0.018931208;512;30;0.568888889;0.113551757;1
SAR1;0;0.014096169;564;30;0.626666667;0.077614771;1
SAR1;0;-0.008762079;202;30;0.224444444;0.608339058;1
SAR1;0;-0.022725036;109;30;0.121111111;0.771032126;1
SAR1;0;-0.026904511;51;30;0.056666667;0.8486441;1
SAR1;0;-0.019980942;319;30;0.354444444;0.380953665;1
SAR1;0;0.050918257;527;30;0.585555556;0.100520009;1
SAR1;0;0.041789731;395;30;0.438888889;0.244786682;1
SAR1;0;0.060317457;290;30;0.322222222;0.423832365;1
SAR1;0;0.006878202;457;30;0.507777778;0.167333377;1
SAR1;0;-0.017461777;428;30;0.475555556;0.204417632;1
SAR1;0;0.067268419;20;30;0.022222222;0.880034985;1
SAR1;0;-0.011647703;87;30;0.096666667;0.801816635;1
SAR1;0;0.017245222;27;30;0.03;0.873776614;1
SAR1;0;0.021949462;216;30;0.24;0.576249729;1
SAR1;0;0.009358396;388;30;0.431111111;0.258816036;1
SAR1;0;-0.061293218;436;30;0.484444444;0.197366363;1
SAR1;0;0.043873965;122;30;0.135555556;0.742917043;1
SAR1;0;-8.16E-05;215;30;0.238888889;0.581858693;1
SAR1;0;0.044881332;187;30;0.207777778;0.627919207;1
SAR1;0;0.028915663;361;30;0.401111111;0.299809976;1
SAR1;0;-0.015894101;231;30;0.256666667;0.552940456;1
SAR1;0;0.01180919;132;30;0.146666667;0.730899126;1
SAR1;0;0.034880179;65;30;0.072222222;0.827853184;1
SAR1;0;0.023286208;587;30;0.652222222;0.064989934;1
SAR1;0;-0.03962727;114;30;0.126666667;0.765084993;1
SAR1;0;0.024411287;475;30;0.527777778;0.146969049;1
SAR1;0;-0.013590904;137;30;0.152222222;0.725835385;1
SAR1;0;0.062622779;572;30;0.635555556;0.071697582;1
SAR1;0;-0.054710865;115;30;0.127777778;0.764928616;1
SAR1;0;0.033416228;434;30;0.482222222;0.192533536;1
SAR1;0;0.030249259;89;30;0.098888889;0.795218456;1
SAR1;0;-0.008934331;101;30;0.112222222;0.781592099;1
SAR1;0;0.056336084;433;30;0.481111111;0.191779603;1
SAR1;0;-0.022781362;300;30;0.333333333;0.417580661;1
SAR1;0;-0.076858983;300;30;0.333333333;0.424494762;1
SAR1;0;0.047924384;486;30;0.54;0.134796785;1
SAR1;0;0.014085248;79;30;0.087777778;0.810732252;1
SAR1;0;0.005939594;403;30;0.447777778;0.236806272;1
SAR1;0;0.067843994;181;30;0.201111111;0.634900378;1
SAR1;0;0.08313978;502;30;0.557777778;0.118543564;1
SAR1;0;0.055904138;368;30;0.408888889;0.284839547;1
SAR1;0;-0.055398355;127;30;0.141111111;0.746484463;1
SAR1;0;0.021162898;305;30;0.338888889;0.401571685;1
SAR1;0;-0.057415003;254;30;0.282222222;0.51318908;1
SAR1;0;-0.019616955;304;30;0.337777778;0.409426595;1
SAR1;0;0.014980935;41;30;0.045555556;0.858451706;1
SAR1;0;0.051707659;93;30;0.103333333;0.787061703;1
SAR1;0;0.000866422;308;30;0.342222222;0.398880165;1
SAR1;0;-0.086073508;275;30;0.305555556;0.474926194;1
SAR1;0;-0.012558344;89;30;0.098888889;0.799106606;1
SAR1;0;0.015484916;231;30;0.256666667;0.547894777;1
SAR1;0;-0.136180908;66;30;0.073333333;0.835301215;1
SAR1;0;0.091307112;254;30;0.282222222;0.488052687;1
SAR1;0;-0.126625805;123;30;0.136666667;0.75840418;1
SAR1;0;-0.133915063;395;30;0.438888889;0.260874113;1
SAR1;0;0.003592275;189;30;0.21;0.631104756;1
SAR1;0;-0.04615509;80;30;0.088888889;0.813742032;1
SAR1;0;-0.014796564;71;30;0.078888889;0.823474909;1
SAR1;0;0.02573351;112;30;0.124444444;0.761213479;1
SAR1;0;-0.0020962;441;30;0.49;0.186754406;1
SAR1;0;0.055332058;370;30;0.411111111;0.281691847;1
SAR1;0;-0.054122648;481;30;0.534444444;0.145468879;1
SAR1;0;-0.005863783;76;30;0.084444444;0.816314673;1
SAR1;0;-0.006790659;403;30;0.447777778;0.238031376;1
SAR1;0;0.070080992;229;30;0.254444444;0.541721765;1
SAR1;0;-0.040434156;266;30;0.295555556;0.486969076;1
SAR1;0;0.122829497;494;30;0.548888889;0.123005868;1
SAR1;0;0.013844838;310;30;0.344444444;0.393182714;1
SAR1;0;0.013934584;23;30;0.025555556;0.878005277;1
SAR1;0;0.03586478;263;30;0.292222222;0.48097002;1
SAR1;0;-0.011205822;505;30;0.561111111;0.120851632;1
SAR1;0;-0.038715447;315;30;0.35;0.390932552;1
SAR1;0;0.025539333;337;30;0.374444444;0.341759244;1
SAR1;0;-0.041482642;126;30;0.14;0.746701412;1
SAR1;0;0.02810369;149;30;0.165555556;0.699797941;1
SAR1;0;0.039586651;127;30;0.141111111;0.735344431;1
SAR1;0;-0.054890885;25;30;0.027777778;0.877199248;1
SAR1;0;0.054189126;334;30;0.371111111;0.342950716;1
SAR1;0;0.02114772;272;30;0.302222222;0.465707863;1
SAR1;0;0.038459467;279;30;0.31;0.44902636;1
SAR1;0;0.024727006;44;30;0.048888889;0.854562948;1
SAR1;0;0.062078986;213;30;0.236666667;0.574695818;1
SAR1;0;-0.074710192;144;30;0.16;0.72090709;1
SAR1;0;-0.048487322;476;30;0.528888889;0.150276246;1
SAR1;0;-0.02352041;384;30;0.426666667;0.268443336;1
SAR1;0;0.016699441;483;30;0.536666667;0.139516572;1
SAR1;0;0.053686032;370;30;0.411111111;0.281903302;1
SAR1;0;0.074897161;104;30;0.115555556;0.767291291;1
SAR1;0;0.031101195;193;30;0.214444444;0.619003601;1
SAR1;0;0.019703466;453;30;0.503333333;0.170944062;1
SAR1;0;-0.074832818;235;30;0.261111111;0.55319306;1
SAR1;0;0.013306235;341;30;0.378888889;0.336306022;1
SAR1;0;-0.004849028;167;30;0.185555556;0.672847438;1
SAR1;0;0.016307853;127;30;0.141111111;0.738501605;1
SAR1;0;0.042322398;480;30;0.533333333;0.140880942;1
SAR1;0;-0.059649535;352;30;0.391111111;0.325587892;1
SAR1;0;0.001051359;287;30;0.318888889;0.439425908;1
SAR1;0;0.047603274;299;30;0.332222222;0.408768101;1
SAR1;0;0.086183435;247;30;0.274444444;0.502909545;1
SAR1;0;0.002941094;239;30;0.265555556;0.534147363;1
SAR1;0;0.014576003;144;30;0.16;0.7103904;1
SAR1;0;-0.000619194;143;30;0.158888889;0.714157672;1
SAR1;0;-0.032216311;284;30;0.315555556;0.450150428;1
SAR1;0;-0.038781199;534;30;0.593333333;0.098973816;1
SAR1;0;-0.054044294;190;30;0.211111111;0.637352082;1
SAR1;0;0.083828437;262;30;0.291111111;0.473877661;1
SAR1;0;-0.006348555;61;30;0.067777778;0.835628885;1
SAR1;0;-0.085382123;55;30;0.061111111;0.846261357;1
SAR1;0;0.029877328;291;30;0.323333333;0.427093941;1
SAR1;0;0.068121683;81;30;0.09;0.802802133;1
SAR1;0;0.06499812;527;30;0.585555556;0.099906702;1
SAR1;0;0.033028895;404;30;0.448888889;0.232663873;1
SAR1;0;-0.004142104;468;30;0.52;0.156038249;1
SAR1;0;-0.042576695;126;30;0.14;0.746810912;1
SAR1;0;-0.090286523;187;30;0.207777778;0.647179188;1
SAR1;0;0.01405868;272;30;0.302222222;0.466871372;1
