VarName;RhoReference;RhoEstimated;k;N;k_N;Smaup;reject
SAR1;0;-0.277046634;7;10;0.07;0.841953767;1
SAR1;0;-0.231271151;31;10;0.31;0.480781225;1
SAR1;0;-0.110459394;35;10;0.35;0.399196017;1
SAR1;0;0.054083107;10;10;0.1;0.79123137;1
SAR1;0;-0.199892815;26;10;0.26;0.567826317;1
SAR1;0;-0.135821393;35;10;0.35;0.401737545;1
SAR1;0;0.013341409;13;10;0.13;0.754872839;1
SAR1;0;-0.147686464;15;10;0.15;0.741359161;1
SAR1;0;-0.295598414;16;10;0.16;0.734860439;1
SAR1;0;0.089119411;11;10;0.11;0.773099457;1
SAR1;0;0.252710293;8;10;0.08;0.787678348;1
SAR1;0;-0.00159899;23;10;0.23;0.597612895;1
SAR1;0;-0.149993902;15;10;0.15;0.741514107;1
SAR1;0;-0.20470997;14;10;0.14;0.758428939;1
SAR1;0;-0.074803829;11;10;0.11;0.789807745;1
SAR1;0;-0.169772476;17;10;0.17;0.713840689;1
SAR1;0;-0.012241843;24;10;0.24;0.581814043;1
SAR1;0;0.063045858;13;10;0.13;0.748270417;1
SAR1;0;-0.075516119;7;10;0.07;0.836577902;1
SAR1;0;0.07553515;14;10;0.14;0.731502286;1
SAR1;0;-0.340805363;11;10;0.11;0.800375023;1
SAR1;0;-0.168200822;13;10;0.13;0.769812753;1
SAR1;0;-0.105459019;14;10;0.14;0.752309455;1
SAR1;0;-0.108573123;7;10;0.07;0.837857718;1
SAR1;0;0.074725202;18;10;0.18;0.668693123;1
SAR1;0;-0.270345841;36;10;0.36;0.395105002;1
SAR1;0;0.17251964;27;10;0.27;0.490172572;1
SAR1;0;-0.083717235;11;10;0.11;0.790409704;1
SAR1;0;0.010204186;16;10;0.16;0.710999899;1
SAR1;0;0.136426561;10;10;0.1;0.780030364;1
SAR1;0;-0.095544561;14;10;0.14;0.751538924;1
SAR1;0;0.219811241;8;10;0.08;0.794474279;1
SAR1;0;-0.139072065;20;10;0.2;0.664729849;1
SAR1;0;-0.057978403;37;10;0.37;0.359598056;1
SAR1;0;-0.189514743;6;10;0.06;0.850109057;1
SAR1;0;-0.091628416;36;10;0.36;0.380092092;1
SAR1;0;0.082677147;17;10;0.17;0.683414927;1
SAR1;0;0.00088032;27;10;0.27;0.526545907;1
SAR1;0;0.047857285;9;10;0.09;0.804898688;1
SAR1;0;0.131937372;12;10;0.12;0.751597638;1
SAR1;0;-0.193198273;22;10;0.22;0.636255323;1
SAR1;0;0.150166068;4;10;0.04;0.857519618;1
SAR1;0;-0.028575013;9;10;0.09;0.8112548;1
SAR1;0;-0.069759637;20;10;0.2;0.657698987;1
SAR1;0;-0.037572535;16;10;0.16;0.716997187;1
SAR1;0;-0.212365398;37;10;0.37;0.374019735;1
SAR1;0;-0.052689117;23;10;0.23;0.604982452;1
SAR1;0;0.088879224;32;10;0.32;0.422376342;1
SAR1;0;-0.121564792;21;10;0.21;0.64672304;1
SAR1;0;0.078081422;4;10;0.04;0.861567942;1
SAR1;0;-0.119692724;14;10;0.14;0.753358999;1
SAR1;0;-0.341239295;15;10;0.15;0.750177776;1
SAR1;0;-0.222201059;29;10;0.29;0.516046151;1
SAR1;0;-0.19202957;32;10;0.32;0.459741747;1
SAR1;0;0.083159535;7;10;0.07;0.826589218;1
SAR1;0;-0.068710281;14;10;0.14;0.749278929;1
