VarName;RhoReference;RhoEstimated;k;N;k_N;Smaup;reject
SAR1;-0.3;-0.316747179;10;10;0.1;0.811253404;1
SAR1;-0.3;-0.387579349;13;10;0.13;0.777275132;1
SAR1;-0.3;-0.368089206;11;10;0.11;0.800889894;1
SAR1;-0.3;-0.304396458;35;10;0.35;0.414539703;1
SAR1;-0.3;-0.432337315;11;10;0.11;0.80187116;1
SAR1;-0.3;-0.286680012;22;10;0.22;0.642198122;1
SAR1;-0.3;-0.217119157;29;10;0.29;0.515654384;1
SAR1;-0.3;-0.439791425;23;10;0.23;0.631768837;1
SAR1;-0.3;-0.164264945;11;10;0.11;0.794866512;1
SAR1;-0.3;-0.429778533;43;10;0.43;0.289738183;1
SAR1;-0.3;-0.404817773;23;10;0.23;0.630651567;1
SAR1;-0.3;-0.406300133;29;10;0.29;0.526436125;1
SAR1;-0.3;-0.392045331;23;10;0.23;0.630203468;1
SAR1;-0.3;-0.294381324;19;10;0.19;0.690534752;1
SAR1;-0.3;-0.181845305;17;10;0.17;0.71464948;1
SAR1;-0.3;-0.324521476;16;10;0.16;0.735888874;1
SAR1;-0.3;-0.271674757;8;10;0.08;0.831809779;1
SAR1;-0.3;-0.179343166;43;10;0.43;0.276835872;1
SAR1;-0.3;-0.285347762;18;10;0.18;0.705334761;1
SAR1;-0.3;-0.385074016;37;10;0.37;0.384137899;1
SAR1;-0.3;-0.323672697;15;10;0.15;0.749650177;1
SAR1;-0.3;-0.340329092;27;10;0.27;0.559060863;1
SAR1;-0.3;-0.357609569;26;10;0.26;0.577461327;1
SAR1;-0.3;-0.219546608;29;10;0.29;0.515842368;1
SAR1;-0.3;-0.237248996;9;10;0.09;0.820452173;1
SAR1;-0.3;-0.311823922;24;10;0.24;0.609864376;1
SAR1;-0.3;-0.337767105;22;10;0.22;0.64463156;1
SAR1;-0.3;-0.465428805;4;10;0.04;0.870193865;1
SAR1;-0.3;-0.311334961;12;10;0.12;0.787847372;1
SAR1;-0.3;-0.10621551;18;10;0.18;0.693486159;1
SAR1;-0.3;-0.339704312;7;10;0.07;0.842796738;1
SAR1;-0.3;-0.090066899;9;10;0.09;0.814954586;1
SAR1;-0.3;-0.199529255;5;10;0.05;0.859653286;1
SAR1;-0.3;-0.346752768;23;10;0.23;0.628419783;1
SAR1;-0.3;-0.085778694;18;10;0.18;0.69149277;1
SAR1;-0.3;-0.623748678;17;10;0.17;0.727608614;1
SAR1;-0.3;-0.312329135;19;10;0.19;0.691314075;1
SAR1;-0.3;-0.433127167;22;10;0.22;0.648038394;1
SAR1;-0.3;-0.321596531;4;10;0.04;0.869569806;1
SAR1;-0.3;-0.429749713;51;10;0.51;0.185705758;1
SAR1;-0.3;-0.266959728;9;10;0.09;0.821166143;1
SAR1;-0.3;-0.134994247;9;10;0.09;0.817054878;1
SAR1;-0.3;-0.266961045;3;10;0.03;0.877393028;1
SAR1;-0.3;-0.356263497;27;10;0.27;0.559819832;1
SAR1;-0.3;-0.534677807;19;10;0.19;0.697363629;1
SAR1;-0.3;-0.450044564;13;10;0.13;0.778352773;1
SAR1;-0.3;-0.30622987;36;10;0.36;0.397278511;1
SAR1;-0.3;-0.269636764;16;10;0.16;0.733820441;1
SAR1;-0.3;-0.273448442;3;10;0.03;0.877428754;1
SAR1;-0.3;-0.519685125;15;10;0.15;0.753735488;1
SAR1;-0.3;-0.171702206;25;10;0.25;0.583052643;1
SAR1;-0.3;-0.339529374;9;10;0.09;0.822536709;1
SAR1;-0.3;-0.255539676;31;10;0.31;0.482518493;1
SAR1;-0.3;-0.50266405;32;10;0.32;0.476176253;1
SAR1;-0.3;-0.304789435;15;10;0.15;0.749035391;1
SAR1;-0.3;-0.297628879;40;10;0.4;0.330123231;1
SAR1;-0.3;-0.285453428;39;10;0.39;0.34559815;1
SAR1;-0.3;-0.366724171;22;10;0.22;0.645806569;1
SAR1;-0.3;-0.317683205;24;10;0.24;0.610158672;1
SAR1;-0.3;-0.260235541;4;10;0.04;0.869128171;1
SAR1;-0.3;-0.419606982;12;10;0.12;0.790026775;1
SAR1;-0.3;-0.229778573;8;10;0.08;0.830930041;1
SAR1;-0.3;-0.368952853;16;10;0.16;0.737236384;1
SAR1;-0.3;-0.451898787;14;10;0.14;0.765782643;1
SAR1;-0.3;-0.1879271;24;10;0.24;0.60182502;1
SAR1;-0.3;-0.34186656;35;10;0.35;0.416595209;1
SAR1;-0.3;-0.491337554;44;10;0.44;0.277112026;1
SAR1;-0.3;-0.181222723;9;10;0.09;0.818796241;1
SAR1;-0.3;-0.525648725;26;10;0.26;0.583067211;1
SAR1;-0.3;-0.553634916;28;10;0.28;0.548724086;1
SAR1;-0.3;-0.453987041;33;10;0.33;0.456769291;1
SAR1;-0.3;-0.178003333;4;10;0.04;0.868271581;1
SAR1;-0.3;-0.420131063;7;10;0.07;0.843559177;1
SAR1;-0.3;-0.309091137;5;10;0.05;0.860926303;1
SAR1;-0.3;-0.266481501;22;10;0.22;0.641091878;1
SAR1;-0.3;-0.032554746;20;10;0.2;0.653067008;1
SAR1;-0.3;-0.17742004;24;10;0.24;0.600954765;1
SAR1;-0.3;-0.324497944;5;10;0.05;0.861055306;1
SAR1;-0.3;-0.391048207;21;10;0.21;0.662879838;1
SAR1;-0.3;-0.410125486;32;10;0.32;0.472910746;1
SAR1;-0.3;-0.295992799;20;10;0.2;0.675007716;1
SAR1;-0.3;-0.305357669;49;10;0.49;0.204285345;1
SAR1;-0.3;-0.408422955;11;10;0.11;0.801539986;1
SAR1;-0.3;-0.411619005;21;10;0.21;0.663536071;1
SAR1;-0.3;-0.304484117;11;10;0.11;0.79957918;1
SAR1;-0.3;-0.350943635;24;10;0.24;0.611709246;1
SAR1;-0.3;-0.394171488;40;10;0.4;0.334814708;1
SAR1;-0.3;-0.235158022;6;10;0.06;0.850922478;1
SAR1;-0.3;-0.228969829;13;10;0.13;0.772662979;1
SAR1;-0.3;-0.361198464;16;10;0.16;0.737019653;1
SAR1;-0.3;-0.287534081;40;10;0.4;0.329555573;1
SAR1;-0.3;-0.363532665;32;10;0.32;0.470836127;1
SAR1;-0.3;-0.236328332;12;10;0.12;0.785555807;1
SAR1;-0.3;-0.427991076;19;10;0.19;0.695149905;1
SAR1;-0.3;-0.444444851;26;10;0.26;0.580797012;1
SAR1;-0.3;-0.248813585;19;10;0.19;0.688274793;1
SAR1;-0.3;-0.187918394;16;10;0.16;0.729669296;1
SAR1;-0.3;-0.148790977;28;10;0.28;0.5276358;1
SAR1;-0.3;-0.268792001;6;10;0.06;0.851414137;1
SAR1;-0.3;-0.248757552;13;10;0.13;0.773434861;1
SAR1;-0.3;-0.35586636;8;10;0.08;0.833118182;1
SAR1;-0.3;-0.398389728;16;10;0.16;0.737995279;1
SAR1;-0.3;-0.165366219;18;10;0.18;0.69840112;1
SAR1;-0.3;-0.33206531;3;10;0.03;0.877702594;1
SAR1;-0.3;-0.354014078;39;10;0.39;0.349240656;1
SAR1;-0.3;-0.369365469;15;10;0.15;0.750941491;1
SAR1;-0.3;-0.389679792;30;10;0.3;0.507858577;1
SAR1;-0.3;-0.322288825;5;10;0.05;0.861037419;1
SAR1;-0.3;-0.255414784;15;10;0.15;0.747163509;1
SAR1;-0.3;-0.107133065;21;10;0.21;0.645277553;1
