Cont;YRSCHOOL;EXP;EXP2
 1.50974366; 0.35300467; 0.48846502;-0.01077024
 2.27898201; 0.34842375; 0.41998903;-0.00915991
 2.62845536; 0.3563462; 0.36619165;-0.00760484
 4.23332864; 0.32079924; 0.25932156;-0.00533909
 6.15370018; 0.36307701; 0.03287986;  9.83479256e-05
 3.40205434; 0.34068588; 0.32477455;-0.00697725
 1.70481837; 0.33801567; 0.46779433;-0.00993002
 0.80809176; 0.35458968; 0.5390284;-0.01166113
 2.26414837; 0.33392431; 0.43026912;-0.00929293
 1.12053439; 0.35339622; 0.50694012;-0.01078113
 1.47812996; 0.33505649; 0.51116076;-0.01139254
-1.94587143; 0.34106664; 0.80000069;-0.01752835
 0.82964377; 0.32890003; 0.57380548;-0.01273293
 2.52252082; 0.32290848; 0.41940452;-0.00911994
 3.70839999; 0.32932495; 0.3027815;-0.00639816
 0.23166019; 0.33157502; 0.63279417;-0.01423035
 1.63780575; 0.32091739; 0.50500529;-0.01111676
 2.540905; 0.31713011; 0.4296437;-0.0094868
 1.08019474; 0.36341158; 0.50529497;-0.01083984
 1.40499109; 0.32105802; 0.5160758;-0.01113754
 3.035723; 0.35091856; 0.33654832;-0.00701386
 3.42960861; 0.32793731; 0.33318458;-0.00716434
-0.05139368; 0.33910277; 0.63333589;-0.01382398
 3.12294293; 0.33440931; 0.35570404;-0.007683
 0.5221212; 0.34164307; 0.57089728;-0.01223997
 4.25160363; 0.33148905; 0.23649959;-0.00456373
 2.79083008; 0.35018878; 0.35729254;-0.00743281
 1.32431403; 0.33858782; 0.50981151;-0.01106848
 6.14882245; 0.34671488; 0.05535964;-0.00055065
 1.95240108; 0.35149041; 0.43262694;-0.00910195
 2.20798812; 0.35089123; 0.41939319;-0.00907327
 3.46080769; 0.30996243; 0.35081759;-0.00766401
 2.9872456; 0.36791815; 0.3246637;-0.0067161
-1.38286964; 0.34012464; 0.76444634;-0.01705683
 2.15150071; 0.33162447; 0.43929753;-0.00943113
 2.27807851; 0.35075234; 0.41382222;-0.00888956
 1.41783996; 0.31199493; 0.53851026;-0.01202085
 1.27683353; 0.37027496; 0.48594892;-0.01053406
 0.86680094; 0.33857333; 0.55976001;-0.01236088
 2.85691849; 0.36871154; 0.35136958;-0.00762543
 0.81319009; 0.34740133; 0.55779863;-0.01236171
 2.09316387; 0.32748517; 0.46331614;-0.0103208
 2.01802321; 0.35311167; 0.42599019;-0.00898584
 0.68463742; 0.32608071; 0.56757526;-0.01208902
 2.19726216; 0.3439461; 0.42116631;-0.00895849
 0.74417923; 0.3328069; 0.5662325;-0.01232303
 0.20385128; 0.33242618; 0.63200279;-0.0141707
 1.64926772; 0.30499439; 0.53913231;-0.01237557
 3.75633691; 0.3532947; 0.28380241;-0.00614761
 1.30416334; 0.32346419; 0.54110545;-0.01213316
-0.80633843; 0.32935826; 0.73017188;-0.01645267
 1.82813357; 0.36769422; 0.43186508;-0.00919171
 1.65217708; 0.34722851; 0.47517113;-0.01034628
 2.52889854; 0.3410173; 0.39925471;-0.00856395
 1.0277164; 0.31884833; 0.5514569;-0.01193751
 3.1787603; 0.34612784; 0.34427531;-0.00752455
 1.58188436; 0.34037353; 0.49311719;-0.01087821
 1.7897948; 0.33943008; 0.47047954;-0.01024347
 1.78875736; 0.38000169; 0.43006576;-0.00924626
 0.43346649; 0.35042898; 0.5826678;-0.01276309
 2.94783697; 0.33447806; 0.35319834;-0.00722692
 2.12879328; 0.34067983; 0.4316111;-0.00922044
 3.29422915; 0.35266168; 0.32393953;-0.00695757
 1.51469835; 0.33846455; 0.50325291;-0.01117032
 3.40077719; 0.33776498; 0.32354598;-0.00687549
 3.78283748; 0.34449173; 0.27283467;-0.00548846
 3.69314419; 0.32793838; 0.29780828;-0.00607965
 3.56176822; 0.34232727; 0.3047279;-0.00645419
 1.8713396; 0.33701531; 0.46988804;-0.01039449
 0.76809035; 0.35948961; 0.54080379;-0.0117259
 3.09844154; 0.34497333; 0.33599738;-0.00693944
 0.19256588; 0.3433158; 0.61568601;-0.01361485
 2.31105347; 0.31214388; 0.44600439;-0.00964441
 1.31276199; 0.34541824; 0.50640485;-0.01102047
 2.98085652; 0.35529431; 0.34167727;-0.00718268
 4.57995327; 0.33839555; 0.19829558;-0.00365996
 4.61628959; 0.33680695; 0.20085485;-0.00379561
 2.60923097; 0.37533112; 0.34991624;-0.00723118
-1.84028162; 0.36445217; 0.77487397;-0.01708589
 1.34722654; 0.36783331; 0.47688607;-0.01020104
-0.92780696; 0.36523101; 0.69425598;-0.01530488
-0.08195433; 0.35413299; 0.62966847;-0.01390186
 4.94274414; 0.33623394; 0.17429081;-0.00325518
-1.75729297; 0.33280463; 0.79565173;-0.01754217
 4.39875812; 0.35771645; 0.20927948;-0.00417222
 4.19082413; 0.29895817; 0.29878614;-0.00661301
 2.37798529; 0.36709095; 0.37564331;-0.00770966
 2.72048433; 0.35515487; 0.35964947;-0.00744959
 2.6253108; 0.35135053; 0.37649249;-0.00798753
 3.60159183; 0.34886897; 0.28644324;-0.00583497
 2.04514324; 0.36455371; 0.41543703;-0.00881143
 0.29061486; 0.3450481; 0.61317031;-0.01373544
 0.61485775; 0.34076414; 0.56483265;-0.0121266
 1.75353115; 0.34594685; 0.45752581;-0.00972146
 3.00411111; 0.35134088; 0.35338207;-0.00769736
