VarName;N;RhoReference;RhoEstimated;k;Theta;counter;Smaup;reject
SAR;30;-0.9;-0.902235159;875;0.972222222;30;0.006312131;0
SAR;30;-0.9;-0.886647643;832;0.924444444;30;0.009659658;0
SAR;30;-0.9;-0.900927799;865;0.961111111;30;0.00698263;0
SAR;30;-0.9;-0.899710914;810;0.9;30;0.011932346;0
SAR;30;-0.9;-0.881152755;748;0.831111111;30;0.021010059;0
SAR;30;-0.9;-0.888341926;741;0.823333333;30;0.02237276;0
SAR;30;-0.9;-0.887936599;865;0.961111111;30;0.00698248;0
SAR;30;-0.9;-0.902961465;777;0.863333333;30;0.016223425;0
SAR;30;-0.9;-0.902976668;845;0.938888889;30;0.008517144;0
SAR;30;-0.9;-0.901138866;810;0.9;30;0.011933797;0
SAR;30;-0.9;-0.909171713;827;0.918888889;30;0.010151401;0
SAR;30;-0.9;-0.888598077;888;0.986666667;30;0.0055303;0
SAR;30;-0.9;-0.893303791;880;0.977777778;30;0.006000559;0
SAR;30;-0.9;-0.873446021;803;0.892222222;30;0.012715059;0
SAR;30;-0.9;-0.906114163;811;0.901111111;30;0.011826317;0
SAR;30;-0.9;-0.895033309;869;0.965555556;30;0.006707497;0
SAR;30;-0.9;-0.899708468;883;0.981111111;30;0.005818273;0
SAR;30;-0.9;-0.881002061;839;0.932222222;30;0.00902312;0
SAR;30;-0.9;-0.924626216;797;0.885555556;30;0.013515139;0
SAR;30;-0.9;-0.902466962;856;0.951111111;30;0.007639639;0
SAR;30;-0.9;-0.915564473;874;0.971111111;30;0.006375036;0
SAR;30;-0.9;-0.885078028;879;0.976666667;30;0.006063373;0
SAR;30;-0.9;-0.907526921;710;0.788888889;30;0.029362059;1
SAR;30;-0.9;-0.925129116;772;0.857777778;30;0.017023727;0
SAR;30;-0.9;-0.895277269;824;0.915555556;30;0.010438917;0
SAR;30;-0.9;-0.890046062;756;0.84;30;0.019586491;0
SAR;30;-0.9;-0.885888323;888;0.986666667;30;0.005531043;0
SAR;30;-0.9;-0.888023448;883;0.981111111;30;0.005820829;0
SAR;30;-0.9;-0.894628075;727;0.807777778;30;0.025312097;1
SAR;30;-0.9;-0.920382963;840;0.933333333;30;0.00895195;0
SAR;30;-0.9;-0.911191343;806;0.895555556;30;0.012404166;0
SAR;30;-0.9;-0.893835688;878;0.975555556;30;0.00612384;0
SAR;30;-0.9;-0.884940659;680;0.755555556;30;0.037712668;1
SAR;30;-0.9;-0.919668104;834;0.926666667;30;0.009491785;0
SAR;30;-0.9;-0.89246796;883;0.981111111;30;0.005819857;0
SAR;30;-0.9;-0.87847133;776;0.862222222;30;0.016326727;0
SAR;30;-0.9;-0.896674767;837;0.93;30;0.009207501;0
SAR;30;-0.9;-0.903204368;866;0.962222222;30;0.006912848;0
SAR;30;-0.9;-0.900230919;825;0.916666667;30;0.010342644;0
SAR;30;-0.9;-0.908298942;834;0.926666667;30;0.009485858;0
SAR;30;-0.9;-0.890390964;704;0.782222222;30;0.030835289;1
SAR;30;-0.9;-0.910330058;829;0.921111111;30;0.009957993;0
SAR;30;-0.9;-0.899572041;794;0.882222222;30;0.013864302;0
