VarName;N;RhoReference;RhoEstimated;k;Theta;counter;Smaup;reject
SAR;30;0;0.002837984;729;0.81;30;0.021155712;0
SAR;30;0;0.039939082;852;0.946666667;30;0.007750008;0
SAR;30;0;-0.019940096;743;0.825555556;30;0.018983079;0
SAR;30;0;-0.026277351;787;0.874444444;30;0.013264712;0
SAR;30;0;-0.007966183;615;0.683333333;30;0.052563238;1
SAR;30;0;0.022148298;803;0.892222222;30;0.01156408;0
SAR;30;0;-0.032341234;872;0.968888889;30;0.006579381;0
SAR;30;0;-0.029146066;752;0.835555556;30;0.017674287;0
SAR;30;0;0.000497785;723;0.803333333;30;0.022218595;0
SAR;30;0;-0.029872624;675;0.75;30;0.03295969;0
SAR;30;0;-0.030832207;792;0.88;30;0.012739182;0
SAR;30;0;-0.01453832;779;0.865555556;30;0.014137898;0
SAR;30;0;0.021980935;765;0.85;30;0.015745363;0
SAR;30;0;-0.007004351;876;0.973333333;30;0.006368002;0
SAR;30;0;-0.010054002;870;0.966666667;30;0.00669069;0
SAR;30;0;-0.012910154;758;0.842222222;30;0.016776735;0
SAR;30;0;-0.001818598;863;0.958888889;30;0.00708789;0
SAR;30;0;-0.009297253;852;0.946666667;30;0.007760542;0
SAR;30;0;0.035064876;712;0.791111111;30;0.024058754;0
SAR;30;0;-0.011330673;706;0.784444444;30;0.025560604;0
SAR;30;0;0.021257629;747;0.83;30;0.018216389;0
SAR;30;0;-0.021823142;744;0.826666667;30;0.018836795;0
SAR;30;0;0.037629221;771;0.856666667;30;0.014956983;0
SAR;30;0;0.006728074;662;0.735555556;30;0.036141485;0
SAR;30;0;0.033945149;882;0.98;30;0.006068854;0
SAR;30;0;-0.027076442;873;0.97;30;0.006525537;0
SAR;30;0;0.000451966;766;0.851111111;30;0.01567956;0
SAR;30;0;-0.00642305;828;0.92;30;0.009452444;0
SAR;30;0;0.033569841;642;0.713333333;30;0.041930208;0
SAR;30;0;-0.04458361;861;0.956666667;30;0.007208457;0
SAR;30;0;-0.019439508;733;0.814444444;30;0.0205879;0
SAR;30;0;0.028049796;637;0.707777778;30;0.043691326;0
SAR;30;0;0.027881792;843;0.936666667;30;0.008343313;0
SAR;30;0;-0.011344758;717;0.796666667;30;0.023390355;0
SAR;30;0;0.013799618;841;0.934444444;30;0.008486389;0
SAR;30;0;0.024856348;637;0.707777778;30;0.043741311;0
SAR;30;0;-0.003340685;636;0.706666667;30;0.044526474;0
SAR;30;0;-0.00382394;607;0.674444444;30;0.055847718;1
SAR;30;0;0.015775193;674;0.748888889;30;0.032762976;0
SAR;30;0;0.044586606;683;0.758888889;30;0.030231136;0
SAR;30;0;-0.037697874;657;0.73;30;0.038144429;0
SAR;30;0;0.045300272;733;0.814444444;30;0.02027982;0
SAR;30;0;-0.003457605;784;0.871111111;30;0.013548596;0
SAR;30;0;-0.019059148;711;0.79;30;0.024600134;0
SAR;30;0;-0.015269693;795;0.883333333;30;0.012403332;0
SAR;30;0;-0.024952005;701;0.778888889;30;0.026708969;0
SAR;30;0;0.003609289;886;0.984444444;30;0.005866494;0
SAR;30;0;0.029910079;831;0.923333333;30;0.009199617;0
SAR;30;0;0.011716583;765;0.85;30;0.015775106;0
SAR;30;0;0.020287033;874;0.971111111;30;0.006476813;0
SAR;30;0;-0.002599273;873;0.97;30;0.006527873;0
SAR;30;0;0.01179006;825;0.916666667;30;0.009674213;0
SAR;30;0;-0.020269786;647;0.718888889;30;0.041062631;0
SAR;30;0;0.018297288;608;0.675555556;30;0.054954975;1
SAR;30;0;-0.008983301;875;0.972222222;30;0.00642048;0
SAR;30;0;-0.00641706;794;0.882222222;30;0.012490583;0
SAR;30;0;-0.012237745;671;0.745555556;30;0.033848075;0
SAR;30;0;-0.029204614;858;0.953333333;30;0.007388641;0
SAR;30;0;0.028326699;835;0.927777778;30;0.008905505;0
SAR;30;0;-0.011110882;838;0.931111111;30;0.008709126;0
SAR;30;0;0.000178414;864;0.96;30;0.007029766;0
SAR;30;0;0.005271484;720;0.8;30;0.022735888;0
SAR;30;0;-0.02359933;639;0.71;30;0.043790179;0
