"","Var","N","RhoRef","RhoEst","k","Theta","Contador","SMAUP","Smaup_New","Rechazos"
"248","SAR1_0.9",30,0.9,0.883127464649,182,0.202222222222,30,0.0419677223237,0.188255311530189,0
"249","SAR0_0.9",30,0.9,0.891968388873,840,0.933333333333,30,0.150535753362,0.00816431713305675,0
"250","SAR1_0.9",30,0.9,0.876764801394,312,0.346666666667,30,0.046988937254,0.123473593308788,0
"251","SAR0_0.9",30,0.9,0.887394544973,306,0.34,30,0.045362981132,0.122773198663536,0
"252","SAR1_0.9",30,0.9,0.89057309041,270,0.3,30,0.0427840046953,0.137176428768489,0
"253","SAR0_0.9",30,0.9,0.937436111208,764,0.848888888889,30,0.12758733757,0.0129081831176559,0
"254","SAR1_0.9",30,0.9,0.898981018737,750,0.833333333333,30,0.124847592046,0.0141821331099185,0
"255","SAR0_0.9",30,0.9,0.858078009848,840,0.933333333333,30,0.150719612396,0.00817976118067937,0
"256","SAR1_0.9",30,0.9,0.888030624063,568,0.631111111111,30,0.0814575593409,0.0395439416644545,0
"257","SAR0_0.9",30,0.9,0.905845359857,118,0.131111111111,30,0.0432999026847,0.232681519654992,0
"258","SAR1_0.9",30,0.9,0.886920024352,600,0.666666666667,30,0.0882552473799,0.0334402193285614,0
"259","SAR0_0.9",30,0.9,0.899278573306,884,0.982222222222,30,0.163411468916,0.00616028954437436,0
"260","SAR1_0.9",30,0.9,0.893621129766,328,0.364444444444,30,0.0463907793411,0.112087017628706,0
"261","SAR0_0.9",30,0.9,0.900074042552,662,0.735555555556,30,0.101729174291,0.0235715153928357,0
"262","SAR1_0.9",30,0.9,0.925124723621,132,0.146666666667,30,0.0392211321068,0.203087967703208,0
"263","SAR0_0.9",30,0.9,0.895101138675,106,0.117777777778,30,0.0466352399743,0.25827235523619,0
"264","SAR1_0.9",30,0.9,0.903866302701,800,0.888888888889,30,0.138831852438,0.0104654000159113,0
"265","SAR0_0.9",30,0.9,0.90040422625,764,0.848888888889,30,0.128689193308,0.0130360935622428,0
"266","SAR1_0.9",30,0.9,0.926651677778,730,0.811111111111,30,0.118266514308,0.0157981647224721,0
"267","SAR0_0.9",30,0.9,0.874958646456,450,0.5,30,0.0622716380526,0.0715188244031496,0
"268","SAR1_0.9",30,0.9,0.890188896268,226,0.251111111111,30,0.0411967394794,0.158348575085869,0
"269","SAR0_0.9",30,0.9,0.884028240466,498,0.553333333333,30,0.0688494582531,0.0563891494331536,0
"270","SAR1_0.9",30,0.9,0.879109958541,588,0.653333333333,30,0.0863037061516,0.0359211696526072,0
"271","SAR0_0.9",30,0.9,0.888739118219,726,0.806666666667,30,0.118739453404,0.0164112289493245,0
"272","SAR1_0.9",30,0.9,0.88880626555,684,0.76,30,0.107862041374,0.0209526833512529,0
"273","SAR0_0.9",30,0.9,0.876268923519,886,0.984444444444,30,0.163811566293,0.00607562477646778,0
"274","SAR1_0.9",30,0.9,0.911139715595,724,0.804444444444,30,0.117258839099,0.0164575596912847,0
"275","SAR0_0.9",30,0.9,0.88441928975,736,0.817777777778,30,0.121577209139,0.0154912305599062,0
"276","SAR1_0.9",30,0.9,0.869959063159,732,0.813333333333,30,0.121086054206,0.015949054375498,0
"277","SAR0_0.9",30,0.9,0.918267626889,290,0.322222222222,30,0.0409045313524,0.11945704157836,0
"278","SAR1_0.9",30,0.9,0.908758350761,824,0.915555555556,30,0.145739382995,0.00901571760350656,0
"279","SAR0_0.9",30,0.9,0.902345350759,418,0.464444444444,30,0.0551028768478,0.0781571378926797,0
"280","SAR1_0.9",30,0.9,0.885496759257,434,0.482222222222,30,0.0589579218822,0.0753656261987605,0
"281","SAR0_0.9",30,0.9,0.884427876849,582,0.646666666667,30,0.0846258507415,0.0368885464444945,0
"282","SAR1_0.9",30,0.9,0.896292916654,594,0.66,30,0.0862338889737,0.0342221487947654,0
"283","SAR0_0.9",30,0.9,0.890326526354,720,0.8,30,0.117081843338,0.0169905161123828,0
"284","SAR1_0.9",30,0.9,0.867706890032,872,0.968888888889,30,0.159746601897,0.00665344431669978,0
"285","SAR0_0.9",30,0.9,0.872096200745,786,0.873333333333,30,0.135532935872,0.0114729413952904,0
"286","SAR1_0.9",30,0.9,0.912326951396,356,0.395555555556,30,0.0469606142792,0.0971614792393782,0
"287","SAR0_0.9",30,0.9,0.875032636082,478,0.531111111111,30,0.0664695808479,0.0628485407481583,0
