"";"Var";"N";"RhoReference";"RhoEstimated";"k";"Theta";"r";"SMAUP"
"1";"SAR0_-0.5";25;-0.5;-0.515249805878;512;0.8192;30;0.0218813355873409
"2";"SAR1_-0.5";25;-0.5;-0.532555207299;597;0.9552;30;0.00733168403064962
"3";"SAR0_-0.5";25;-0.5;-0.495827884025;539;0.8624;30;0.015544855716658
"4";"SAR1_-0.5";25;-0.5;-0.549568742442;490;0.784;30;0.0288607797774133
"5";"SAR0_-0.5";25;-0.5;-0.483779696081;614;0.9824;30;0.00584540329038146
"6";"SAR1_-0.5";25;-0.5;-0.486992918906;531;0.8496;30;0.0171767293460927
"7";"SAR0_-0.5";25;-0.5;-0.459613017069;571;0.9136;30;0.0102791616645214
"8";"SAR1_-0.5";25;-0.5;-0.499718892833;584;0.9344;30;0.00870006375566683
"9";"SAR0_-0.5";25;-0.5;-0.546412678585;598;0.9568;30;0.00723536187190738
"10";"SAR1_-0.5";25;-0.5;-0.515683933731;503;0.8048;30;0.0244611442161048
"11";"SAR0_-0.5";25;-0.5;-0.522940566971;550;0.88;30;0.0135558196426935
"12";"SAR1_-0.5";25;-0.5;-0.49531565822;581;0.9296;30;0.00904708092199926
"13";"SAR0_-0.5";25;-0.5;-0.476560536528;556;0.8896;30;0.0124868243339948
"14";"SAR1_-0.5";25;-0.5;-0.496009987933;454;0.7264;30;0.0439817532045471
"15";"SAR0_-0.5";25;-0.5;-0.491445652477;567;0.9072;30;0.0108529474192623
"16";"SAR1_-0.5";25;-0.5;-0.470093296581;606;0.9696;30;0.00650462191836627
"17";"SAR0_-0.5";25;-0.5;-0.548681115981;485;0.776;30;0.0306670412415638
"18";"SAR1_-0.5";25;-0.5;-0.4904253921;566;0.9056;30;0.0109933414114986
"19";"SAR0_-0.5";25;-0.5;-0.473684025551;599;0.9584;30;0.00713563197431756
"20";"SAR1_-0.5";25;-0.5;-0.498702402137;511;0.8176;30;0.0220935286244213
"21";"SAR0_-0.5";25;-0.5;-0.532237803912;609;0.9744;30;0.00624175244772819
"22";"SAR1_-0.5";25;-0.5;-0.482939000286;573;0.9168;30;0.0100338471749755
"23";"SAR0_-0.5";25;-0.5;-0.505224917638;463;0.7408;30;0.0396155017966928
"24";"SAR1_-0.5";25;-0.5;-0.524678246876;540;0.864;30;0.0154077090188966
"25";"SAR0_-0.5";25;-0.5;-0.478626789883;558;0.8928;30;0.0121732809735674
"26";"SAR1_-0.5";25;-0.5;-0.493501072703;554;0.8864;30;0.0128347530596946
"27";"SAR0_-0.5";25;-0.5;-0.450151068615;504;0.8064;30;0.0238839759298791
"28";"SAR1_-0.5";25;-0.5;-0.491271599751;492;0.7872;30;0.027870551109666
"29";"SAR0_-0.5";25;-0.5;-0.532882810739;545;0.872;30;0.0144702163288794
"30";"SAR1_-0.5";25;-0.5;-0.502909648137;551;0.8816;30;0.0133520900453944
"31";"SAR0_-0.5";25;-0.5;-0.496250380874;514;0.8224;30;0.0212772748897362
"32";"SAR1_-0.5";25;-0.5;-0.469266409722;613;0.9808;30;0.0059271414175661
"33";"SAR0_-0.5";25;-0.5;-0.4608190608;496;0.7936;30;0.0263939717355625
"34";"SAR1_-0.5";25;-0.5;-0.524040181036;476;0.7616;30;0.0340370783096208
"35";"SAR0_-0.5";25;-0.5;-0.546184010222;497;0.7952;30;0.0264749607749151
"36";"SAR1_-0.5";25;-0.5;-0.479413531775;475;0.76;30;0.0341564407904339
"37";"SAR0_-0.5";25;-0.5;-0.480914869021;559;0.8944;30;0.0120207650622678
"38";"SAR1_-0.5";25;-0.5;-0.487884500259;608;0.9728;30;0.00633206725721209
"39";"SAR0_-0.5";25;-0.5;-0.510800207848;530;0.848;30;0.0174552089160766
"40";"SAR1_-0.5";25;-0.5;-0.538181276457;584;0.9344;30;0.00871560770475523
"41";"SAR0_-0.5";25;-0.5;-0.521682255233;497;0.7952;30;0.0263617086853698
"42";"SAR1_-0.5";25;-0.5;-0.536631124507;600;0.96;30;0.00704363634309912
"43";"SAR0_-0.5";25;-0.5;-0.5298864772;522;0.8352;30;0.0193584505496934
"44";"SAR1_-0.5";25;-0.5;-0.477171114562;536;0.8576;30;0.0161048148553517
"45";"SAR0_-0.5";25;-0.5;-0.495211459393;524;0.8384;30;0.0187782725038858
"46";"SAR1_-0.5";25;-0.5;-0.473355958326;559;0.8944;30;0.0120115314962587
"47";"SAR0_-0.5";25;-0.5;-0.460672820419;615;0.984;30;0.00577339176169554
"48";"SAR1_-0.5";25;-0.5;-0.498347381488;498;0.7968;30;0.0259326178186793
"49";"SAR0_-0.5";25;-0.5;-0.541548781038;531;0.8496;30;0.0173128095861975
"50";"SAR1_-0.5";25;-0.5;-0.479352280477;430;0.688;30;0.057927906629631
"51";"SAR0_-0.5";25;-0.5;-0.538216141265;526;0.8416;30;0.0184322491205094
"52";"SAR1_-0.5";25;-0.5;-0.476049817384;594;0.9504;30;0.0076220749475306
"53";"SAR0_-0.5";25;-0.5;-0.5037711687;536;0.8576;30;0.0161646569885135
"54";"SAR1_-0.5";25;-0.5;-0.465171080711;565;0.904;30;0.0111112073496983
"55";"SAR0_-0.5";25;-0.5;-0.496797546614;604;0.9664;30;0.00667780549788268
"56";"SAR1_-0.5";25;-0.5;-0.498103504792;570;0.912;30;0.0104445200820863
"57";"SAR0_-0.5";25;-0.5;-0.522984304331;483;0.7728;30;0.0312735445451485
"58";"SAR1_-0.5";25;-0.5;-0.509677787872;579;0.9264;30;0.00929471639321163
"59";"SAR0_-0.5";25;-0.5;-0.488983817727;605;0.968;30;0.00659000758282793
"60";"SAR1_-0.5";25;-0.5;-0.453459512708;496;0.7936;30;0.026357864634757
