"";"Var";"N";"RhoReference";"RhoEstimated";"k";"Theta";"r";"SMAUP"
"1";"SAR0_-0.9";25;-0.9;-0.904106614939;560;0.896;30;0.0123496851353936
"2";"SAR1_-0.9";25;-0.9;-0.873752060088;565;0.904;30;0.011507756546067
"3";"SAR0_-0.9";25;-0.9;-0.906454268735;601;0.9616;30;0.00695188140152086
"4";"SAR1_-0.9";25;-0.9;-0.881667058932;437;0.6992;30;0.0569490421341936
"5";"SAR0_-0.9";25;-0.9;-0.929170349691;469;0.7504;30;0.0394175870959079
"6";"SAR1_-0.9";25;-0.9;-0.907688197671;590;0.944;30;0.008141035698276
"7";"SAR0_-0.9";25;-0.9;-0.886058687663;547;0.8752;30;0.0146799698120935
"8";"SAR1_-0.9";25;-0.9;-0.903619352229;506;0.8096;30;0.0249825854950702
"9";"SAR0_-0.9";25;-0.9;-0.911038455838;479;0.7664;30;0.0348757650692831
"10";"SAR1_-0.9";25;-0.9;-0.900774145404;532;0.8512;30;0.0179123101319293
"11";"SAR0_-0.9";25;-0.9;-0.898767311952;536;0.8576;30;0.01699680204351
"12";"SAR1_-0.9";25;-0.9;-0.880785501621;612;0.9792;30;0.0059252636733796
"13";"SAR0_-0.9";25;-0.9;-0.891502104226;449;0.7184;30;0.0496494665394345
"14";"SAR1_-0.9";25;-0.9;-0.924438128409;480;0.768;30;0.0345158677669012
"15";"SAR0_-0.9";25;-0.9;-0.890730839822;534;0.8544;30;0.0174306131403976
"16";"SAR1_-0.9";25;-0.9;-0.864173406744;557;0.8912;30;0.0128138360986187
"17";"SAR0_-0.9";25;-0.9;-0.895373425268;538;0.8608;30;0.0165504109170433
"18";"SAR1_-0.9";25;-0.9;-0.915324883112;433;0.6928;30;0.0598399398164152
"19";"SAR0_-0.9";25;-0.9;-0.894681066368;515;0.824;30;0.0222728725560293
"20";"SAR1_-0.9";25;-0.9;-0.927458485631;598;0.9568;30;0.00726113148802784
"21";"SAR0_-0.9";25;-0.9;-0.885350967916;470;0.752;30;0.0387315613011526
"22";"SAR1_-0.9";25;-0.9;-0.903989687807;536;0.8576;30;0.0170070919389589
"23";"SAR0_-0.9";25;-0.9;-0.878104694436;596;0.9536;30;0.00746848376369601
"24";"SAR1_-0.9";25;-0.9;-0.903209327723;524;0.8384;30;0.0198727745138022
"25";"SAR0_-0.9";25;-0.9;-0.894841874815;559;0.8944;30;0.0125078730128085
"26";"SAR1_-0.9";25;-0.9;-0.850722435465;400;0.64;30;0.0857456134330547
"27";"SAR0_-0.9";25;-0.9;-0.896922729813;513;0.8208;30;0.0228519257206334
"28";"SAR1_-0.9";25;-0.9;-0.900869136336;615;0.984;30;0.00566498940908377
"29";"SAR0_-0.9";25;-0.9;-0.885726023684;612;0.9792;30;0.00592428189545888
"30";"SAR1_-0.9";25;-0.9;-0.899798333004;585;0.936;30;0.00873601908999505
"31";"SAR0_-0.9";25;-0.9;-0.86115704893;597;0.9552;30;0.00736096147770557
"32";"SAR1_-0.9";25;-0.9;-0.909627412389;573;0.9168;30;0.0103372476479212
"33";"SAR0_-0.9";25;-0.9;-0.883261987457;501;0.8016;30;0.0265232102160842
"34";"SAR1_-0.9";25;-0.9;-0.899375371287;521;0.8336;30;0.0206435701711295
"35";"SAR0_-0.9";25;-0.9;-0.910114585361;536;0.8576;30;0.0170191364486146
"36";"SAR1_-0.9";25;-0.9;-0.886895359513;583;0.9328;30;0.00898006411836945
"37";"SAR0_-0.9";25;-0.9;-0.906096107537;583;0.9328;30;0.00898813905624544
"38";"SAR1_-0.9";25;-0.9;-0.88115100756;444;0.7104;30;0.052543282567585
"39";"SAR0_-0.9";25;-0.9;-0.905360519664;541;0.8656;30;0.0159275750539452
"40";"SAR1_-0.9";25;-0.9;-0.906706912618;437;0.6992;30;0.0571175226297291
"41";"SAR0_-0.9";25;-0.9;-0.913651859498;451;0.7216;30;0.0486392068857943
"42";"SAR1_-0.9";25;-0.9;-0.890788040965;568;0.9088;30;0.011060108714984
"43";"SAR0_-0.9";25;-0.9;-0.900363309929;548;0.8768;30;0.0145076872753408
"44";"SAR1_-0.9";25;-0.9;-0.907651820764;490;0.784;30;0.0304873270599864
"45";"SAR0_-0.9";25;-0.9;-0.869927084581;604;0.9664;30;0.00665769664197194
"46";"SAR1_-0.9";25;-0.9;-0.921844237023;509;0.8144;30;0.0241141682197217
"47";"SAR0_-0.9";25;-0.9;-0.898816179646;533;0.8528;30;0.0176763461752131
"48";"SAR1_-0.9";25;-0.9;-0.860374558598;605;0.968;30;0.00656290416157172
"49";"SAR0_-0.9";25;-0.9;-0.932387595198;520;0.832;30;0.0209960463307017
"50";"SAR1_-0.9";25;-0.9;-0.896086491795;611;0.9776;30;0.00600984038895946
"51";"SAR0_-0.9";25;-0.9;-0.89423994839;505;0.808;30;0.0252667970889238
"52";"SAR1_-0.9";25;-0.9;-0.8947428335;546;0.8736;30;0.0148900915613832
"53";"SAR0_-0.9";25;-0.9;-0.896319602842;555;0.888;30;0.0132038044465464
"54";"SAR1_-0.9";25;-0.9;-0.890831606126;478;0.7648;30;0.0352066488181623
"55";"SAR0_-0.9";25;-0.9;-0.895609201373;541;0.8656;30;0.0159102566408181
"56";"SAR1_-0.9";25;-0.9;-0.921891065184;517;0.8272;30;0.021788256205001
"57";"SAR0_-0.9";25;-0.9;-0.927179818847;539;0.8624;30;0.0163931208229449
"58";"SAR1_-0.9";25;-0.9;-0.911035661926;578;0.9248;30;0.00964333359572059
"59";"SAR0_-0.9";25;-0.9;-0.904078821678;589;0.9424;30;0.00825664203355341
"60";"SAR1_-0.9";25;-0.9;-0.900691956444;592;0.9472;30;0.00791084818631226
"61";"SAR0_-0.9";25;-0.9;-0.873531382248;573;0.9168;30;0.0103121386501829
"62";"SAR1_-0.9";25;-0.9;-0.879093505099;505;0.808;30;0.0252162480764708
"63";"SAR0_-0.9";25;-0.9;-0.876450904052;568;0.9088;30;0.0110479824794377
"64";"SAR1_-0.9";25;-0.9;-0.886261846677;562;0.8992;30;0.0119999503868863
"65";"SAR0_-0.9";25;-0.9;-0.896786377486;497;0.7952;30;0.0279251484690974
"66";"SAR1_-0.9";25;-0.9;-0.865161858947;530;0.848;30;0.0183048135630736
"67";"SAR0_-0.9";25;-0.9;-0.913563955832;554;0.8864;30;0.0134050435555557
"68";"SAR1_-0.9";25;-0.9;-0.906015413096;616;0.9856;30;0.00558043220646202
"69";"SAR0_-0.9";25;-0.9;-0.917912630568;588;0.9408;30;0.00837869825752223
"70";"SAR1_-0.9";25;-0.9;-0.928335541643;550;0.88;30;0.0141657099712624
"71";"SAR0_-0.9";25;-0.9;-0.896970163127;611;0.9776;30;0.00600967977927037
"72";"SAR1_-0.9";25;-0.9;-0.899481775831;569;0.9104;30;0.0109163668409962
"73";"SAR0_-0.9";25;-0.9;-0.8846356788;598;0.9568;30;0.00725824045816831
"74";"SAR1_-0.9";25;-0.9;-0.891379422845;572;0.9152;30;0.0104681858327067
"75";"SAR0_-0.9";25;-0.9;-0.895420552638;525;0.84;30;0.0195995504133552
"76";"SAR1_-0.9";25;-0.9;-0.943071880002;586;0.9376;30;0.00862848678044967
"77";"SAR0_-0.9";25;-0.9;-0.883829432413;579;0.9264;30;0.0094951126113107
"78";"SAR1_-0.9";25;-0.9;-0.930567040004;605;0.968;30;0.00655776941046471
"79";"SAR0_-0.9";25;-0.9;-0.873804009552;561;0.8976;30;0.012150698700966
"80";"SAR1_-0.9";25;-0.9;-0.883565955871;537;0.8592;30;0.0167460855764388
