RhoReference;N_100;N_400;N_900
-0.9;0.989;0.984984985;0.997
-0.7;0.986;0.996;1
-0.5;0.981;0.998;1
-0.3;0.982;0.998;1
0;0.997;0.999;0.998
0.3;0.986;0.995995996;1
0.5;0.986;0.995995996;0.998998999
0.7;0.783;0.985;0.994994995
0.9;0.977;0.702702703;0.491491491
