VarName;RhoReference;RhoEstimated;k;N;k_N;Smaup;reject
SAR1;0.5;0.487576697;43;20;0.1075;0.63941395;1
SAR1;0.5;0.375974531;172;20;0.43;0.2048858;1
SAR1;0.5;0.489145076;172;20;0.43;0.1817368;1
SAR1;0.5;0.567943402;78;20;0.195;0.42492408;1
SAR1;0.5;0.448670587;137;20;0.3425;0.287804844;1
SAR1;0.5;0.501368395;78;20;0.195;0.469838685;1
SAR1;0.5;0.392957507;125;20;0.3125;0.348463414;1
SAR1;0.5;0.553086303;51;20;0.1275;0.552175978;1
SAR1;0.5;0.475412751;114;20;0.285;0.352207022;1
SAR1;0.5;0.394215232;11;20;0.0275;0.851367892;1
SAR1;0.5;0.54565035;127;20;0.3175;0.280034444;1
SAR1;0.5;0.506695864;137;20;0.3425;0.267016882;1
SAR1;0.5;0.466620489;173;20;0.4325;0.184157144;1
SAR1;0.5;0.510424164;45;20;0.1125;0.613865187;1
SAR1;0.5;0.51190483;82;20;0.205;0.447355031;1
SAR1;0.5;0.462307417;106;20;0.265;0.386585762;1
SAR1;0.5;0.611808846;7;20;0.0175;0.836923771;1
SAR1;0.5;0.439237565;133;20;0.3325;0.303933257;1
SAR1;0.5;0.542498552;13;20;0.0325;0.80418692;1
SAR1;0.5;0.351546251;98;20;0.245;0.470012769;1
SAR1;0.5;0.431871105;33;20;0.0825;0.723487757;1
SAR1;0.5;0.454316374;123;20;0.3075;0.331101616;1
SAR1;0.5;0.321982453;21;20;0.0525;0.818063394;1
SAR1;0.5;0.539940689;92;20;0.23;0.392984632;1
SAR1;0.5;0.49059875;81;20;0.2025;0.464742587;1
SAR1;0.5;0.421890017;44;20;0.11;0.672199501;1
SAR1;0.5;0.509669162;108;20;0.27;0.355569778;1
SAR1;0.5;0.399250039;74;20;0.185;0.547234538;1
SAR1;0.5;0.512885263;76;20;0.19;0.470312965;1
SAR1;0.5;0.441226851;30;20;0.075;0.735379658;1
SAR1;0.5;0.54226191;92;20;0.23;0.391557156;1
SAR1;0.5;0.550928019;31;20;0.0775;0.668276214;1
SAR1;0.5;0.539530011;57;20;0.1425;0.53333176;1
SAR1;0.5;0.385075593;73;20;0.1825;0.559039534;1
SAR1;0.5;0.523414028;8;20;0.02;0.847695794;1
SAR1;0.5;0.580091631;20;20;0.05;0.730367947;1
SAR1;0.5;0.447923978;68;20;0.17;0.545410938;1
SAR1;0.5;0.468261191;15;20;0.0375;0.813381174;1
SAR1;0.5;0.532304664;88;20;0.22;0.411956753;1
SAR1;0.5;0.441472892;137;20;0.3425;0.290307891;1
SAR1;0.5;0.404410029;63;20;0.1575;0.592667875;1
SAR1;0.5;0.537455365;71;20;0.1775;0.473753983;1
SAR1;0.5;0.477116888;55;20;0.1375;0.586084144;1
SAR1;0.5;0.458940723;5;20;0.0125;0.875509021;1
SAR1;0.5;0.510510197;58;20;0.145;0.549497102;1
SAR1;0.5;0.496822087;144;20;0.36;0.250697848;1
SAR1;0.5;0.514047646;59;20;0.1475;0.542399197;1
SAR1;0.5;0.348944941;59;20;0.1475;0.638510281;1
SAR1;0.5;0.534998738;74;20;0.185;0.463343993;1
SAR1;0.5;0.555270763;69;20;0.1725;0.469189629;1
SAR1;0.5;0.511665375;55;20;0.1375;0.562818647;1
SAR1;0.5;0.51306038;107;20;0.2675;0.357145105;1
SAR1;0.5;0.482109663;45;20;0.1125;0.632405147;1
SAR1;0.5;0.469117982;23;20;0.0575;0.763573692;1
SAR1;0.5;0.438838597;78;20;0.195;0.508156461;1
SAR1;0.5;0.32045359;58;20;0.145;0.655468409;1
SAR1;0.5;0.524286039;62;20;0.155;0.52156012;1
SAR1;0.5;0.362209721;122;20;0.305;0.370967836;1
SAR1;0.5;0.455059763;73;20;0.1825;0.51955654;1
SAR1;0.5;0.383067194;127;20;0.3175;0.344932401;1
SAR1;0.5;0.446628339;69;20;0.1725;0.541838055;1
SAR1;0.5;0.5073578;56;20;0.14;0.561064437;1
SAR1;0.5;0.520960593;91;20;0.2275;0.408132237;1
SAR1;0.5;0.568382866;56;20;0.14;0.516188858;1
SAR1;0.5;0.45841183;136;20;0.34;0.28748725;1
SAR1;0.5;0.53814642;69;20;0.1725;0.481510721;1
SAR1;0.5;0.474617809;108;20;0.27;0.373339893;1
SAR1;0.5;0.496061811;83;20;0.2075;0.453481879;1
SAR1;0.5;0.44117721;15;20;0.0375;0.820631875;1
SAR1;0.5;0.392118473;5;20;0.0125;0.880060325;1
SAR1;0.5;0.393440025;145;20;0.3625;0.280179745;1
SAR1;0.5;0.548055952;149;20;0.3725;0.220999786;1
