VarName;RhoReference;RhoEstimated;k;N;k_N;Smaup;reject
SAR1;0.9;0.917300301;150;20;0.375;0.108365036;0
SAR1;0.9;0.851288647;41;20;0.1025;0.335772123;1
SAR1;0.9;0.88028946;33;20;0.0825;0.353514274;1
SAR1;0.9;0.904030226;27;20;0.0675;0.373986167;1
SAR1;0.9;0.894314319;15;20;0.0375;0.528438555;1
SAR1;0.9;0.878328956;19;20;0.0475;0.486466529;1
SAR1;0.9;0.870982513;28;20;0.07;0.400034503;1
SAR1;0.9;0.925911439;162;20;0.405;0.0966858;0
SAR1;0.9;0.910711588;99;20;0.2475;0.159010311;0
SAR1;0.9;0.899798095;166;20;0.415;0.098941046;0
SAR1;0.9;0.912059341;178;20;0.445;0.086935634;0
SAR1;0.9;0.870461174;22;20;0.055;0.458583731;1
SAR1;0.9;0.875103062;7;20;0.0175;0.715161636;1
SAR1;0.9;0.918951571;143;20;0.3575;0.113818667;0
SAR1;0.9;0.944120052;162;20;0.405;0.092852923;0
SAR1;0.9;0.928417733;125;20;0.3125;0.126346496;0
SAR1;0.9;0.870434526;7;20;0.0175;0.718541197;1
SAR1;0.9;0.919132141;129;20;0.3225;0.125924504;0
SAR1;0.9;0.881153698;11;20;0.0275;0.616930506;1
SAR1;0.9;0.868073238;41;20;0.1025;0.320099784;1
SAR1;0.9;0.925626787;129;20;0.3225;0.123800507;0
SAR1;0.9;0.823558851;63;20;0.1575;0.277622054;0
SAR1;0.9;0.841121268;15;20;0.0375;0.583490774;1
SAR1;0.9;0.916619805;7;20;0.0175;0.682855225;1
SAR1;0.9;0.870421702;5;20;0.0125;0.771163129;1
SAR1;0.9;0.830024738;16;20;0.04;0.579179849;1
SAR1;0.9;0.904918256;8;20;0.02;0.665359937;1
SAR1;0.9;0.907272002;197;20;0.4925;0.073536942;0
SAR1;0.9;0.863173327;10;20;0.025;0.654616348;1
SAR1;0.9;0.907600878;84;20;0.21;0.179431385;0
SAR1;0.9;0.857157296;26;20;0.065;0.432137097;1
SAR1;0.9;0.897475657;198;20;0.495;0.074046792;0
SAR1;0.9;0.866649533;34;20;0.085;0.360587724;1
SAR1;0.9;0.897921363;163;20;0.4075;0.101898127;0
SAR1;0.9;0.900557149;10;20;0.025;0.620223055;1
SAR1;0.9;0.871467623;13;20;0.0325;0.587273018;1
SAR1;0.9;0.907931951;4;20;0.01;0.780726505;1
SAR1;0.9;0.910872945;174;20;0.435;0.090259462;0
SAR1;0.9;0.874383545;11;20;0.0275;0.623376242;1
SAR1;0.9;0.855443658;20;20;0.05;0.498288562;1
SAR1;0.9;0.871576701;63;20;0.1575;0.241362177;0
SAR1;0.9;0.859523191;9;20;0.0225;0.679523145;1
SAR1;0.9;0.879901755;21;20;0.0525;0.45987476;1
SAR1;0.9;0.847882632;34;20;0.085;0.379347746;1
SAR1;0.9;0.826899803;57;20;0.1425;0.293117039;0
SAR1;0.9;0.929277556;117;20;0.2925;0.133130812;0
SAR1;0.9;0.827623365;19;20;0.0475;0.540142687;1
SAR1;0.9;0.843905531;32;20;0.08;0.39712063;1
SAR1;0.9;0.885426366;17;20;0.0425;0.506630386;1
SAR1;0.9;0.846566288;10;20;0.025;0.668914767;1
SAR1;0.9;0.927214505;85;20;0.2125;0.167601787;0
SAR1;0.9;0.851644734;12;20;0.03;0.625061089;1
SAR1;0.9;0.905987722;132;20;0.33;0.127483403;0
SAR1;0.9;0.849376434;12;20;0.03;0.627174698;1
SAR1;0.9;0.859697109;25;20;0.0625;0.438896224;1
SAR1;0.9;0.916828754;52;20;0.13;0.236921955;0
SAR1;0.9;0.901659981;21;20;0.0525;0.436261616;1
SAR1;0.9;0.887901289;4;20;0.01;0.790703838;1
SAR1;0.9;0.83063993;39;20;0.0975;0.36611826;1
SAR1;0.9;0.84098887;19;20;0.0475;0.526258213;1
SAR1;0.9;0.920165187;165;20;0.4125;0.095542625;0
SAR1;0.9;0.926070867;134;20;0.335;0.119375011;0
