"";"Var";"N";"RhoReference";"RhoEstimated";"k";"Theta";"r";"SMAUP"
"1";"SAR1_0";20;-0.9;-0.912914022662;305;0.7625;30;0.0359261617498048
"2";"SAR1_0";20;-0.9;-0.871668728883;394;0.985;30;0.00562039428936328
"3";"SAR1_0";20;-0.9;-0.918575789902;363;0.9075;30;0.0112081362930811
"4";"SAR1_0";20;-0.9;-0.875707924079;363;0.9075;30;0.0111708791754391
"5";"SAR1_0";20;-0.9;-0.90081484208;330;0.825;30;0.0221139960582504
"6";"SAR1_0";20;-0.9;-0.928421030609;301;0.7525;30;0.038801145273572
"7";"SAR1_0";20;-0.9;-0.916335064875;357;0.8925;30;0.0127355871613102
"8";"SAR1_0";20;-0.9;-0.861498761423;317;0.7925;30;0.0283798534738495
"9";"SAR1_0";20;-0.9;-0.90385384898;359;0.8975;30;0.0121931257392291
"10";"SAR1_0";20;-0.9;-0.90990600838;320;0.8;30;0.0269502118981997
"11";"SAR1_0";20;-0.9;-0.916388644694;332;0.83;30;0.0212921344264454
"12";"SAR1_0";20;-0.9;-0.918616311358;348;0.87;30;0.0153808953847219
"13";"SAR1_0";20;-0.9;-0.841701149655;348;0.87;30;0.0152515630430414
"14";"SAR1_0";20;-0.9;-0.887366083698;378;0.945;30;0.00806419649605401
"15";"SAR1_0";20;-0.9;-0.915544901117;387;0.9675;30;0.00658884863291241
"16";"SAR1_0";20;-0.9;-0.897658945647;322;0.805;30;0.0258783437463965
"17";"SAR1_0";20;-0.9;-0.881991032965;299;0.7475;30;0.0400358222824849
"18";"SAR1_0";20;-0.9;-0.86955806701;301;0.7525;30;0.0385065280847382
"19";"SAR1_0";20;-0.9;-0.920389822539;379;0.9475;30;0.00789358320832616
"20";"SAR1_0";20;-0.9;-0.918823574124;296;0.74;30;0.0425259569015184
"21";"SAR1_0";20;-0.9;-0.891740422444;340;0.85;30;0.0180684185460313
"22";"SAR1_0";20;-0.9;-0.865339856033;332;0.83;30;0.0211541445622186
"23";"SAR1_0";20;-0.9;-0.905550809782;303;0.7575;30;0.037266937386533
"24";"SAR1_0";20;-0.9;-0.917944714982;307;0.7675;30;0.0346177731349122
"25";"SAR1_0";20;-0.9;-0.903660475645;391;0.9775;30;0.00601398618311233
"26";"SAR1_0";20;-0.9;-0.919893686657;380;0.95;30;0.0077187250298748
"27";"SAR1_0";20;-0.9;-0.911260289861;347;0.8675;30;0.0156899043521989
"28";"SAR1_0";20;-0.9;-0.87251727193;353;0.8825;30;0.0137944578012498
"29";"SAR1_0";20;-0.9;-0.892669857919;343;0.8575;30;0.016998663976902
"30";"SAR1_0";20;-0.9;-0.898929150938;338;0.845;30;0.0188323193877969
"31";"SAR1_0";20;-0.9;-0.899721186419;305;0.7625;30;0.0358646564921332
"32";"SAR1_0";20;-0.9;-0.92399355156;380;0.95;30;0.00771938209305217
"33";"SAR1_0";20;-0.9;-0.902643374181;369;0.9225;30;0.00983375916439811
"34";"SAR1_0";20;-0.9;-0.924667220286;349;0.8725;30;0.0150747688936208
"35";"SAR1_0";20;-0.9;-0.884431107672;395;0.9875;30;0.00548905355643269
"36";"SAR1_0";20;-0.9;-0.933012696803;343;0.8575;30;0.0170779376408234
"37";"SAR1_0";20;-0.9;-0.887140461545;380;0.95;30;0.00771347343329114
"38";"SAR1_0";20;-0.9;-0.891355806958;321;0.8025;30;0.0263662047975917
"39";"SAR1_0";20;-0.9;-0.916558204356;355;0.8875;30;0.0132852710367533
"40";"SAR1_0";20;-0.9;-0.915521543535;366;0.915;30;0.0105038251643276
"41";"SAR1_0";20;-0.9;-0.853774612762;316;0.79;30;0.0289023001724283
"42";"SAR1_0";20;-0.9;-0.881076245083;344;0.86;30;0.0166319292843898
"43";"SAR1_0";20;-0.9;-0.907930222593;359;0.8975;30;0.0121974711614168
"44";"SAR1_0";20;-0.9;-0.916867792797;351;0.8775;30;0.014447988544662
"45";"SAR1_0";20;-0.9;-0.836060284348;337;0.8425;30;0.0190665474838753
"46";"SAR1_0";20;-0.9;-0.903172186334;359;0.8975;30;0.0121923987709136
"47";"SAR1_0";20;-0.9;-0.896193053991;345;0.8625;30;0.0163224844689743
"48";"SAR1_0";20;-0.9;-0.908933924787;380;0.95;30;0.0077169682378568
"49";"SAR1_0";20;-0.9;-0.883648756126;387;0.9675;30;0.00659099199225169
"50";"SAR1_0";20;-0.9;-0.891079157355;385;0.9625;30;0.00689556623621644
"51";"SAR1_0";20;-0.9;-0.938400319469;386;0.965;30;0.00673973976728792
"52";"SAR1_0";20;-0.9;-0.896471180199;334;0.835;30;0.0204058029484888
"53";"SAR1_0";20;-0.9;-0.925357399988;379;0.9475;30;0.00789455569391828
"54";"SAR1_0";20;-0.9;-0.902807273619;383;0.9575;30;0.00721386656321561
"55";"SAR1_0";20;-0.9;-0.891656953929;341;0.8525;30;0.0177045490288618
"56";"SAR1_0";20;-0.9;-0.888862919534;306;0.765;30;0.0351443662555215
"57";"SAR1_0";20;-0.9;-0.873579380168;347;0.8675;30;0.0156245321820504
"58";"SAR1_0";20;-0.9;-0.903367881991;291;0.7275;30;0.046530826657533
"59";"SAR1_0";20;-0.9;-0.930366674358;299;0.7475;30;0.0402839119044758
"60";"SAR1_0";20;-0.9;-0.916311988859;342;0.855;30;0.0173975183153492
"61";"SAR1_0";20;-0.9;-0.871964187152;379;0.9475;30;0.00788409531913077
"62";"SAR1_0";20;-0.9;-0.885756397163;371;0.9275;30;0.00940550615560815
"63";"SAR1_0";20;-0.9;-0.907128597508;342;0.855;30;0.0173788987008812
"64";"SAR1_0";20;-0.9;-0.901642233015;380;0.95;30;0.00771579915194017
"65";"SAR1_0";20;-0.9;-0.910860642693;325;0.8125;30;0.0244429639746191
"66";"SAR1_0";20;-0.9;-0.864864556813;382;0.955;30;0.0073744334217778
"67";"SAR1_0";20;-0.9;-0.898901432652;343;0.8575;30;0.0170109815785907
"68";"SAR1_0";20;-0.9;-0.888604929774;312;0.78;30;0.0313568382564274
"69";"SAR1_0";20;-0.9;-0.925686944077;300;0.75;30;0.0395180245113109
"70";"SAR1_0";20;-0.9;-0.902937745408;394;0.985;30;0.00561232766096623
"71";"SAR1_0";20;-0.9;-0.915240499971;390;0.975;30;0.00615175174460689
"72";"SAR1_0";20;-0.9;-0.894784384788;313;0.7825;30;0.0307877021286196
"73";"SAR1_0";20;-0.9;-0.918174726425;357;0.8925;30;0.0127377334633808
"74";"SAR1_0";20;-0.9;-0.930345267971;361;0.9025;30;0.0117103231705615
"75";"SAR1_0";20;-0.9;-0.896865062179;367;0.9175;30;0.0102660326293378
"76";"SAR1_0";20;-0.9;-0.902020158742;394;0.985;30;0.00561256450178344
"77";"SAR1_0";20;-0.9;-0.881229847239;378;0.945;30;0.00806277071260077
"78";"SAR1_0";20;-0.9;-0.925404303742;388;0.97;30;0.00643920494813114
"79";"SAR1_0";20;-0.9;-0.899137811073;362;0.905;30;0.0114334300586264
"80";"SAR1_0";20;-0.9;-0.890234232294;353;0.8825;30;0.0138191317901417
"81";"SAR1_0";20;-0.9;-0.941176731483;286;0.715;30;0.0511908189132873
"82";"SAR1_0";20;-0.9;-0.897041569797;361;0.9025;30;0.0116782082406063
"83";"SAR1_0";20;-0.9;-0.892455696429;364;0.91;30;0.0109481930231289
"84";"SAR1_0";20;-0.9;-0.905861647222;299;0.7475;30;0.0401596366888162
"85";"SAR1_0";20;-0.9;-0.9179964046;368;0.92;30;0.0100595418447481
"86";"SAR1_0";20;-0.9;-0.898048862731;379;0.9475;30;0.00788920776123096
"87";"SAR1_0";20;-0.9;-0.862039200412;315;0.7875;30;0.0294976344859925
"88";"SAR1_0";20;-0.9;-0.882731696642;310;0.775;30;0.0325509511695166
"89";"SAR1_0";20;-0.9;-0.914076695301;395;0.9875;30;0.00548068066847281
"90";"SAR1_0";20;-0.9;-0.909547322511;367;0.9175;30;0.0102746823405254
"91";"SAR1_0";20;-0.9;-0.861889838545;392;0.98;30;0.00588592518262924
"92";"SAR1_0";20;-0.9;-0.828227419863;341;0.8525;30;0.0175694435235875
"93";"SAR1_0";20;-0.9;-0.89149135506;380;0.95;30;0.00771417129521485
"94";"SAR1_0";20;-0.9;-0.886002932275;302;0.755;30;0.0378752584228953
"95";"SAR1_0";20;-0.9;-0.876087446724;306;0.765;30;0.0350846261188337
"96";"SAR1_0";20;-0.9;-0.91777448846;371;0.9275;30;0.00942176623161389
"97";"SAR1_0";20;-0.9;-0.908257437934;388;0.97;30;0.00644086322815309
"98";"SAR1_0";20;-0.9;-0.899101384511;328;0.82;30;0.0230035895421851
"99";"SAR1_0";20;-0.9;-0.867743508516;321;0.8025;30;0.0262831900240514
"100";"SAR1_0";20;-0.9;-0.90764584579;283;0.7075;30;0.0538245662730904
"101";"SAR1_0";20;-0.9;-0.861322533109;344;0.86;30;0.0165937939361208
"102";"SAR1_0";20;-0.9;-0.897620480793;390;0.975;30;0.00615445559142103
"103";"SAR1_0";20;-0.9;-0.870041290815;360;0.9;30;0.0119021098071224
"104";"SAR1_0";20;-0.9;-0.879716109193;370;0.925;30;0.00960926154979701
"105";"SAR1_0";20;-0.9;-0.900041602243;384;0.96;30;0.00705301021585482
"106";"SAR1_0";20;-0.9;-0.887899681027;304;0.76;30;0.0364893461327945
"107";"SAR1_0";20;-0.9;-0.880722993521;393;0.9825;30;0.00574868523591593
"108";"SAR1_0";20;-0.9;-0.859854552943;307;0.7675;30;0.0343521519804443
"109";"SAR1_0";20;-0.9;-0.869614505686;340;0.85;30;0.0180202198428537
"110";"SAR1_0";20;-0.9;-0.894005553491;335;0.8375;30;0.0199942105099114
"111";"SAR1_0";20;-0.9;-0.897250103289;341;0.8525;30;0.0177163128623419
"112";"SAR1_0";20;-0.9;-0.937061312489;376;0.94;30;0.00844428968624127
"113";"SAR1_0";20;-0.9;-0.925016485951;356;0.89;30;0.0130182929497646
"114";"SAR1_0";20;-0.9;-0.90590341055;301;0.7525;30;0.0386902815354533
"115";"SAR1_0";20;-0.9;-0.897118986272;360;0.9;30;0.0119297106774677
"116";"SAR1_0";20;-0.9;-0.917773002555;385;0.9625;30;0.00689540688729918
"117";"SAR1_0";20;-0.9;-0.880672182491;363;0.9075;30;0.0111752056351008
"118";"SAR1_0";20;-0.9;-0.85189556733;381;0.9525;30;0.00753886584303059
"119";"SAR1_0";20;-0.9;-0.89289941146;353;0.8825;30;0.0138228345159212
"120";"SAR1_0";20;-0.9;-0.898435124172;287;0.7175;30;0.050017560888195
"121";"SAR1_0";20;-0.9;-0.888665279524;342;0.855;30;0.0173412780864486
"122";"SAR1_0";20;-0.9;-0.889213653809;282;0.705;30;0.0546801310852957
"123";"SAR1_0";20;-0.9;-0.924412462138;379;0.9475;30;0.00789437071811046
"124";"SAR1_0";20;-0.9;-0.904022845542;364;0.91;30;0.0109576920585637
"125";"SAR1_0";20;-0.9;-0.894248777165;391;0.9775;30;0.00601568677276559
"126";"SAR1_0";20;-0.9;-0.897217502658;336;0.84;30;0.0196039102498053
"127";"SAR1_0";20;-0.9;-0.913909315222;364;0.91;30;0.0109657989043662
"128";"SAR1_0";20;-0.9;-0.874083009919;328;0.82;30;0.0229287944477582
"129";"SAR1_0";20;-0.9;-0.901456500357;340;0.85;30;0.0180894565380828
"130";"SAR1_0";20;-0.9;-0.876009543875;359;0.8975;30;0.01216335750136
"131";"SAR1_0";20;-0.9;-0.906359935846;381;0.9525;30;0.00754570744028413
"132";"SAR1_0";20;-0.9;-0.87327539196;389;0.9725;30;0.0062997626972351
"133";"SAR1_0";20;-0.9;-0.889858239489;317;0.7925;30;0.0284884712564903
"134";"SAR1_0";20;-0.9;-0.913614001009;313;0.7825;30;0.0308641035753759
"135";"SAR1_0";20;-0.9;-0.897674683637;335;0.8375;30;0.0200033591043885
"136";"SAR1_0";20;-0.9;-0.931201577251;342;0.855;30;0.0174275771466988
"137";"SAR1_0";20;-0.9;-0.89362563755;374;0.935;30;0.00881093101301876
"138";"SAR1_0";20;-0.9;-0.877506225558;323;0.8075;30;0.0253097926429316
"139";"SAR1_0";20;-0.9;-0.861381090929;369;0.9225;30;0.00980922385049495
"140";"SAR1_0";20;-0.9;-0.903957507118;334;0.835;30;0.0204249346894232
"141";"SAR1_0";20;-0.9;-0.847542058807;385;0.9625;30;0.00689582612278436
"142";"SAR1_0";20;-0.9;-0.91216554818;289;0.7225;30;0.0483128137060353
"143";"SAR1_0";20;-0.9;-0.895675753602;370;0.925;30;0.00961805491226682
"144";"SAR1_0";20;-0.9;-0.896419978208;290;0.725;30;0.0473481041405312
"145";"SAR1_0";20;-0.9;-0.911638580556;367;0.9175;30;0.0102761074508797
"146";"SAR1_0";20;-0.9;-0.869225759484;285;0.7125;30;0.0516753444581531
"147";"SAR1_0";20;-0.9;-0.89473397371;342;0.855;30;0.0173536709453968
"148";"SAR1_0";20;-0.9;-0.90997037799;339;0.8475;30;0.0184793242560257
"149";"SAR1_0";20;-0.9;-0.907592696579;383;0.9575;30;0.00721414543919243
"150";"SAR1_0";20;-0.9;-0.886613123373;384;0.96;30;0.00705266407470694
"151";"SAR1_0";20;-0.9;-0.917522127186;356;0.89;30;0.0130091637515415
"152";"SAR1_0";20;-0.9;-0.907763750877;326;0.815;30;0.023956969931154
"153";"SAR1_0";20;-0.9;-0.908057083634;287;0.7175;30;0.0500761053229539
"154";"SAR1_0";20;-0.9;-0.895274806325;376;0.94;30;0.0084314648766243
"155";"SAR1_0";20;-0.9;-0.84872761672;320;0.8;30;0.0267304703185544
"156";"SAR1_0";20;-0.9;-0.903240729852;287;0.7175;30;0.0500468785015886
"157";"SAR1_0";20;-0.9;-0.873471579905;355;0.8875;30;0.013230180702408
"158";"SAR1_0";20;-0.9;-0.887491788532;372;0.93;30;0.00920321683156965
"159";"SAR1_0";20;-0.9;-0.924202873367;392;0.98;30;0.00587301519322757
"160";"SAR1_0";20;-0.9;-0.858475078654;294;0.735;30;0.043784471169143
"161";"SAR1_0";20;-0.9;-0.844273439066;301;0.7525;30;0.0383751324247973
"162";"SAR1_0";20;-0.9;-0.913955523862;365;0.9125;30;0.0107320467029416
"163";"SAR1_0";20;-0.9;-0.904436412737;392;0.98;30;0.00587711291919099
"164";"SAR1_0";20;-0.9;-0.893939555136;391;0.9775;30;0.00601574263883613
"165";"SAR1_0";20;-0.9;-0.91130926271;381;0.9525;30;0.00754632879720816
"166";"SAR1_0";20;-0.9;-0.89873987154;382;0.955;30;0.00737753520283291
"167";"SAR1_0";20;-0.9;-0.865230815714;312;0.78;30;0.0312582551074949
"168";"SAR1_0";20;-0.9;-0.896335589152;376;0.94;30;0.00843179076938354
"169";"SAR1_0";20;-0.9;-0.875773234352;342;0.855;30;0.0173148623097958
"170";"SAR1_0";20;-0.9;-0.931663211688;367;0.9175;30;0.0102897363005131
"171";"SAR1_0";20;-0.9;-0.854688079916;387;0.9675;30;0.00659293750837293
"172";"SAR1_0";20;-0.9;-0.912159226167;345;0.8625;30;0.0163519989490868
"173";"SAR1_0";20;-0.9;-0.879792136636;323;0.8075;30;0.025317491476008
"174";"SAR1_0";20;-0.9;-0.892411690164;319;0.7975;30;0.0274156372377329
"175";"SAR1_0";20;-0.9;-0.937305907982;286;0.715;30;0.051167914500634
"176";"SAR1_0";20;-0.9;-0.910027854269;372;0.93;30;0.00921372482187165
"177";"SAR1_0";20;-0.9;-0.891227064224;280;0.7;30;0.0566888205914902
"178";"SAR1_0";20;-0.9;-0.87134872471;312;0.78;30;0.0312842223704312
"179";"SAR1_0";20;-0.9;-0.916118403464;304;0.76;30;0.0366235786931777
"180";"SAR1_0";20;-0.9;-0.913647095285;292;0.73;30;0.0457447353167397
"181";"SAR1_0";20;-0.9;-0.898372136696;323;0.8075;30;0.0253796844858315
"182";"SAR1_0";20;-0.9;-0.935162432307;361;0.9025;30;0.0117149538355089
"183";"SAR1_0";20;-0.9;-0.895612400327;351;0.8775;30;0.0144161870532246
"184";"SAR1_0";20;-0.9;-0.910578047268;322;0.805;30;0.0259221398156998
"185";"SAR1_0";20;-0.9;-0.893042331388;375;0.9375;30;0.00861887818323869
"186";"SAR1_0";20;-0.9;-0.933039984909;307;0.7675;30;0.0346847653662082
"187";"SAR1_0";20;-0.9;-0.855804235796;335;0.8375;30;0.0198980821982522
"188";"SAR1_0";20;-0.9;-0.8931860379;299;0.7475;30;0.0400942310438324
"189";"SAR1_0";20;-0.9;-0.857811073716;303;0.7575;30;0.0370320035836538
"190";"SAR1_0";20;-0.9;-0.92211522906;350;0.875;30;0.0147604098910292
"191";"SAR1_0";20;-0.9;-0.886074518761;379;0.9475;30;0.00788686136769854
"192";"SAR1_0";20;-0.9;-0.860210366586;343;0.8575;30;0.0169340740723041
"193";"SAR1_0";20;-0.9;-0.89440958082;303;0.7575;30;0.0372129767134096
"194";"SAR1_0";20;-0.9;-0.892346790057;344;0.86;30;0.0166535755647454
"195";"SAR1_0";20;-0.9;-0.900741206444;312;0.78;30;0.0314073567578897
"196";"SAR1_0";20;-0.9;-0.910200741037;379;0.9475;30;0.00789158806244328
"197";"SAR1_0";20;-0.9;-0.885653539141;301;0.7525;30;0.0385886420801907
"198";"SAR1_0";20;-0.9;-0.892225848072;317;0.7925;30;0.028497446383091
"199";"SAR1_0";20;-0.9;-0.882650252827;390;0.975;30;0.00615675200023382
"200";"SAR1_0";20;-0.9;-0.9231083085;391;0.9775;30;0.00601047088355178
"201";"SAR1_0";20;-0.9;-0.836109403206;390;0.975;30;0.00616388647335686
"202";"SAR1_0";20;-0.9;-0.907382448259;363;0.9075;30;0.0111984305176559
"203";"SAR1_0";20;-0.9;-0.911635432635;380;0.95;30;0.00771740131994544
"204";"SAR1_0";20;-0.9;-0.886269098622;367;0.9175;30;0.0102587963059484
"205";"SAR1_0";20;-0.9;-0.896767690061;350;0.875;30;0.0147210781567927
"206";"SAR1_0";20;-0.9;-0.921843228743;394;0.985;30;0.00560744622037783
"207";"SAR1_0";20;-0.9;-0.911691322828;346;0.865;30;0.0160178715444594
"208";"SAR1_0";20;-0.9;-0.905560696881;364;0.91;30;0.0109589538142502
"209";"SAR1_0";20;-0.9;-0.901165586631;386;0.965;30;0.00674111611239462
"210";"SAR1_0";20;-0.9;-0.913458698493;301;0.7525;30;0.0387277313094573
"211";"SAR1_0";20;-0.9;-0.849720025875;335;0.8375;30;0.0198826240828197
"212";"SAR1_0";20;-0.9;-0.90243604943;365;0.9125;30;0.0107231399423116
"213";"SAR1_0";20;-0.9;-0.862755104678;312;0.78;30;0.0312477138159996
"214";"SAR1_0";20;-0.9;-0.883770121808;317;0.7925;30;0.0284653268643215
"215";"SAR1_0";20;-0.9;-0.905491536973;353;0.8825;30;0.013840296852312
"216";"SAR1_0";20;-0.9;-0.861683323342;391;0.9775;30;0.00602156783686263
"217";"SAR1_0";20;-0.9;-0.916064405039;308;0.77;30;0.0339602463337043
"218";"SAR1_0";20;-0.9;-0.895447125715;349;0.8725;30;0.0150277576841793
"219";"SAR1_0";20;-0.9;-0.909577789368;355;0.8875;30;0.0132763812498119
"220";"SAR1_0";20;-0.9;-0.901895905909;310;0.775;30;0.0326338366252943
"221";"SAR1_0";20;-0.9;-0.860997588398;337;0.8425;30;0.0191265746715729
"222";"SAR1_0";20;-0.9;-0.899306405372;284;0.71;30;0.0528116337495022
"223";"SAR1_0";20;-0.9;-0.890199182455;339;0.8475;30;0.0184353033396453
"224";"SAR1_0";20;-0.9;-0.878713569361;287;0.7175;30;0.0498955998961867
"225";"SAR1_0";20;-0.9;-0.895388415212;318;0.795;30;0.0279632669628826
"226";"SAR1_0";20;-0.9;-0.887590572886;394;0.985;30;0.00561628795864286
"227";"SAR1_0";20;-0.9;-0.875366989748;306;0.765;30;0.0350812384104005
"228";"SAR1_0";20;-0.9;-0.896672307719;339;0.8475;30;0.0184497534419132
"229";"SAR1_0";20;-0.9;-0.915544117706;359;0.8975;30;0.0122055789517461
"230";"SAR1_0";20;-0.9;-0.894786616881;332;0.83;30;0.021234150637354
"231";"SAR1_0";20;-0.9;-0.919597909388;355;0.8875;30;0.0132891379266482
"232";"SAR1_0";20;-0.9;-0.886768024192;377;0.9425;30;0.00824465493809561
"233";"SAR1_0";20;-0.9;-0.884795377693;392;0.98;30;0.00588118232780441
"234";"SAR1_0";20;-0.9;-0.90145404241;378;0.945;30;0.00806746869037576
"235";"SAR1_0";20;-0.9;-0.873165832273;358;0.895;30;0.0124201795038128
"236";"SAR1_0";20;-0.9;-0.900508717817;357;0.8925;30;0.0127170900145779
"237";"SAR1_0";20;-0.9;-0.875880361066;356;0.89;30;0.0129581753148148
"238";"SAR1_0";20;-0.9;-0.905643045748;322;0.805;30;0.0259054505450437
"239";"SAR1_0";20;-0.9;-0.9182078435;383;0.9575;30;0.00721476400672766
"240";"SAR1_0";20;-0.9;-0.865224476083;300;0.75;30;0.0392096388126062
"241";"SAR1_0";20;-0.9;-0.919341672229;316;0.79;30;0.0291566202343876
"242";"SAR1_0";20;-0.9;-0.893777168543;345;0.8625;30;0.0163180052488682
"243";"SAR1_0";20;-0.9;-0.93351836074;356;0.89;30;0.0130286319568715
"244";"SAR1_0";20;-0.9;-0.953165172479;392;0.98;30;0.00586700689528399
"245";"SAR1_0";20;-0.9;-0.89176706688;362;0.905;30;0.0114266645376715
"246";"SAR1_0";20;-0.9;-0.890921908503;386;0.965;30;0.00674149471054889
"247";"SAR1_0";20;-0.9;-0.871637313334;327;0.8175;30;0.0233786392547098
"248";"SAR1_0";20;-0.9;-0.8736344276;356;0.89;30;0.0129554126246307
"249";"SAR1_0";20;-0.9;-0.882148611817;345;0.8625;30;0.0162963961634632
"250";"SAR1_0";20;-0.9;-0.878455549461;392;0.98;30;0.00588249537741858
"251";"SAR1_0";20;-0.9;-0.922686822165;376;0.94;30;0.00843988093916131
"252";"SAR1_0";20;-0.9;-0.895420436599;309;0.7725;30;0.0332320105360933
"253";"SAR1_0";20;-0.9;-0.864405822005;392;0.98;30;0.0058854043735233
"254";"SAR1_0";20;-0.9;-0.861578473044;331;0.8275;30;0.0215690826323685
"255";"SAR1_0";20;-0.9;-0.907991467502;304;0.76;30;0.0365852524156217
"256";"SAR1_0";20;-0.9;-0.905521959769;384;0.96;30;0.00705315147589524
"257";"SAR1_0";20;-0.9;-0.867498217748;314;0.785;30;0.0300923872304471
"258";"SAR1_0";20;-0.9;-0.901508461736;366;0.915;30;0.0104936374109996
"259";"SAR1_0";20;-0.9;-0.854914502961;284;0.71;30;0.0525225360890255
"260";"SAR1_0";20;-0.9;-0.907742429364;338;0.845;30;0.0188524859912059
"261";"SAR1_0";20;-0.9;-0.882650252827;390;0.975;30;0.00615675200023382
