Vname;N;k;RhoReference;RhoEstimated;RCM_bar;RCV_bar
SAR16_15_0.7_5;15;5;0.7;0.67128855;0.03823877;0.8772308
SAR16_15_0.7_60;15;60;0.7;0.67128855;0.02478813;0.21400059
SAR16_15_0.7_90;15;90;0.7;0.67128855;0.0265686;0.09608984
SAR16_15_0.9_10;15;10;0.9;0.90251794;0.07387217;0.35537828
SAR16_15_0.9_120;15;120;0.9;0.90251794;0.0114321;0.1277866
SAR16_15_0.9_15;15;15;0.9;0.90251794;0.048351;0.30504714
SAR16_15_0.9_150;15;150;0.9;0.90251794;0.00942833;0.13004108
SAR16_15_0.9_180;15;180;0.9;0.90251794;0.00587817;0.07362663
SAR16_15_0.9_200;15;200;0.9;0.90251794;0.00919023;0.03356451
SAR16_15_0.9_220;15;220;0.9;0.90251794;0.00594196;0.0084852
SAR16_15_0.9_3;15;3;0.9;0.90251794;0.05113752;0.79427413
SAR16_15_0.9_30;15;30;0.9;0.90251794;0.04654718;0.12191049
SAR16_15_0.9_5;15;5;0.9;0.90251794;0.05999159;0.62492599
SAR16_15_0.9_60;15;60;0.9;0.90251794;0.04020577;0.12388067
SAR16_15_0.9_90;15;90;0.9;0.90251794;0.02428039;0.12754783
SAR16_15_0_10;15;10;0;-0.04686;0.02563628;0.91470377
SAR16_15_0_120;15;120;0;-0.04686;0.01721725;0.13778447
SAR16_15_0_15;15;15;0;-0.04686;0.02419006;0.82923857
SAR16_15_0_150;15;150;0;-0.04686;0.01080377;0.07893308
SAR16_15_0_180;15;180;0;-0.04686;0.00522537;0.03397905
SAR16_15_0_200;15;200;0;-0.04686;0.00549756;0.02235041
SAR16_15_0_220;15;220;0;-0.04686;0.00392864;0.00848586
SAR16_15_0_3;15;3;0;-0.04686;0.0066226;0.99629495
SAR16_15_0_30;15;30;0;-0.04686;0.02964224;0.66124748
SAR16_15_0_5;15;5;0;-0.04686;0.02024264;0.96459004
SAR16_15_0_60;15;60;0;-0.04686;0.02806262;0.42146838
SAR16_15_0_90;15;90;0;-0.04686;0.02591385;0.25749394
SAR16_20_-0.3_110;20;110;-0.3;-0.2998728;0.02108717;0.44274955
SAR16_20_-0.3_160;20;160;-0.3;-0.2998728;0.01541678;0.27157979
SAR16_20_-0.3_18;20;18;-0.3;-0.2998728;0.02484992;0.87541196
SAR16_20_-0.3_213;20;213;-0.3;-0.2998728;0.01188299;0.20638253
SAR16_20_-0.3_26;20;26;-0.3;-0.2998728;0.02623871;0.85382405
SAR16_20_-0.3_267;20;267;-0.3;-0.2998728;0.01086766;0.1118808
SAR16_20_-0.3_320;20;320;-0.3;-0.2998728;0.00920627;0.06917824
SAR16_20_-0.3_360;20;360;-0.3;-0.2998728;0.00375285;0.0257447
SAR16_20_-0.3_396;20;396;-0.3;-0.2998728;0.00111108;0.00471906
SAR16_20_-0.3_4;20;4;-0.3;-0.2998728;0.01375132;0.98862906
SAR16_20_-0.3_50;20;50;-0.3;-0.2998728;0.01968225;0.72415621
SAR16_20_-0.3_9;20;9;-0.3;-0.2998728;0.03020097;0.90662143
SAR16_20_-0.5_110;20;110;-0.5;-0.4839437;0.02091043;0.42539403
SAR16_20_-0.5_160;20;160;-0.5;-0.4839437;0.01801329;0.26998601
SAR16_20_-0.5_18;20;18;-0.5;-0.4839437;0.02614329;0.9120847
SAR16_20_-0.5_213;20;213;-0.5;-0.4839437;0.02123602;0.1510333
SAR16_20_-0.5_26;20;26;-0.5;-0.4839437;0.02117738;0.87540657
SAR16_20_-0.5_267;20;267;-0.5;-0.4839437;0.01247029;0.11161038
SAR16_20_-0.5_320;20;320;-0.5;-0.4839437;0.01002191;0.04601493
SAR16_20_-0.5_360;20;360;-0.5;-0.4839437;0.00416821;0.03464984
SAR16_20_-0.5_396;20;396;-0.5;-0.4839437;0.00104115;0.0047786
SAR16_20_-0.5_4;20;4;-0.5;-0.4839437;0.00760076;0.99585416
SAR16_20_-0.5_50;20;50;-0.5;-0.4839437;0.02301909;0.74839706
SAR16_20_-0.5_9;20;9;-0.5;-0.4839437;0.01496792;0.97374888
SAR16_20_-0.7_110;20;110;-0.7;-0.6594396;0.01796449;0.4053117
SAR16_20_-0.7_160;20;160;-0.7;-0.6594396;0.01356393;0.26669824
SAR16_20_-0.7_18;20;18;-0.7;-0.6594396;0.03079685;0.87347615
SAR16_20_-0.7_213;20;213;-0.7;-0.6594396;0.01025224;0.15739741
SAR16_20_-0.7_26;20;26;-0.7;-0.6594396;0.02458217;0.8628615
SAR16_20_-0.7_267;20;267;-0.7;-0.6594396;0.01097677;0.10459432
SAR16_20_-0.7_320;20;320;-0.7;-0.6594396;0.00626688;0.04966163
SAR16_20_-0.7_360;20;360;-0.7;-0.6594396;0.00354675;0.02810241
SAR16_20_-0.7_396;20;396;-0.7;-0.6594396;0.00093582;0.00446594
SAR16_20_-0.7_4;20;4;-0.7;-0.6594396;0.00672818;0.9975639
SAR16_20_-0.7_50;20;50;-0.7;-0.6594396;0.0225637;0.692718
SAR16_20_-0.7_9;20;9;-0.7;-0.6594396;0.0131952;0.98021871
SAR16_20_-0.9_110;20;110;-0.9;-0.8930246;0.01880291;0.37184142
SAR16_20_-0.9_160;20;160;-0.9;-0.8930246;0.01515844;0.2273148
SAR16_20_-0.9_18;20;18;-0.9;-0.8930246;0.02675484;0.88403781
SAR16_20_-0.9_213;20;213;-0.9;-0.8930246;0.01326762;0.17558431
SAR16_20_-0.9_26;20;26;-0.9;-0.8930246;0.0208224;0.85716317
SAR16_20_-0.9_267;20;267;-0.9;-0.8930246;0.0086438;0.1110224
SAR16_20_-0.9_320;20;320;-0.9;-0.8930246;0.00472288;0.04050948
SAR16_20_-0.9_360;20;360;-0.9;-0.8930246;0.00256084;0.01292189
SAR16_20_-0.9_396;20;396;-0.9;-0.8930246;0.00060467;0.0040472
SAR16_20_-0.9_4;20;4;-0.9;-0.8930246;0.01821551;0.98753947
SAR16_20_-0.9_50;20;50;-0.9;-0.8930246;0.0219223;0.65412717
SAR16_20_-0.9_9;20;9;-0.9;-0.8930246;0.01263006;0.96229352
SAR16_20_0.3_110;20;110;0.3;0.37909038;0.02702774;0.32555711
SAR16_20_0.3_160;20;160;0.3;0.37909038;0.02307552;0.18806358
SAR16_20_0.3_18;20;18;0.3;0.37909038;0.02930653;0.84478847
SAR16_20_0.3_213;20;213;0.3;0.37909038;0.01455319;0.11110089
SAR16_20_0.3_26;20;26;0.3;0.37909038;0.02221993;0.78052742
SAR16_20_0.3_267;20;267;0.3;0.37909038;0.0189699;0.05949367
SAR16_20_0.3_320;20;320;0.3;0.37909038;0.01031603;0.02836659
SAR16_20_0.3_360;20;360;0.3;0.37909038;0.00630287;0.01301883
SAR16_20_0.3_396;20;396;0.3;0.37909038;0.00169795;0.0038589
SAR16_20_0.3_4;20;4;0.3;0.37909038;0.03140988;0.96588373
SAR16_20_0.3_50;20;50;0.3;0.37909038;0.02631584;0.56689687
SAR16_20_0.3_9;20;9;0.3;0.37909038;0.02013552;0.93927018
SAR16_20_0.5_110;20;110;0.5;0.45479465;0.03074658;0.27533988
SAR16_20_0.5_160;20;160;0.5;0.45479465;0.02188309;0.17769021
SAR16_20_0.5_18;20;18;0.5;0.45479465;0.03072522;0.79491427
SAR16_20_0.5_213;20;213;0.5;0.45479465;0.01701219;0.08878568
SAR16_20_0.5_26;20;26;0.5;0.45479465;0.03480602;0.74977702
SAR16_20_0.5_267;20;267;0.5;0.45479465;0.01681328;0.05210656
SAR16_20_0.5_320;20;320;0.5;0.45479465;0.01085939;0.02888272
SAR16_20_0.5_360;20;360;0.5;0.45479465;0.00588662;0.01399417
SAR16_20_0.5_396;20;396;0.5;0.45479465;0.0010531;0.00427554
SAR16_20_0.5_4;20;4;0.5;0.45479465;0.01404811;0.9841603
SAR16_20_0.5_50;20;50;0.5;0.45479465;0.02826241;0.57487981
SAR16_20_0.5_9;20;9;0.5;0.45479465;0.02884331;0.91883501
SAR16_20_0.7_110;20;110;0.7;0.65455458;0.01983589;0.13026727
SAR16_20_0.7_160;20;160;0.7;0.65455458;0.01576391;0.05019496
SAR16_20_0.7_18;20;18;0.7;0.65455458;0.04029989;0.63090673
SAR16_20_0.7_213;20;213;0.7;0.65455458;0.01228069;0.03372463
SAR16_20_0.7_26;20;26;0.7;0.65455458;0.04720287;0.5724175
SAR16_20_0.7_267;20;267;0.7;0.65455458;0.01303083;0.02913699
SAR16_20_0.7_320;20;320;0.7;0.65455458;0.01190429;0.01883784
SAR16_20_0.7_360;20;360;0.7;0.65455458;0.00819046;0.01429677
SAR16_20_0.7_396;20;396;0.7;0.65455458;0.00205386;0.00451393
SAR16_20_0.7_4;20;4;0.7;0.65455458;0.03898296;0.91469516
SAR16_20_0.7_50;20;50;0.7;0.65455458;0.0363311;0.3610062
SAR16_20_0.7_9;20;9;0.7;0.65455458;0.05362751;0.77782235
SAR16_20_0.9_110;20;110;0.9;0.9036277;0.04366573;0.10086187
SAR16_20_0.9_160;20;160;0.9;0.9036277;0.03568673;0.15030393
SAR16_20_0.9_18;20;18;0.9;0.9036277;0.04872865;0.44143856
SAR16_20_0.9_213;20;213;0.9;0.9036277;0.02955153;0.10781324
SAR16_20_0.9_26;20;26;0.9;0.9036277;0.05166878;0.28423461
SAR16_20_0.9_267;20;267;0.9;0.9036277;0.02656613;0.09048881
SAR16_20_0.9_320;20;320;0.9;0.9036277;0.01607741;0.05802572
SAR16_20_0.9_360;20;360;0.9;0.9036277;0.00650526;0.03075766
SAR16_20_0.9_396;20;396;0.9;0.9036277;0.00181485;0.00463798
SAR16_20_0.9_4;20;4;0.9;0.9036277;0.03184636;0.89221463
SAR16_20_0.9_50;20;50;0.9;0.9036277;0.0461694;0.13020423
SAR16_20_0.9_9;20;9;0.9;0.9036277;0.06564069;0.64066046
SAR16_20_0_110;20;110;0;0.04220113;0.02246552;0.3624752
SAR16_20_0_160;20;160;0;0.04220113;0.0228382;0.21104658
SAR16_20_0_18;20;18;0;0.04220113;0.02884527;0.83252356
SAR16_20_0_213;20;213;0;0.04220113;0.01597616;0.13056863
SAR16_20_0_26;20;26;0;0.04220113;0.02744094;0.75063629
SAR16_20_0_267;20;267;0;0.04220113;0.0159169;0.05795083
SAR16_20_0_320;20;320;0;0.04220113;0.00878718;0.0354458
SAR16_20_0_360;20;360;0;0.04220113;0.00407187;0.01246944
SAR16_20_0_396;20;396;0;0.04220113;0.00168497;0.00279679
SAR16_20_0_4;20;4;0;0.04220113;0.02072652;0.98480886
SAR16_20_0_50;20;50;0;0.04220113;0.02372843;0.64753079
SAR16_20_0_9;20;9;0;0.04220113;0.01927567;0.95255634
SAR16_25_-0.3_14;25;14;-0.3;-0.3175435;0.01778367;0.95204372
SAR16_25_-0.3_170;25;170;-0.3;-0.3175435;0.01274245;0.44386654
SAR16_25_-0.3_250;25;250;-0.3;-0.3175435;0.01190172;0.25883916
SAR16_25_-0.3_27;25;27;-0.3;-0.3175435;0.01457442;0.92310609
SAR16_25_-0.3_333;25;333;-0.3;-0.3175435;0.00936665;0.15872224
SAR16_25_-0.3_4;25;4;-0.3;-0.3175435;0.00533197;0.99739648
SAR16_25_-0.3_417;25;417;-0.3;-0.3175435;0.00699434;0.06952077
SAR16_25_-0.3_43;25;43;-0.3;-0.3175435;0.01549727;0.85530414
SAR16_25_-0.3_500;25;500;-0.3;-0.3175435;0.00312802;0.02944288
SAR16_25_-0.3_563;25;563;-0.3;-0.3175435;0.00350892;0.02295967
SAR16_25_-0.3_6;25;6;-0.3;-0.3175435;0.01371792;0.98149576
SAR16_25_-0.3_618;25;618;-0.3;-0.3175435;0.00105647;0.00389786
SAR16_25_-0.3_80;25;80;-0.3;-0.3175435;0.0117779;0.70919561
SAR16_25_-0.5_14;25;14;-0.5;-0.461183;0.01477365;0.95960937
SAR16_25_-0.5_170;25;170;-0.5;-0.461183;0.01345211;0.42462965
SAR16_25_-0.5_250;25;250;-0.5;-0.461183;0.00801672;0.27506278
SAR16_25_-0.5_27;25;27;-0.5;-0.461183;0.02027714;0.89121939
SAR16_25_-0.5_333;25;333;-0.5;-0.461183;0.00685281;0.15668255
SAR16_25_-0.5_4;25;4;-0.5;-0.461183;0.00844751;0.99514299
SAR16_25_-0.5_417;25;417;-0.5;-0.461183;0.00541029;0.08070359
SAR16_25_-0.5_43;25;43;-0.5;-0.461183;0.01802093;0.83753285
SAR16_25_-0.5_500;25;500;-0.5;-0.461183;0.0048601;0.03404935
SAR16_25_-0.5_563;25;563;-0.5;-0.461183;0.00376602;0.01526848
SAR16_25_-0.5_6;25;6;-0.5;-0.461183;0.00598706;0.99462819
SAR16_25_-0.5_618;25;618;-0.5;-0.461183;0.00097954;0.00440025
SAR16_25_-0.5_80;25;80;-0.5;-0.461183;0.02005817;0.70036898
SAR16_25_-0.7_14;25;14;-0.7;-0.6406416;0.01379971;0.96536022
SAR16_25_-0.7_170;25;170;-0.7;-0.6406416;0.0192985;0.35796968
SAR16_25_-0.7_250;25;250;-0.7;-0.6406416;0.01270498;0.22378751
SAR16_25_-0.7_27;25;27;-0.7;-0.6406416;0.01764227;0.80116273
SAR16_25_-0.7_333;25;333;-0.7;-0.6406416;0.00710397;0.13744677
SAR16_25_-0.7_4;25;4;-0.7;-0.6406416;0.00591995;0.99747073
SAR16_25_-0.7_417;25;417;-0.7;-0.6406416;0.00563536;0.06260668
SAR16_25_-0.7_43;25;43;-0.7;-0.6406416;0.02430495;0.7128585
SAR16_25_-0.7_500;25;500;-0.7;-0.6406416;0.00254452;0.03008061
SAR16_25_-0.7_563;25;563;-0.7;-0.6406416;0.00219737;0.01443393
SAR16_25_-0.7_6;25;6;-0.7;-0.6406416;0.00707836;0.99588942
SAR16_25_-0.7_618;25;618;-0.7;-0.6406416;0.00084;0.00286356
SAR16_25_-0.7_80;25;80;-0.7;-0.6406416;0.01796767;0.57170526
SAR16_25_-0.9_14;25;14;-0.9;-0.8772829;0.01596167;0.94468565
SAR16_25_-0.9_170;25;170;-0.9;-0.8772829;0.01329321;0.33835698
SAR16_25_-0.9_250;25;250;-0.9;-0.8772829;0.00895954;0.20124446
SAR16_25_-0.9_27;25;27;-0.9;-0.8772829;0.02333814;0.85008824
SAR16_25_-0.9_333;25;333;-0.9;-0.8772829;0.00650781;0.09920677
SAR16_25_-0.9_4;25;4;-0.9;-0.8772829;0.00476808;0.99824608
SAR16_25_-0.9_417;25;417;-0.9;-0.8772829;0.00571682;0.0395071
SAR16_25_-0.9_43;25;43;-0.9;-0.8772829;0.01946383;0.70033543
SAR16_25_-0.9_500;25;500;-0.9;-0.8772829;0.00377148;0.02273009
SAR16_25_-0.9_563;25;563;-0.9;-0.8772829;0.00204863;0.01376287
SAR16_25_-0.9_6;25;6;-0.9;-0.8772829;0.0053626;0.99708579
SAR16_25_-0.9_618;25;618;-0.9;-0.8772829;0.00072129;0.00445608
SAR16_25_-0.9_80;25;80;-0.9;-0.8772829;0.0175821;0.59086384
SAR16_25_0.3_14;25;14;0.3;0.25162992;0.01847259;0.92808107
SAR16_25_0.3_170;25;170;0.3;0.25162992;0.01663672;0.29893874
SAR16_25_0.3_250;25;250;0.3;0.25162992;0.01147098;0.18688464
SAR16_25_0.3_27;25;27;0.3;0.25162992;0.02274334;0.79700892
SAR16_25_0.3_333;25;333;0.3;0.25162992;0.00970593;0.09163444
SAR16_25_0.3_4;25;4;0.3;0.25162992;0.01653549;0.97982903
SAR16_25_0.3_417;25;417;0.3;0.25162992;0.00587549;0.04385627
SAR16_25_0.3_43;25;43;0.3;0.25162992;0.023082;0.73559079
SAR16_25_0.3_500;25;500;0.3;0.25162992;0.00558948;0.02487826
SAR16_25_0.3_563;25;563;0.3;0.25162992;0.00261197;0.01261167
SAR16_25_0.3_6;25;6;0.3;0.25162992;0.01094209;0.98882069
SAR16_25_0.3_618;25;618;0.3;0.25162992;0.00147236;0.00475941
SAR16_25_0.3_80;25;80;0.3;0.25162992;0.01913742;0.58888082
SAR16_25_0.5_14;25;14;0.5;0.43554327;0.0193161;0.92011114
SAR16_25_0.5_170;25;170;0.5;0.43554327;0.0171806;0.28092685
SAR16_25_0.5_250;25;250;0.5;0.43554327;0.00999197;0.14701248
SAR16_25_0.5_27;25;27;0.5;0.43554327;0.02553398;0.80600668
SAR16_25_0.5_333;25;333;0.5;0.43554327;0.0101875;0.06326889
SAR16_25_0.5_4;25;4;0.5;0.43554327;0.02244024;0.97997952
SAR16_25_0.5_417;25;417;0.5;0.43554327;0.00710506;0.03269166
SAR16_25_0.5_43;25;43;0.5;0.43554327;0.02816753;0.70627306
SAR16_25_0.5_500;25;500;0.5;0.43554327;0.0044436;0.0155008
SAR16_25_0.5_563;25;563;0.5;0.43554327;0.00409726;0.01140023
SAR16_25_0.5_6;25;6;0.5;0.43554327;0.02265795;0.96111382
SAR16_25_0.5_618;25;618;0.5;0.43554327;0.00087335;0.00339394
SAR16_25_0.5_80;25;80;0.5;0.43554327;0.02323663;0.5007333
SAR16_25_0.7_14;25;14;0.7;0.69415156;0.04260512;0.78366919
SAR16_25_0.7_170;25;170;0.7;0.69415156;0.01871957;0.11030264
SAR16_25_0.7_250;25;250;0.7;0.69415156;0.00948911;0.05495308
SAR16_25_0.7_27;25;27;0.7;0.69415156;0.03680882;0.63857068
SAR16_25_0.7_333;25;333;0.7;0.69415156;0.00980234;0.03454061
SAR16_25_0.7_4;25;4;0.7;0.69415156;0.02674042;0.96207076
SAR16_25_0.7_417;25;417;0.7;0.69415156;0.0060903;0.03063546
SAR16_25_0.7_43;25;43;0.7;0.69415156;0.03041719;0.53196573
SAR16_25_0.7_500;25;500;0.7;0.69415156;0.0042136;0.01721157
SAR16_25_0.7_563;25;563;0.7;0.69415156;0.00238073;0.01303549
SAR16_25_0.7_6;25;6;0.7;0.69415156;0.04208714;0.90428807
SAR16_25_0.7_618;25;618;0.7;0.69415156;0.00118847;0.00330895
SAR16_25_0.7_80;25;80;0.7;0.69415156;0.03277947;0.31778202
SAR16_25_0.9_14;25;14;0.9;0.89035694;0.03817307;0.54409472
SAR16_25_0.9_170;25;170;0.9;0.89035694;0.02048815;0.21913619
SAR16_25_0.9_250;25;250;0.9;0.89035694;0.01426015;0.20500826
SAR16_25_0.9_27;25;27;0.9;0.89035694;0.04949132;0.28687151
SAR16_25_0.9_333;25;333;0.9;0.89035694;0.00834042;0.16362729
SAR16_25_0.9_4;25;4;0.9;0.89035694;0.04995524;0.92746132
SAR16_25_0.9_417;25;417;0.9;0.89035694;0.00686064;0.11594606
SAR16_25_0.9_43;25;43;0.9;0.89035694;0.03058146;0.14347721
SAR16_25_0.9_500;25;500;0.9;0.89035694;0.00655078;0.06261828
SAR16_25_0.9_563;25;563;0.9;0.89035694;0.00432314;0.0344526
SAR16_25_0.9_6;25;6;0.9;0.89035694;0.04049956;0.83906466
SAR16_25_0.9_618;25;618;0.9;0.89035694;0.00114783;0.00492829
SAR16_25_0.9_80;25;80;0.9;0.89035694;0.024046;0.19749158
SAR16_25_0_14;25;14;0;0.01880881;0.01482356;0.95494015
SAR16_25_0_170;25;170;0;0.01880881;0.01039743;0.39383493
SAR16_25_0_250;25;250;0;0.01880881;0.00815668;0.2162851
SAR16_25_0_27;25;27;0;0.01880881;0.02641507;0.86969591
SAR16_25_0_333;25;333;0;0.01880881;0.00788349;0.12507352
SAR16_25_0_4;25;4;0;0.01880881;0.00587006;0.99568378
SAR16_25_0_417;25;417;0;0.01880881;0.00597933;0.06719553
SAR16_25_0_43;25;43;0;0.01880881;0.01839675;0.80156782
SAR16_25_0_500;25;500;0;0.01880881;0.00446006;0.02358898
SAR16_25_0_563;25;563;0;0.01880881;0.00355872;0.01530844
SAR16_25_0_6;25;6;0;0.01880881;0.01236483;0.9867148
SAR16_25_0_618;25;618;0;0.01880881;0.00100561;0.00392429
SAR16_25_0_80;25;80;0;0.01880881;0.0184368;0.64703283
SAR16_30_-0.3_120;30;120;-0.3;-0.3043821;0.01803321;0.67505687
SAR16_30_-0.3_20;30;20;-0.3;-0.3043821;0.01276429;0.93839374
SAR16_30_-0.3_240;30;240;-0.3;-0.3043821;0.01351808;0.45657681
SAR16_30_-0.3_360;30;360;-0.3;-0.3043821;0.01841298;0.28870794
SAR16_30_-0.3_4;30;4;-0.3;-0.3043821;0.0053981;0.99655525
SAR16_30_-0.3_40;30;40;-0.3;-0.3043821;0.01390374;0.90462855
SAR16_30_-0.3_480;30;480;-0.3;-0.3043821;0.01233473;0.16213385
SAR16_30_-0.3_60;30;60;-0.3;-0.3043821;0.01966873;0.83147663
SAR16_30_-0.3_600;30;600;-0.3;-0.3043821;0.01028503;0.07322588
SAR16_30_-0.3_720;30;720;-0.3;-0.3043821;0.00684086;0.02704445
SAR16_30_-0.3_810;30;810;-0.3;-0.3043821;0.00451456;0.01862692
SAR16_30_-0.3_890;30;890;-0.3;-0.3043821;0.00094924;0.01011215
SAR16_30_-0.3_9;30;9;-0.3;-0.3043821;0.010588;0.98431521
SAR16_30_-0.5_120;30;120;-0.5;-0.5307208;0.01297689;0.72318502
SAR16_30_-0.5_20;30;20;-0.5;-0.5307208;0.00956762;0.96446339
SAR16_30_-0.5_240;30;240;-0.5;-0.5307208;0.01487854;0.48680484
SAR16_30_-0.5_360;30;360;-0.5;-0.5307208;0.01370004;0.2716961
SAR16_30_-0.5_4;30;4;-0.5;-0.5307208;0.00497834;0.99771479
SAR16_30_-0.5_40;30;40;-0.5;-0.5307208;0.01535521;0.92639336
SAR16_30_-0.5_480;30;480;-0.5;-0.5307208;0.0137074;0.14401529
SAR16_30_-0.5_60;30;60;-0.5;-0.5307208;0.01494813;0.8621703
SAR16_30_-0.5_600;30;600;-0.5;-0.5307208;0.01030889;0.06356312
SAR16_30_-0.5_720;30;720;-0.5;-0.5307208;0.00665174;0.02503805
SAR16_30_-0.5_810;30;810;-0.5;-0.5307208;0.00404372;0.01089115
SAR16_30_-0.5_890;30;890;-0.5;-0.5307208;0.00062007;0.00341056
SAR16_30_-0.5_9;30;9;-0.5;-0.5307208;0.00844714;0.98556631
SAR16_30_-0.7_120;30;120;-0.7;-0.7293486;0.01177023;0.72346987
SAR16_30_-0.7_20;30;20;-0.7;-0.7293486;0.01095267;0.96285255
SAR16_30_-0.7_240;30;240;-0.7;-0.7293486;0.0118804;0.48940104
SAR16_30_-0.7_360;30;360;-0.7;-0.7293486;0.01028329;0.31421596
SAR16_30_-0.7_4;30;4;-0.7;-0.7293486;0.00240139;0.99927087
SAR16_30_-0.7_40;30;40;-0.7;-0.7293486;0.01253837;0.9188289
SAR16_30_-0.7_480;30;480;-0.7;-0.7293486;0.00878781;0.14364834
SAR16_30_-0.7_60;30;60;-0.7;-0.7293486;0.01341228;0.85299972
SAR16_30_-0.7_600;30;600;-0.7;-0.7293486;0.00685054;0.07114573
SAR16_30_-0.7_720;30;720;-0.7;-0.7293486;0.00477921;0.03249006
SAR16_30_-0.7_810;30;810;-0.7;-0.7293486;0.002518;0.01715176
SAR16_30_-0.7_890;30;890;-0.7;-0.7293486;0.00051248;0.00351294
SAR16_30_-0.7_9;30;9;-0.7;-0.7293486;0.00603648;0.99447327
SAR16_30_-0.9_120;30;120;-0.9;-0.8863329;0.01567475;0.65489979
SAR16_30_-0.9_20;30;20;-0.9;-0.8863329;0.01201913;0.95109652
SAR16_30_-0.9_240;30;240;-0.9;-0.8863329;0.01744685;0.35573245
SAR16_30_-0.9_360;30;360;-0.9;-0.8863329;0.01166773;0.19720735
SAR16_30_-0.9_4;30;4;-0.9;-0.8863329;0.00330968;0.99914704
SAR16_30_-0.9_40;30;40;-0.9;-0.8863329;0.01669397;0.89150872
SAR16_30_-0.9_480;30;480;-0.9;-0.8863329;0.01204313;0.07143625
SAR16_30_-0.9_60;30;60;-0.9;-0.8863329;0.01586356;0.82931875
SAR16_30_-0.9_600;30;600;-0.9;-0.8863329;0.0083222;0.01713074
SAR16_30_-0.9_720;30;720;-0.9;-0.8863329;0.00448241;0.01771804
SAR16_30_-0.9_810;30;810;-0.9;-0.8863329;0.00195367;0.01019599
SAR16_30_-0.9_890;30;890;-0.9;-0.8863329;0.00049191;0.00850907
SAR16_30_-0.9_9;30;9;-0.9;-0.8863329;0.00534322;0.99449827
SAR16_30_0.3_120;30;120;0.3;0.35659916;0.01361113;0.58792794
SAR16_30_0.3_20;30;20;0.3;0.35659916;0.01616343;0.92662107
SAR16_30_0.3_240;30;240;0.3;0.35659916;0.01341801;0.35846945
SAR16_30_0.3_360;30;360;0.3;0.35659916;0.01723898;0.18328819
SAR16_30_0.3_4;30;4;0.3;0.35659916;0.01857816;0.9806041
SAR16_30_0.3_40;30;40;0.3;0.35659916;0.01493939;0.84071801
SAR16_30_0.3_480;30;480;0.3;0.35659916;0.01449504;0.09590877
SAR16_30_0.3_60;30;60;0.3;0.35659916;0.01800571;0.7653299
SAR16_30_0.3_600;30;600;0.3;0.35659916;0.01258566;0.02998831
SAR16_30_0.3_720;30;720;0.3;0.35659916;0.0081603;0.01669479
SAR16_30_0.3_810;30;810;0.3;0.35659916;0.00472037;0.01084723
SAR16_30_0.3_890;30;890;0.3;0.35659916;0.00086847;0.00242807
SAR16_30_0.3_9;30;9;0.3;0.35659916;0.02215441;0.95525381
SAR16_30_0.5_120;30;120;0.5;0.45105037;0.01849946;0.53224913
SAR16_30_0.5_20;30;20;0.5;0.45105037;0.01916352;0.90301179
SAR16_30_0.5_240;30;240;0.5;0.45105037;0.01804357;0.30671821
SAR16_30_0.5_360;30;360;0.5;0.45105037;0.01703138;0.15246262
SAR16_30_0.5_4;30;4;0.5;0.45105037;0.01602968;0.98288557
SAR16_30_0.5_40;30;40;0.5;0.45105037;0.02127441;0.77072409
SAR16_30_0.5_480;30;480;0.5;0.45105037;0.01148149;0.0651418
SAR16_30_0.5_60;30;60;0.5;0.45105037;0.02076666;0.71399205
SAR16_30_0.5_600;30;600;0.5;0.45105037;0.01002374;0.02507112
SAR16_30_0.5_720;30;720;0.5;0.45105037;0.00737513;0.01834473
SAR16_30_0.5_810;30;810;0.5;0.45105037;0.0049635;0.01152458
SAR16_30_0.5_890;30;890;0.5;0.45105037;0.00080062;0.00452307
SAR16_30_0.5_9;30;9;0.5;0.45105037;0.01875888;0.94374501
SAR16_30_0.7_120;30;120;0.7;0.72398806;0.03582381;0.32572841
SAR16_30_0.7_20;30;20;0.7;0.72398806;0.02395068;0.77561973
SAR16_30_0.7_240;30;240;0.7;0.72398806;0.03347331;0.1420484
SAR16_30_0.7_360;30;360;0.7;0.72398806;0.02664568;0.03961675
SAR16_30_0.7_4;30;4;0.7;0.72398806;0.01621339;0.98376467
SAR16_30_0.7_40;30;40;0.7;0.72398806;0.0235289;0.69498242
SAR16_30_0.7_480;30;480;0.7;0.72398806;0.02306363;0.03865126
SAR16_30_0.7_60;30;60;0.7;0.72398806;0.02643442;0.56596212
SAR16_30_0.7_600;30;600;0.7;0.72398806;0.01754224;0.03228752
SAR16_30_0.7_720;30;720;0.7;0.72398806;0.01355995;0.03651692
SAR16_30_0.7_810;30;810;0.7;0.72398806;0.00681403;0.01824244
SAR16_30_0.7_890;30;890;0.7;0.72398806;0.00148098;0.00203051
SAR16_30_0.7_9;30;9;0.7;0.72398806;0.0238523;0.91394479
SAR16_30_0.9_120;30;120;0.9;0.91477384;0.06355521;0.19224546
SAR16_30_0.9_20;30;20;0.9;0.91477384;0.08047674;0.32656221
SAR16_30_0.9_240;30;240;0.9;0.91477384;0.04981823;0.24699128
SAR16_30_0.9_360;30;360;0.9;0.91477384;0.043743;0.2225911
SAR16_30_0.9_4;30;4;0.9;0.91477384;0.05484306;0.7741442
SAR16_30_0.9_40;30;40;0.9;0.91477384;0.08530172;0.1387645
SAR16_30_0.9_480;30;480;0.9;0.91477384;0.03109236;0.18135123
