Vname;N;k;RhoReference;RhoEstimated;RCM_bar;RCV_bar
SAR1_10_0.9_25;10;25;0.9;0.87345152;0.11010184;0.21217481
SAR1_10_0.9_4;10;4;0.9;0.87345152;0.09865319;0.53427762
SAR1_10_0.9_40;10;40;0.9;0.87345152;0.06987641;0.19502023
SAR1_10_0.9_53;10;53;0.9;0.87345152;0.05141481;0.18101308
SAR1_10_0.9_67;10;67;0.9;0.87345152;0.02679199;0.12184082
SAR1_10_0.9_7;10;7;0.9;0.87345152;0.14444644;0.3429613
SAR1_10_0.9_80;10;80;0.9;0.87345152;0.02702313;0.09266691
SAR1_10_0.9_90;10;90;0.9;0.87345152;0.02242502;0.05654492
SAR1_10_0.9_99;10;99;0.9;0.87345152;0.00082011;0.00925897
SAR1_10_0_12;10;12;0;-0.0747687;0.05493574;0.70984034
SAR1_10_0_2;10;2;0;-0.0747687;0.04441868;0.96469589
SAR1_10_0_25;10;25;0;-0.0747687;0.0421763;0.52984608
SAR1_10_0_4;10;4;0;-0.0747687;0.03676435;0.95615652
SAR1_10_0_40;10;40;0;-0.0747687;0.03384308;0.30138456
SAR1_10_0_53;10;53;0;-0.0747687;0.03401704;0.1672432
SAR1_10_0_67;10;67;0;-0.0747687;0.02307155;0.0980663
SAR1_10_0_7;10;7;0;-0.0747687;0.04819324;0.87078224
SAR1_10_0_80;10;80;0;-0.0747687;0.01275671;0.05102598
SAR1_10_0_90;10;90;0;-0.0747687;0.01038355;0.03290387
SAR1_10_0_99;10;99;0;-0.0747687;0.00353891;0.00596079
SAR1_15_-0.3_10;15;10;-0.3;-0.2067106;0.02871169;0.891466
SAR1_15_-0.3_120;15;120;-0.3;-0.2067106;0.01621959;0.12234432
SAR1_15_-0.3_15;15;15;-0.3;-0.2067106;0.03368949;0.8565414
SAR1_15_-0.3_150;15;150;-0.3;-0.2067106;0.01164113;0.08752296
SAR1_15_-0.3_180;15;180;-0.3;-0.2067106;0.00940992;0.04188283
SAR1_15_-0.3_200;15;200;-0.3;-0.2067106;0.00578715;0.02967184
SAR1_15_-0.3_220;15;220;-0.3;-0.2067106;0.00168228;0.00544785
SAR1_15_-0.3_3;15;3;-0.3;-0.2067106;0.01262689;0.99282591
SAR1_15_-0.3_30;15;30;-0.3;-0.2067106;0.0264512;0.6588966
SAR1_15_-0.3_5;15;5;-0.3;-0.2067106;0.01701357;0.98355962
SAR1_15_-0.3_60;15;60;-0.3;-0.2067106;0.02297351;0.42986126
SAR1_15_-0.3_90;15;90;-0.3;-0.2067106;0.01785154;0.22045043
SAR1_15_-0.5_10;15;10;-0.5;-0.5649436;0.02137515;0.92210202
SAR1_15_-0.5_120;15;120;-0.5;-0.5649436;0.01484314;0.17076164
SAR1_15_-0.5_15;15;15;-0.5;-0.5649436;0.04128131;0.78800284
SAR1_15_-0.5_150;15;150;-0.5;-0.5649436;0.01098007;0.13251893
SAR1_15_-0.5_180;15;180;-0.5;-0.5649436;0.00705047;0.04581488
SAR1_15_-0.5_200;15;200;-0.5;-0.5649436;0.00486203;0.03347944
SAR1_15_-0.5_220;15;220;-0.5;-0.5649436;0.00218096;0.00607941
SAR1_15_-0.5_3;15;3;-0.5;-0.5649436;0.0138736;0.99376082
SAR1_15_-0.5_30;15;30;-0.5;-0.5649436;0.03070219;0.72970675
SAR1_15_-0.5_5;15;5;-0.5;-0.5649436;0.0251531;0.96737081
SAR1_15_-0.5_60;15;60;-0.5;-0.5649436;0.02605957;0.4273668
SAR1_15_-0.5_90;15;90;-0.5;-0.5649436;0.01796399;0.24719227
SAR1_15_-0.7_10;15;10;-0.7;-0.6540656;0.01831969;0.93188214
SAR1_15_-0.7_120;15;120;-0.7;-0.6540656;0.01515931;0.19017883
SAR1_15_-0.7_15;15;15;-0.7;-0.6540656;0.02758104;0.85803203
SAR1_15_-0.7_150;15;150;-0.7;-0.6540656;0.00809516;0.08857246
SAR1_15_-0.7_180;15;180;-0.7;-0.6540656;0.00728172;0.0662714
SAR1_15_-0.7_200;15;200;-0.7;-0.6540656;0.00624839;0.0383321
SAR1_15_-0.7_220;15;220;-0.7;-0.6540656;0.00182925;0.00895828
SAR1_15_-0.7_3;15;3;-0.7;-0.6540656;0.00763485;0.99625335
SAR1_15_-0.7_30;15;30;-0.7;-0.6540656;0.02463551;0.6760601
SAR1_15_-0.7_5;15;5;-0.7;-0.6540656;0.01978187;0.98375202
SAR1_15_-0.7_60;15;60;-0.7;-0.6540656;0.02092189;0.42211923
SAR1_15_-0.7_90;15;90;-0.7;-0.6540656;0.01701211;0.28033142
SAR1_15_-0.9_10;15;10;-0.9;-0.8908142;0.01837478;0.95694743
SAR1_15_-0.9_120;15;120;-0.9;-0.8908142;0.01488148;0.15696857
SAR1_15_-0.9_15;15;15;-0.9;-0.8908142;0.03043732;0.85713976
SAR1_15_-0.9_150;15;150;-0.9;-0.8908142;0.00940712;0.09026423
SAR1_15_-0.9_180;15;180;-0.9;-0.8908142;0.00682924;0.03127657
SAR1_15_-0.9_200;15;200;-0.9;-0.8908142;0.004492;0.01987664
SAR1_15_-0.9_220;15;220;-0.9;-0.8908142;0.00203791;0.00917132
SAR1_15_-0.9_3;15;3;-0.9;-0.8908142;0.00780035;0.99746938
SAR1_15_-0.9_30;15;30;-0.9;-0.8908142;0.04274522;0.62956179
SAR1_15_-0.9_5;15;5;-0.9;-0.8908142;0.02484832;0.96017528
SAR1_15_-0.9_60;15;60;-0.9;-0.8908142;0.03748764;0.39849283
SAR1_15_-0.9_90;15;90;-0.9;-0.8908142;0.02135637;0.22746891
SAR1_15_0.3_10;15;10;0.3;0.25697771;0.04373566;0.86411199
SAR1_15_0.3_120;15;120;0.3;0.25697771;0.01822017;0.1154176
SAR1_15_0.3_15;15;15;0.3;0.25697771;0.0323589;0.79506833
SAR1_15_0.3_150;15;150;0.3;0.25697771;0.01299379;0.09670192
SAR1_15_0.3_180;15;180;0.3;0.25697771;0.00763609;0.05615614
SAR1_15_0.3_200;15;200;0.3;0.25697771;0.00740985;0.03173367
SAR1_15_0.3_220;15;220;0.3;0.25697771;0.00262068;0.00830248
SAR1_15_0.3_3;15;3;0.3;0.25697771;0.01804211;0.98192261
SAR1_15_0.3_30;15;30;0.3;0.25697771;0.03694665;0.63018587
SAR1_15_0.3_5;15;5;0.3;0.25697771;0.02907101;0.95818172
SAR1_15_0.3_60;15;60;0.3;0.25697771;0.02967386;0.365266
SAR1_15_0.3_90;15;90;0.3;0.25697771;0.02658188;0.22018952
SAR1_15_0.5_10;15;10;0.5;0.48264577;0.03368102;0.83519421
SAR1_15_0.5_120;15;120;0.5;0.48264577;0.01442103;0.08655907
SAR1_15_0.5_15;15;15;0.5;0.48264577;0.03806799;0.74149658
SAR1_15_0.5_150;15;150;0.5;0.48264577;0.01255716;0.05729373
SAR1_15_0.5_180;15;180;0.5;0.48264577;0.00858499;0.03262772
SAR1_15_0.5_200;15;200;0.5;0.48264577;0.00549212;0.02189858
SAR1_15_0.5_220;15;220;0.5;0.48264577;0.00235688;0.01055951
SAR1_15_0.5_3;15;3;0.5;0.48264577;0.01979931;0.97820768
SAR1_15_0.5_30;15;30;0.5;0.48264577;0.03625575;0.4928455
SAR1_15_0.5_5;15;5;0.5;0.48264577;0.03142413;0.92471167
SAR1_15_0.5_60;15;60;0.5;0.48264577;0.03303713;0.2375727
SAR1_15_0.5_90;15;90;0.5;0.48264577;0.02930066;0.12668471
