"";"Var";"N";"RhoReference";"RhoEstimated";"k";"Theta";"r";"SMAUP"
"1";"SAR0_0.7";5;0.7;0.669697967746;11;0.44;30;0.130448118121046
"2";"SAR1_0.7";5;0.7;0.674176530044;20;0.8;30;0.0184933443182589
"3";"SAR2_0.7";5;0.7;0.711243188956;13;0.52;30;0.0838986441968537
"4";"SAR3_0.7";5;0.7;0.713185367497;18;0.72;30;0.0288559423618795
"5";"SAR4_0.7";5;0.7;0.68256462098;2;0.08;30;0.543600430843702
"6";"SAR5_0.7";5;0.7;0.661060184025;14;0.56;30;0.0728352724976928
"7";"SAR6_0.7";5;0.7;0.665638027576;5;0.2;30;0.335578045932354
"8";"SAR7_0.7";5;0.7;0.651399588881;9;0.36;30;0.190397066509187
"9";"SAR8_0.7";5;0.7;0.714568499167;6;0.24;30;0.260669388035224
"10";"SAR9_0.7";5;0.7;0.682432018638;22;0.88;30;0.0114249683426372
"11";"SAR10_0.7";5;0.7;0.651924368566;15;0.6;30;0.0592707247393818
"12";"SAR11_0.7";5;0.7;0.653709312078;14;0.56;30;0.0734466441689141
"13";"SAR12_0.7";5;0.7;0.734888382483;6;0.24;30;0.248423942243236
"14";"SAR13_0.7";5;0.7;0.67075369035;16;0.64;30;0.0466771753030888
"15";"SAR14_0.7";5;0.7;0.655416583438;12;0.48;30;0.110303380831084
"16";"SAR15_0.7";5;0.7;0.656373918357;12;0.48;30;0.1101534397675
"17";"SAR16_0.7";5;0.7;0.711281853657;14;0.56;30;0.0686697845821346
"18";"SAR17_0.7";5;0.7;0.732959330851;22;0.88;30;0.0113269601020075
"19";"SAR18_0.7";5;0.7;0.674512101524;10;0.4;30;0.154511018293859
"20";"SAR19_0.7";5;0.7;0.666036751452;22;0.88;30;0.0114566493440606
"21";"SAR20_0.7";5;0.7;0.700400999347;9;0.36;30;0.173641840911883
"22";"SAR21_0.7";5;0.7;0.707971697277;9;0.36;30;0.171088749769888
"23";"SAR22_0.7";5;0.7;0.742292254301;4;0.16;30;0.326790735709957
"24";"SAR23_0.7";5;0.7;0.674097486903;3;0.12;30;0.452747005363412
"25";"SAR24_0.7";5;0.7;0.652431586828;17;0.68;30;0.0377642047288039
"26";"SAR25_0.7";5;0.7;0.703616731126;20;0.8;30;0.018290980727949
"27";"SAR26_0.7";5;0.7;0.683638771338;23;0.92;30;0.00895977608375742
"28";"SAR27_0.7";5;0.7;0.697908383801;13;0.52;30;0.0854229781233069
"29";"SAR28_0.7";5;0.7;0.685081579547;18;0.72;30;0.0293615454715027
"30";"SAR29_0.7";5;0.7;0.740897169698;2;0.08;30;0.487348433514326
"31";"SAR30_0.7";5;0.7;0.676923174189;13;0.52;30;0.0878312891437158
"32";"SAR31_0.7";5;0.7;0.724198118816;8;0.32;30;0.192394959971881
"33";"SAR32_0.7";5;0.7;0.749816051069;5;0.2;30;0.275444347691634
"34";"SAR33_0.7";5;0.7;0.687941012019;22;0.88;30;0.0114143097142085
"35";"SAR34_0.7";5;0.7;0.69867553865;9;0.36;30;0.174225277748947
"36";"SAR35_0.7";5;0.7;0.665304605326;23;0.92;30;0.00897319644347615
"37";"SAR36_0.7";5;0.7;0.746064848098;17;0.68;30;0.0351982049464114
"38";"SAR37_0.7";5;0.7;0.690389087977;14;0.56;30;0.0703994844222968
"39";"SAR38_0.7";5;0.7;0.67034400732;6;0.24;30;0.287843998189264
"40";"SAR39_0.7";5;0.7;0.688484922248;15;0.6;30;0.0571242038853315
"41";"SAR40_0.7";5;0.7;0.743612671146;13;0.52;30;0.0802232138780511
"42";"SAR41_0.7";5;0.7;0.662006816071;12;0.48;30;0.109271729061297
"43";"SAR42_0.7";5;0.7;0.690389998964;21;0.84;30;0.014501389527636
"44";"SAR43_0.7";5;0.7;0.72876252084;12;0.48;30;0.0989237742049844
"45";"SAR44_0.7";5;0.7;0.712858058101;16;0.64;30;0.0449680883167322
"46";"SAR45_0.7";5;0.7;0.716209433793;5;0.2;30;0.299147130974171
"47";"SAR46_0.7";5;0.7;0.658818552511;5;0.2;30;0.340524072004295
"48";"SAR47_0.7";5;0.7;0.681515104548;18;0.72;30;0.0294255992274032
"49";"SAR48_0.7";5;0.7;0.74886660887;17;0.68;30;0.0351212881665912
"50";"SAR49_0.7";5;0.7;0.74847348321;17;0.68;30;0.035132080619613
"51";"SAR50_0.7";5;0.7;0.658777587287;21;0.84;30;0.0146235825516073
"52";"SAR51_0.7";5;0.7;0.684581924792;7;0.28;30;0.242049169263319
"53";"SAR52_0.7";5;0.7;0.746396304786;10;0.4;30;0.135496854656832
"54";"SAR53_0.7";5;0.7;0.738049071652;13;0.52;30;0.0808521162514175
"55";"SAR54_0.7";5;0.7;0.69392465707;21;0.84;30;0.0144876925849194
"56";"SAR55_0.7";5;0.7;0.72358940811;3;0.12;30;0.407290335762263
"57";"SAR56_0.7";5;0.7;0.732229976507;23;0.92;30;0.00892412616347478
"58";"SAR57_0.7";5;0.7;0.692102327087;8;0.32;30;0.205815017509415
"59";"SAR58_0.7";5;0.7;0.690474837749;16;0.64;30;0.0458767469214287
"60";"SAR59_0.7";5;0.7;0.662312617385;6;0.24;30;0.292832472389647
"61";"SAR60_0.7";5;0.7;0.724414201315;11;0.44;30;0.119211030580913
"62";"SAR61_0.7";5;0.7;0.702321497012;15;0.6;30;0.0563126033292514
"63";"SAR62_0.7";5;0.7;0.682849029868;14;0.56;30;0.0710249952005343
"64";"SAR63_0.7";5;0.7;0.678439795937;8;0.32;30;0.21160530490692
"65";"SAR64_0.7";5;0.7;0.73653326358;9;0.36;30;0.161567682892606
"66";"SAR65_0.7";5;0.7;0.719943446244;7;0.28;30;0.223965277199964
"67";"SAR66_0.7";5;0.7;0.673829076589;16;0.64;30;0.0465523850495867
"68";"SAR67_0.7";5;0.7;0.666565781208;11;0.44;30;0.131098176846581
"69";"SAR68_0.7";5;0.7;0.72122180538;18;0.72;30;0.0287111120412873
"70";"SAR69_0.7";5;0.7;0.675999954396;23;0.92;30;0.00896536966042472
"71";"SAR70_0.7";5;0.7;0.663810281728;13;0.52;30;0.0893408301721912
"72";"SAR71_0.7";5;0.7;0.651584623171;10;0.4;30;0.160706951462696
"73";"SAR72_0.7";5;0.7;0.671625532261;8;0.32;30;0.214507553789687
"74";"SAR73_0.7";5;0.7;0.661830747707;18;0.72;30;0.0297786255959812
"75";"SAR74_0.7";5;0.7;0.697644875541;14;0.56;30;0.06979814479789
"76";"SAR75_0.7";5;0.7;0.7474415643;19;0.76;30;0.0225810392574461
"77";"SAR76_0.7";5;0.7;0.708151347488;12;0.48;30;0.102094471558959
"78";"SAR77_0.7";5;0.7;0.674187561064;18;0.72;30;0.0295571163113955
"79";"SAR78_0.7";5;0.7;0.678195058217;14;0.56;30;0.0714113547697182
"80";"SAR79_0.7";5;0.7;0.721130508598;2;0.08;30;0.506814638864978
"81";"SAR80_0.7";5;0.7;0.692158257586;3;0.12;30;0.436264182692798
"82";"SAR81_0.7";5;0.7;0.737131875308;15;0.6;30;0.0542754307113679
"83";"SAR82_0.7";5;0.7;0.73378181528;23;0.92;30;0.00892298568079212
"84";"SAR83_0.7";5;0.7;0.716832189834;11;0.44;30;0.120752317653781
"85";"SAR84_0.7";5;0.7;0.724822982949;2;0.08;30;0.503205662849181
"86";"SAR85_0.7";5;0.7;0.728867982262;14;0.56;30;0.0672189036883967
"87";"SAR86_0.7";5;0.7;0.728438317558;5;0.2;30;0.290458819474155
"88";"SAR87_0.7";5;0.7;0.748901498537;9;0.36;30;0.157505660092916
"89";"SAR88_0.7";5;0.7;0.737796250204;2;0.08;30;0.490424880286096
"90";"SAR89_0.7";5;0.7;0.700083150558;12;0.48;30;0.103342312986582
"91";"SAR90_0.7";5;0.7;0.706129600585;2;0.08;30;0.52133052181471
"92";"SAR91_0.7";5;0.7;0.678137247895;8;0.32;30;0.211733972067806
"93";"SAR92_0.7";5;0.7;0.687309399;23;0.92;30;0.00895708719327576
"94";"SAR93_0.7";5;0.7;0.725793941753;16;0.64;30;0.0444431299067524
"95";"SAR94_0.7";5;0.7;0.695330988196;13;0.52;30;0.0857181859953999
"96";"SAR95_0.7";5;0.7;0.671797461779;21;0.84;30;0.0145733236084804
"97";"SAR96_0.7";5;0.7;0.68783100265;21;0.84;30;0.0145113014997756
"98";"SAR97_0.7";5;0.7;0.746738011528;19;0.76;30;0.02258910134983
"99";"SAR98_0.7";5;0.7;0.663812936286;5;0.2;30;0.336901477303471
"100";"SAR99_0.7";5;0.7;0.738689156427;2;0.08;30;0.489539824211904
"101";"SAR0_0.7";5;0.7;0.669697967746;11;0.44;30;0.130448118121046
"102";"SAR1_0.7";5;0.7;0.674176530044;20;0.8;30;0.0184933443182589
"103";"SAR2_0.7";5;0.7;0.711243188956;13;0.52;30;0.0838986441968537
"104";"SAR3_0.7";5;0.7;0.713185367497;18;0.72;30;0.0288559423618795
"105";"SAR4_0.7";5;0.7;0.68256462098;2;0.08;30;0.543600430843702
"106";"SAR5_0.7";5;0.7;0.661060184025;14;0.56;30;0.0728352724976928
"107";"SAR6_0.7";5;0.7;0.665638027576;5;0.2;30;0.335578045932354
"108";"SAR7_0.7";5;0.7;0.651399588881;9;0.36;30;0.190397066509187
"109";"SAR8_0.7";5;0.7;0.714568499167;6;0.24;30;0.260669388035224
