"";"Var";"N";"RhoReference";"RhoEstimated";"k";"Theta";"r";"SMAUP"
"1";"SAR0_0.3";5;0.3;0.332899530994;2;0.08;30;0.762396686384133
"2";"SAR1_0.3";5;0.3;0.270749817045;3;0.12;30;0.712762473108526
"3";"SAR2_0.3";5;0.3;0.283777848985;11;0.44;30;0.20708279254368
"4";"SAR3_0.3";5;0.3;0.301287333755;15;0.6;30;0.0789838827679889
"5";"SAR4_0.3";5;0.3;0.252162449755;12;0.48;30;0.169931925906863
"6";"SAR5_0.3";5;0.3;0.2682299497;22;0.88;30;0.0122052207065194
"7";"SAR6_0.3";5;0.3;0.343658226074;12;0.48;30;0.157727800981268
"8";"SAR7_0.3";5;0.3;0.30714344909;3;0.12;30;0.699377089859578
"9";"SAR8_0.3";5;0.3;0.309976094473;12;0.48;30;0.162354033106244
"10";"SAR9_0.3";5;0.3;0.282625023904;14;0.56;30;0.102892975537543
"11";"SAR10_0.3";5;0.3;0.261598342698;6;0.24;30;0.508778422736644
"12";"SAR11_0.3";5;0.3;0.330684695046;5;0.2;30;0.548094513776443
"13";"SAR12_0.3";5;0.3;0.260087037182;15;0.6;30;0.0810817656326369
"14";"SAR13_0.3";5;0.3;0.29448393073;3;0.12;30;0.704233731599735
"15";"SAR14_0.3";5;0.3;0.288116485696;10;0.4;30;0.254076622187181
"16";"SAR15_0.3";5;0.3;0.320941857591;19;0.76;30;0.0272776117894305
"17";"SAR16_0.3";5;0.3;0.273424531976;8;0.32;30;0.37231387397376
"18";"SAR17_0.3";5;0.3;0.297053019603;9;0.36;30;0.3056980881676
"19";"SAR18_0.3";5;0.3;0.32274071908;3;0.12;30;0.693087211696234
"20";"SAR19_0.3";5;0.3;0.301783925618;4;0.16;30;0.630970030013416
"21";"SAR20_0.3";5;0.3;0.340605256463;6;0.24;30;0.475853346835211
"22";"SAR21_0.3";5;0.3;0.287214489664;11;0.44;30;0.206491866194219
"23";"SAR22_0.3";5;0.3;0.34666675779;12;0.48;30;0.157307498778012
"24";"SAR23_0.3";5;0.3;0.308858214856;13;0.52;30;0.128745992560287
"25";"SAR24_0.3";5;0.3;0.254866448631;20;0.8;30;0.0212477717149104
"26";"SAR25_0.3";5;0.3;0.283397232361;23;0.92;30;0.00924874013627355
"27";"SAR26_0.3";5;0.3;0.285724697664;8;0.32;30;0.368425429121301
"28";"SAR27_0.3";5;0.3;0.309691404124;13;0.52;30;0.128662234660792
"29";"SAR28_0.3";5;0.3;0.313422935947;8;0.32;30;0.359349265907502
"30";"SAR29_0.3";5;0.3;0.311186380365;11;0.44;30;0.202301775687955
"31";"SAR30_0.3";5;0.3;0.262429829905;16;0.64;30;0.0624211649913546
"32";"SAR31_0.3";5;0.3;0.349329507375;14;0.56;30;0.0979935291662187
"33";"SAR32_0.3";5;0.3;0.346241535398;11;0.44;30;0.195968100076572
"34";"SAR33_0.3";5;0.3;0.346595273518;20;0.8;30;0.0206694741928613
"35";"SAR34_0.3";5;0.3;0.304292353237;17;0.68;30;0.0468689551417034
"36";"SAR35_0.3";5;0.3;0.260398292166;15;0.6;30;0.0810661557525915
"37";"SAR36_0.3";5;0.3;0.341735188751;22;0.88;30;0.0120700080760055
"38";"SAR37_0.3";5;0.3;0.283075201934;21;0.84;30;0.0160261449225669
"39";"SAR38_0.3";5;0.3;0.32545261424;10;0.4;30;0.245691454327746
"40";"SAR39_0.3";5;0.3;0.32313975968;22;0.88;30;0.0121043552390661
"41";"SAR40_0.3";5;0.3;0.288655366188;7;0.28;30;0.431315239384743
"42";"SAR41_0.3";5;0.3;0.299680032829;18;0.72;30;0.0359917612569726
"43";"SAR42_0.3";5;0.3;0.315936225657;16;0.64;30;0.0605126772313029
"44";"SAR43_0.3";5;0.3;0.343690785062;16;0.64;30;0.0594985424635927
"45";"SAR44_0.3";5;0.3;0.320946690743;22;0.88;30;0.012108399761485
"46";"SAR45_0.3";5;0.3;0.255846516344;21;0.84;30;0.0161237153077494
"47";"SAR46_0.3";5;0.3;0.270414695698;19;0.76;30;0.0277974643986377
"48";"SAR47_0.3";5;0.3;0.318356576216;10;0.4;30;0.247316482045677
"49";"SAR48_0.3";5;0.3;0.33899478746;9;0.36;30;0.293863668224363
"50";"SAR49_0.3";5;0.3;0.313168800178;17;0.68;30;0.0466515219298333
"51";"SAR50_0.3";5;0.3;0.328710319476;4;0.16;30;0.618901719572707
"52";"SAR51_0.3";5;0.3;0.281242104409;23;0.92;30;0.00925027259431148
"53";"SAR52_0.3";5;0.3;0.313478963603;17;0.68;30;0.0466439064960271
"54";"SAR53_0.3";5;0.3;0.288216162119;11;0.44;30;0.206319162714364
"55";"SAR54_0.3";5;0.3;0.337900071298;21;0.84;30;0.0158278697492443
"56";"SAR55_0.3";5;0.3;0.306568098642;8;0.32;30;0.361636311850588
"57";"SAR56_0.3";5;0.3;0.339452121108;13;0.52;30;0.125630974050128
"58";"SAR57_0.3";5;0.3;0.333287582619;11;0.44;30;0.198336215914187
"59";"SAR58_0.3";5;0.3;0.290182580112;19;0.76;30;0.0275952405289017
"60";"SAR59_0.3";5;0.3;0.317267433488;16;0.64;30;0.0604644004040998
