"";"RhoReference";"q10";"q5";"q1"
"1";-0.9;0.078583233566605;0.109624018458225;0.238079625603705
"2";-0.7;0.0677705645746927;0.0864278293485826;0.134019789031668
"3";-0.5;0.0703873252475516;0.0867903705988744;0.134458139464659
"4";-0.3;0.0707637904778106;0.0877492128538217;0.133959777258818
"5";0;0.088010574166734;0.111264484152972;0.155143946279609
"6";0.3;0.121009607043178;0.153595779369574;0.246404044989734
"7";0.5;0.142475831986583;0.18243654030819;0.255354050516558
"8";0.7;0.181697369744046;0.222800658153327;0.29350635008714
"9";0.9;0.216951468193223;0.271224217271907;0.435203247316278
