"";"RhoReference";"q10";"q5";"q1"
"1";-0.9;0.0218669443138085;0.0242273247700158;0.0262071421119812
"2";-0.7;0.0227154018122162;0.0245857727168872;0.0285765021893781
"3";-0.5;0.0241110198689064;0.0265846235991182;0.0285093557622692
"4";-0.3;0.0261400001325416;0.0304173668386226;0.0369577348878943
"5";0;0.0375902047935763;0.0523413313057593;0.0930147409420882
"6";0.3;0.0554892011441301;0.0646087913811663;0.070703089184516
"7";0.5;0.0770081828819275;0.0886031909022856;0.0985605162733558
"8";0.7;0.123538297262137;0.14123329764351;0.16249631617909
"9";0.9;0.224106664813203;0.314242582979478;0.559665852748204
