VarName;N;RhoReference;RhoEstimated;k;Theta;counter;Smaup;reject
SAR;20;0.5;0.457599912;359;0.8975;30;0.010572324;0
SAR;20;0.5;0.476363149;319;0.7975;30;0.020147596;0
SAR;20;0.5;0.511966523;277;0.6925;30;0.038469237;0
SAR;20;0.5;0.505791797;313;0.7825;30;0.021940803;0
SAR;20;0.5;0.532360265;261;0.6525;30;0.048462321;0
SAR;20;0.5;0.507308708;277;0.6925;30;0.038577861;0
SAR;20;0.5;0.488615722;241;0.6025;30;0.067737324;0
SAR;20;0.5;0.535018577;351;0.8775;30;0.011895552;0
SAR;20;0.5;0.515432954;235;0.5875;30;0.072359987;0
SAR;20;0.5;0.500796919;263;0.6575;30;0.048072991;0
SAR;20;0.5;0.498685929;323;0.8075;30;0.018758215;0
SAR;20;0.5;0.526837127;395;0.9875;30;0.005875769;0
SAR;20;0.5;0.537804248;377;0.9425;30;0.007849582;0
SAR;20;0.5;0.499628857;215;0.5375;30;0.09805406;0
SAR;20;0.5;0.486890373;315;0.7875;30;0.021402783;0
SAR;20;0.5;0.507715417;261;0.6525;30;0.049326613;0
SAR;20;0.5;0.545999883;387;0.9675;30;0.006686358;0
SAR;20;0.5;0.492100396;391;0.9775;30;0.006261519;0
SAR;20;0.5;0.485143812;375;0.9375;30;0.008124742;0
SAR;20;0.5;0.482690319;265;0.6625;30;0.04719033;0
SAR;20;0.5;0.512841623;211;0.5275;30;0.102347975;0
SAR;20;0.5;0.498872652;225;0.5625;30;0.085001139;0
SAR;20;0.5;0.486147392;233;0.5825;30;0.0764692;0
SAR;20;0.5;0.496195763;363;0.9075;30;0.009862918;0
SAR;20;0.5;0.485704679;207;0.5175;30;0.111340373;0
SAR;20;0.5;0.549732332;343;0.8575;30;0.013467575;0
SAR;20;0.5;0.513367172;333;0.8325;30;0.015922267;0
SAR;20;0.5;0.537932375;175;0.4375;30;0.159959416;1
SAR;20;0.5;0.511876201;331;0.8275;30;0.016444941;0
SAR;20;0.5;0.513053783;221;0.5525;30;0.088827974;0
SAR;20;0.5;0.535694516;357;0.8925;30;0.010809608;0
SAR;20;0.5;0.479527147;315;0.7875;30;0.021460068;0
SAR;20;0.5;0.457688007;241;0.6025;30;0.06945048;0
SAR;20;0.5;0.471054833;357;0.8925;30;0.010904225;0
SAR;20;0.5;0.503993348;269;0.6725;30;0.043744461;0
SAR;20;0.5;0.529278261;225;0.5625;30;0.082570165;0
SAR;20;0.5;0.481856346;213;0.5325;30;0.102685014;0
SAR;20;0.5;0.542559917;249;0.6225;30;0.057525273;0
SAR;20;0.5;0.51975949;253;0.6325;30;0.055184927;0
SAR;20;0.5;0.540705252;225;0.5625;30;0.081651207;0
SAR;20;0.5;0.479996329;301;0.7525;30;0.026835152;0
SAR;20;0.5;0.474834099;251;0.6275;30;0.058856985;0
SAR;20;0.5;0.549805754;351;0.8775;30;0.011866042;0
SAR;20;0.5;0.532725193;213;0.5325;30;0.097469214;0
SAR;20;0.5;0.506136747;321;0.8025;30;0.019319066;0
SAR;20;0.5;0.508833855;393;0.9825;30;0.006064558;0
SAR;20;0.5;0.456143417;229;0.5725;30;0.083285415;0
SAR;20;0.5;0.531327705;239;0.5975;30;0.067288065;0
SAR;20;0.5;0.482775555;335;0.8375;30;0.015541581;0
SAR;20;0.5;0.478904566;311;0.7775;30;0.022885567;0
SAR;20;0.5;0.473708093;287;0.7175;30;0.03361648;0
SAR;20;0.5;0.514113141;191;0.4775;30;0.134216226;1
SAR;20;0.5;0.519400891;365;0.9125;30;0.009527948;0
SAR;20;0.5;0.486821214;367;0.9175;30;0.009251967;0
SAR;20;0.5;0.480526589;241;0.6025;30;0.068187285;0
SAR;20;0.5;0.453982535;277;0.6925;30;0.039810731;0
SAR;20;0.5;0.542641957;225;0.5625;30;0.081495202;0
SAR;20;0.5;0.485083437;197;0.4925;30;0.127951755;1
SAR;20;0.5;0.506795912;247;0.6175;30;0.061004512;0
SAR;20;0.5;0.543618381;367;0.9175;30;0.009207603;0
SAR;20;0.5;0.498993345;245;0.6125;30;0.063257468;0
SAR;20;0.5;0.520101964;317;0.7925;30;0.020485467;0
SAR;20;0.5;0.543740287;227;0.5675;30;0.079122332;0
