RhoReference;N;k;k_N;median_RCV_bar;linearized_median_RCV_bar
0.9;10;40;0.4;0.11968907;1.995377878
-0.9;10;53;0.53;0.20797199;1.33719335
-0.7;10;53;0.53;0.20522566;1.353948071
-0.5;10;53;0.53;0.19954872;1.389117252
-0.3;10;53;0.53;0.209450585;1.328240325
0;10;53;0.53;0.17088497;1.579368263
0.3;10;53;0.53;0.13695617;1.84080453
0.5;10;53;0.53;0.11022269;2.088468444
0.7;10;53;0.53;0.082322925;2.411195936
0.9;10;53;0.53;0.084799795;2.378849719
-0.9;10;67;0.67;0.11976072;1.994698027
-0.7;10;67;0.67;0.117851305;2.012936928
-0.5;10;67;0.67;0.12473695;1.94831735
-0.3;10;67;0.67;0.1178773;2.012686909
0;10;67;0.67;0.10041708;2.192598921
0.3;10;67;0.67;0.08520442;2.37364732
0.5;10;67;0.67;0.06719732;2.630560323
0.7;10;67;0.67;0.058819695;2.772657983
0.9;10;67;0.67;0.064286245;2.677963923
-0.9;10;80;0.8;0.062797815;2.702978758
-0.7;10;80;0.8;0.0599146;2.753050507
-0.5;10;80;0.8;0.07323088;2.538087283
-0.3;10;80;0.8;0.060510475;2.742520179
0;10;80;0.8;0.057649775;2.79399065
0.3;10;80;0.8;0.052205775;2.898944296
0.5;10;80;0.8;0.044022925;3.078023412
0.7;10;80;0.8;0.0428157;3.107091096
0.9;10;80;0.8;0.04668227;3.016583813
-0.9;10;90;0.9;0.0403502;3.168972075
-0.7;10;90;0.9;0.03738741;3.248317019
-0.5;10;90;0.9;0.03575476;3.294662253
-0.3;10;90;0.9;0.037166735;3.254466115
0;10;90;0.9;0.03614989;3.283261889
0.3;10;90;0.9;0.03013758;3.471381328
0.5;10;90;0.9;0.026488725;3.604190236
0.7;10;90;0.9;0.026701905;3.595955491
0.9;10;90;0.9;0.02822874;3.53877984
-0.9;10;99;0.99;0.007292825;4.913544743
-0.7;10;99;0.99;0.00865952;4.740398754
-0.5;10;99;0.99;0.00747859;4.888204313
-0.3;10;99;0.99;0.008404845;4.770506589
0;10;99;0.99;0.007929955;4.829146354
0.3;10;99;0.99;0.00815247;4.801248447
0.5;10;99;0.99;0.00740307;4.898429891
0.7;10;99;0.99;0.007092855;4.941549211
0.9;10;99;0.99;0.00718306;4.92882082
-0.9;15;3;0.013333333;0.997131395;-5.851056703
-0.7;15;3;0.013333333;0.995245895;-5.343981382
-0.5;15;3;0.013333333;0.99167514;-4.780149355
-0.3;15;3;0.013333333;0.99063411;-4.661270887
0;15;3;0.013333333;0.985078265;-4.18990222
0.3;15;3;0.013333333;0.976377925;-3.721668074
0.5;15;3;0.013333333;0.95876649;-3.146396277
0.7;15;3;0.013333333;0.94084384;-2.766596448
0.9;15;3;0.013333333;0.848038995;-1.719302678
-0.9;15;5;0.022222222;0.98375476;-4.103576696
-0.7;15;5;0.022222222;0.980750695;-3.930843338
-0.5;15;5;0.022222222;0.977294695;-3.762189641
-0.3;15;5;0.022222222;0.9729829;-3.583896509
0;15;5;0.022222222;0.96028383;-3.185470487
0.3;15;5;0.022222222;0.9454907;-2.853332723
0.5;15;5;0.022222222;0.91284824;-2.348918679
0.7;15;5;0.022222222;0.864506935;-1.853238869
0.9;15;5;0.022222222;0.7372619;-1.03178547
-0.9;15;10;0.044444444;0.93305862;-2.634650717
-0.7;15;10;0.044444444;0.932869735;-2.631630586
-0.5;15;10;0.044444444;0.926985455;-2.541279207
-0.3;15;10;0.044444444;0.91779671;-2.412780592
0;15;10;0.044444444;0.902685005;-2.227420573
0.3;15;10;0.044444444;0.859320995;-1.809661802
0.5;15;10;0.044444444;0.81852994;-1.506419294
0.7;15;10;0.044444444;0.733841665;-1.014201914
0.9;15;10;0.044444444;0.507192185;-0.028770724
-0.9;15;15;0.066666667;0.861557335;-1.828285337
-0.7;15;15;0.066666667;0.888614365;-2.076664987
-0.5;15;15;0.066666667;0.869008755;-1.892222711
-0.3;15;15;0.066666667;0.86485589;-1.856221201
0;15;15;0.066666667;0.83727427;-1.638085553
0.3;15;15;0.066666667;0.791685765;-1.335116867
0.5;15;15;0.066666667;0.73312026;-1.010511609
0.7;15;15;0.066666667;0.627313895;-0.520710522
0.9;15;15;0.066666667;0.385762915;0.465158015
-0.9;15;30;0.133333333;0.71501071;-0.919845921
-0.7;15;30;0.133333333;0.749269935;-1.09472239
-0.5;15;30;0.133333333;0.734153;-1.015796498
-0.3;15;30;0.133333333;0.709312275;-0.892046293
0;15;30;0.133333333;0.672997915;-0.721775685
0.3;15;30;0.133333333;0.606236545;-0.431519887
0.5;15;30;0.133333333;0.52654266;-0.10627054
0.7;15;30;0.133333333;0.405001425;0.384668425
0.9;15;30;0.133333333;0.19590171;1.412108459
-0.9;15;60;0.266666667;0.448020045;0.208673757
-0.7;15;60;0.266666667;0.48969496;0.041225998
-0.5;15;60;0.266666667;0.47777852;0.088944511
-0.3;15;60;0.266666667;0.463875465;0.144750354
0;15;60;0.266666667;0.4225798;0.312191946
0.3;15;60;0.266666667;0.359392385;0.578002338
0.5;15;60;0.266666667;0.28785695;0.905815149
0.7;15;60;0.266666667;0.19341658;1.427961018
0.9;15;60;0.266666667;0.10748929;2.116647299
-0.9;15;90;0.4;0.265422095;1.017974685
-0.7;15;90;0.4;0.319543725;0.755869447
-0.5;15;90;0.4;0.31004783;0.7998957
-0.3;15;90;0.4;0.29974626;0.848506438
0;15;90;0.4;0.26245401;1.033252579
0.3;15;90;0.4;0.218708245;1.273210019
0.5;15;90;0.4;0.163373605;1.633337976
0.7;15;90;0.4;0.09453828;2.25944017
0.9;15;90;0.4;0.10269517;2.167630551
-0.9;15;120;0.533333333;0.162439515;1.640187765
-0.7;15;120;0.533333333;0.20518691;1.35418566
-0.5;15;120;0.533333333;0.19041077;1.44734331
-0.3;15;120;0.533333333;0.18326497;1.494381692
0;15;120;0.533333333;0.15619123;1.686844803
0.3;15;120;0.533333333;0.12360262;1.958747876
0.5;15;120;0.533333333;0.089493645;2.319833262
0.7;15;120;0.533333333;0.057404915;2.798506873
0.9;15;120;0.533333333;0.08600091;2.363471698
-0.9;15;150;0.666666667;0.090705735;2.30504818
-0.7;15;150;0.666666667;0.104242205;2.150952973
-0.5;15;150;0.666666667;0.109609615;2.094734903
-0.3;15;150;0.666666667;0.100992325;2.186247048
0;15;150;0.666666667;0.082928815;2.403202508
0.3;15;150;0.666666667;0.06760693;2.624043982
0.5;15;150;0.666666667;0.05198656;2.903383456
0.7;15;150;0.666666667;0.03826038;3.224328853
0.9;15;150;0.666666667;0.07514857;2.510166021
-0.9;15;180;0.8;0.04196002;3.12817225
-0.7;15;180;0.8;0.05054105;2.933106419
-0.5;15;180;0.8;0.052311815;2.896803276
-0.3;15;180;0.8;0.051331735;2.916749998
0;15;180;0.8;0.04485041;3.058535237
0.3;15;180;0.8;0.03616851;3.282727626
0.5;15;180;0.8;0.030932395;3.444530361
0.7;15;180;0.8;0.026398175;3.607707537
0.9;15;180;0.8;0.046943235;3.010735361
-0.9;15;200;0.888888889;0.02557971;3.640043261
-0.7;15;200;0.888888889;0.031071145;3.439911613
-0.5;15;200;0.888888889;0.02791265;3.550365676
-0.3;15;200;0.888888889;0.025674675;3.63624016
0;15;200;0.888888889;0.026351105;3.609540552
0.3;15;200;0.888888889;0.0216044;3.81301709
0.5;15;200;0.888888889;0.02097592;3.843181126
0.7;15;200;0.888888889;0.01817668;3.98927192
0.9;15;200;0.888888889;0.027277365;3.574041742
-0.9;15;220;0.977777778;0.00965086;4.631010517
-0.7;15;220;0.977777778;0.009225345;4.676532529
-0.5;15;220;0.977777778;0.01013931;4.581144268
-0.3;15;220;0.977777778;0.009423395;4.655091776
0;15;220;0.977777778;0.009370655;4.660757445
0.3;15;220;0.977777778;0.0084679;4.762968779
0.5;15;220;0.977777778;0.008501825;4.758936261
0.7;15;220;0.977777778;0.007651245;4.865206233
0.9;15;220;0.977777778;0.00886361;4.716898023
-0.9;20;4;0.01;0.996252345;-5.582870273
-0.7;20;4;0.01;0.99582083;-5.47345469
-0.5;20;4;0.01;0.9942721;-5.15666194
-0.3;20;4;0.01;0.989324625;-4.529082826
0;20;4;0.01;0.983442915;-4.084245487
0.3;20;4;0.01;0.97779681;-3.785065915
0.5;20;4;0.01;0.965579545;-3.334077476
0.7;20;4;0.01;0.943379945;-2.813105861
0.9;20;4;0.01;0.84083634;-1.664464058
-0.9;20;9;0.0225;0.978806845;-3.832656073
-0.7;20;9;0.0225;0.97904768;-3.844330964
-0.5;20;9;0.0225;0.96917413;-3.448090024
-0.3;20;9;0.0225;0.9643766;-3.298479157
0;20;9;0.0225;0.95111086;-2.968075342
0.3;20;9;0.0225;0.931781985;-2.614390186
0.5;20;9;0.0225;0.902842995;-2.22922039
0.7;20;9;0.0225;0.83882245;-1.649492511
0.9;20;9;0.0225;0.634954145;-0.553529808
-0.9;20;18;0.045;0.91917628;-2.431207434
-0.7;20;18;0.045;0.92566862;-2.521983104
-0.5;20;18;0.045;0.92439812;-2.503661694
-0.3;20;18;0.045;0.90519436;-2.256320782
0;20;18;0.045;0.88815994;-2.072082024
0.3;20;18;0.045;0.84673438;-1.70921455
0.5;20;18;0.045;0.798770835;-1.378629707
0.7;20;18;0.045;0.70051188;-0.849736574
0.9;20;18;0.045;0.405433415;0.382876056
-0.9;20;26;0.065;0.858901045;-1.806192265
-0.7;20;26;0.065;0.88924292;-2.083031114
-0.5;20;26;0.065;0.869953255;-1.900545518
-0.3;20;26;0.065;0.861509855;-1.827887327
0;20;26;0.065;0.82931602;-1.580787512
0.3;20;26;0.065;0.778314925;-1.255873437
0.5;20;26;0.065;0.72466581;-0.967725001
0.7;20;26;0.065;0.592128215;-0.372770318
0.9;20;26;0.065;0.309603715;0.801972618
-0.9;20;50;0.125;0.693690575;-0.81743022
-0.7;20;50;0.125;0.74527514;-1.073569483
-0.5;20;50;0.125;0.74829173;-1.089522157
-0.3;20;50;0.125;0.72614463;-0.97514909
0;20;50;0.125;0.68452838;-0.774661379
0.3;20;50;0.125;0.61309193;-0.460327772
0.5;20;50;0.125;0.541744935;-0.167369351
0.7;20;50;0.125;0.401926925;0.397442652
0.9;20;50;0.125;0.141167115;1.805629956
-0.9;20;110;0.275;0.40810683;0.371797184
-0.7;20;110;0.275;0.4693668;0.122686458
-0.5;20;110;0.275;0.46133403;0.154973299
-0.3;20;110;0.275;0.44556034;0.218625301
0;20;110;0.275;0.410336475;0.362574584
0.3;20;110;0.275;0.33949685;0.665537224
0.5;20;110;0.275;0.27189206;0.985044157
0.7;20;110;0.275;0.15736734;1.677948292
0.9;20;110;0.275;0.089813955;2.31590866
-0.9;20;160;0.4;0.25251236;1.085257572
-0.7;20;160;0.4;0.310882015;0.79599903
-0.5;20;160;0.4;0.29844873;0.854695824
-0.3;20;160;0.4;0.282585625;0.931672001
0;20;160;0.4;0.258565345;1.053438585
0.3;20;160;0.4;0.20521135;1.354035807
0.5;20;160;0.4;0.14987369;1.735592066
0.7;20;160;0.4;0.07157573;2.562732766
0.9;20;160;0.4;0.112812875;2.062325451
-0.9;20;213;0.5325;0.149934695;1.735113343
-0.7;20;213;0.5325;0.18399532;1.489509768
-0.5;20;213;0.5325;0.184417;1.486703697
-0.3;20;213;0.5325;0.167816925;1.601178806
0;20;213;0.5325;0.153106315;1.710442618
0.3;20;213;0.5325;0.12066852;1.986114655
0.5;20;213;0.5325;0.075653235;2.502927086
0.7;20;213;0.5325;0.04260377;3.112274592
0.9;20;213;0.5325;0.107056435;2.121167256
-0.9;20;267;0.6675;0.076420285;2.492008943
-0.7;20;267;0.6675;0.106159495;2.13058472
-0.5;20;267;0.6675;0.102981085;2.164531618
-0.3;20;267;0.6675;0.093455285;2.272157269
0;20;267;0.6675;0.08438565;2.384197897
0.3;20;267;0.6675;0.062766315;2.703514104
0.5;20;267;0.6675;0.04054601;3.163926984
0.7;20;267;0.6675;0.030500735;3.459028935
0.9;20;267;0.6675;0.083401915;2.396997812
-0.9;20;320;0.8;0.036319535;3.278404021
-0.7;20;320;0.8;0.04931965;2.958855304
-0.5;20;320;0.8;0.04651652;3.020314581
-0.3;20;320;0.8;0.04357665;3.088679193
0;20;320;0.8;0.041535585;3.138781906
0.3;20;320;0.8;0.030118445;3.472036181
0.5;20;320;0.8;0.02270094;3.762386372
0.7;20;320;0.8;0.021606255;3.812929335
0.9;20;320;0.8;0.051851835;2.906120458
-0.9;20;360;0.9;0.01852352;3.970016774
-0.7;20;360;0.9;0.022822925;3.756902366
-0.5;20;360;0.9;0.024842535;3.670041656
-0.3;20;360;0.9;0.0215226;3.816894144
0;20;360;0.9;0.019750555;3.904625483
0.3;20;360;0.9;0.01609547;4.112991004
0.5;20;360;0.9;0.01481245;4.197363986
0.7;20;360;0.9;0.01273912;4.350256747
0.9;20;360;0.9;0.024975075;3.664584707
-0.9;20;396;0.99;0.0044975;5.399725948
-0.7;20;396;0.99;0.004546265;5.388892632
-0.5;20;396;0.99;0.00460373;5.376274075
-0.3;20;396;0.99;0.004567755;5.384155223
0;20;396;0.99;0.004338445;5.435891407
0.3;20;396;0.99;0.00423082;5.461119656
0.5;20;396;0.99;0.00396553;5.52614235
0.7;20;396;0.99;0.003685555;5.599641791
0.9;20;396;0.99;0.003717855;5.590883607
-0.9;25;4;0.0064;0.998522625;-6.516009947
-0.7;25;4;0.0064;0.997299625;-5.911660599
-0.5;25;4;0.0064;0.99574442;-5.455259555
-0.3;25;4;0.0064;0.994812675;-5.256336303
0;25;4;0.0064;0.99163662;-4.775494078
0.3;25;4;0.0064;0.984919095;-4.179130127
0.5;25;4;0.0064;0.97656629;-3.729867049
0.7;25;4;0.0064;0.961386845;-3.214783851
0.9;25;4;0.0064;0.881233075;-2.004159189
-0.9;25;6;0.0096;0.99585542;-5.48180063
-0.7;25;6;0.0096;0.993552575;-5.037606153
-0.5;25;6;0.0096;0.992653045;-4.906095261
-0.3;25;6;0.0096;0.990237495;-4.619395781
0;25;6;0.0096;0.98284136;-4.047945887
0.3;25;6;0.0096;0.973686535;-3.611008634
0.5;25;6;0.0096;0.96053963;-3.192198364
0.7;25;6;0.0096;0.92994244;-2.585805502
0.9;25;6;0.0096;0.814969695;-1.482631306
-0.9;25;14;0.0224;0.955349465;-3.063210916
-0.7;25;14;0.0224;0.967280955;-3.386531672
-0.5;25;14;0.0224;0.967680315;-3.399225292
-0.3;25;14;0.0224;0.95871261;-3.145034227
0;25;14;0.0224;0.94739429;-2.890890694
0.3;25;14;0.0224;0.925758035;-2.523283343
0.5;25;14;0.0224;0.884131165;-2.03214661
0.7;25;14;0.0224;0.814266335;-1.477973766
0.9;25;14;0.0224;0.585451235;-0.345192276
-0.9;25;27;0.0432;0.897221;-2.166721157
-0.7;25;27;0.0432;0.925190855;-2.515059909
-0.5;25;27;0.0432;0.908726615;-2.298185062
-0.3;25;27;0.0432;0.90775473;-2.286523213
0;25;27;0.0432;0.879230335;-1.985161769
0.3;25;27;0.0432;0.84529734;-1.698183495
0.5;25;27;0.0432;0.79323253;-1.344521578
0.7;25;27;0.0432;0.689548885;-0.798011145
0.9;25;27;0.0432;0.34085056;0.659506136
-0.9;25;43;0.0688;0.821712485;-1.527993059
-0.7;25;43;0.0688;0.85320463;-1.759959837
-0.5;25;43;0.0688;0.85671836;-1.788297026
-0.3;25;43;0.0688;0.843363755;-1.683472159
0;25;43;0.0688;0.81365661;-1.473947268
0.3;25;43;0.0688;0.757996055;-1.141724153
0.5;25;43;0.0688;0.68726976;-0.787385913
0.7;25;43;0.0688;0.56722741;-0.270547905
0.9;25;43;0.0688;0.205151145;1.354404977
-0.9;25;80;0.128;0.638331705;-0.568130582
-0.7;25;80;0.128;0.71106011;-0.900538296
-0.5;25;80;0.128;0.718924625;-0.939133647
-0.3;25;80;0.128;0.701055475;-0.852329
0;25;80;0.128;0.65448333;-0.638805224
0.3;25;80;0.128;0.59397184;-0.380409394
0.5;25;80;0.128;0.508346875;-0.033390602
0.7;25;80;0.128;0.36154866;0.568648824
0.9;25;80;0.128;0.10274023;2.167141655
-0.9;25;170;0.272;0.371528345;0.525665768
-0.7;25;170;0.272;0.44091476;0.237450379
-0.5;25;170;0.272;0.45253549;0.190431447
-0.3;25;170;0.272;0.439027375;0.245110339
0;25;170;0.272;0.39380507;0.43134556
0.3;25;170;0.272;0.33004969;0.707960327
0.5;25;170;0.272;0.269623855;0.99653181
0.7;25;170;0.272;0.133223785;1.872750521
0.9;25;170;0.272;0.13285079;1.875984442
-0.9;25;250;0.4;0.219627;1.267841358
-0.7;25;250;0.4;0.285387535;0.91789236
-0.5;25;250;0.4;0.28838189;0.903255796
-0.3;25;250;0.4;0.276186135;0.963459226
0;25;250;0.4;0.24802861;1.109154176
0.3;25;250;0.4;0.19565041;1.413704544
0.5;25;250;0.4;0.145862825;1.767425182
0.7;25;250;0.4;0.05490669;2.845648464
0.9;25;250;0.4;0.14635555;1.763475837
-0.9;25;333;0.5328;0.12830694;1.916012004
-0.7;25;333;0.5328;0.169270055;1.590809368
-0.5;25;333;0.5328;0.17019391;1.584253613
-0.3;25;333;0.5328;0.16397682;1.628931264
0;25;333;0.5328;0.14366151;1.785205823
0.3;25;333;0.5328;0.10842414;2.106939768
0.5;25;333;0.5328;0.074126425;2.524965616
0.7;25;333;0.5328;0.036115845;3.284239428
0.9;25;333;0.5328;0.129935845;1.901526122
-0.9;25;417;0.6672;0.06906051;2.601211204
-0.7;25;417;0.6672;0.09238759;2.284824764
-0.5;25;417;0.6672;0.095543195;2.247756099
-0.3;25;417;0.6672;0.08717225;2.348661153
0;25;417;0.6672;0.07518112;2.509697777
0.3;25;417;0.6672;0.05448238;2.853855177
0.5;25;417;0.6672;0.03665107;3.26897306
0.7;25;417;0.6672;0.02636593;3.608962889
0.9;25;417;0.6672;0.09527198;2.25089862
-0.9;25;500;0.8;0.03031922;3.46518509
-0.7;25;500;0.8;0.04040578;3.167537664
-0.5;25;500;0.8;0.045144765;3.051685416
-0.3;25;500;0.8;0.040206255;3.172695832
0;25;500;0.8;0.03477052;3.323595975
0.3;25;500;0.8;0.025634835;3.637833977
0.5;25;500;0.8;0.01912001;3.937714687
0.7;25;500;0.8;0.019512385;3.917000622
0.9;25;500;0.8;0.05472034;2.849245333
-0.9;25;563;0.9008;0.01543434;4.155605693
-0.7;25;563;0.9008;0.020092785;3.887097093
-0.5;25;563;0.9008;0.02033448;3.87489324
-0.3;25;563;0.9008;0.0180887;3.994213544
0;25;563;0.9008;0.016206155;4.10602526
0.3;25;563;0.9008;0.01249413;4.369923507
0.5;25;563;0.9008;0.01183532;4.424761083
0.7;25;563;0.9008;0.0128457;4.341817235
0.9;25;563;0.9008;0.028652715;3.523435858
-0.9;25;618;0.9888;0.00407745;5.4981977
-0.7;25;618;0.9888;0.004031625;5.509545985
-0.5;25;618;0.9888;0.004317785;5.440685606
-0.3;25;618;0.9888;0.004310335;5.44242
0;25;618;0.9888;0.003905785;5.541383059
0.3;25;618;0.9888;0.003598065;5.623754524
0.5;25;618;0.9888;0.00354429;5.638866835
0.7;25;618;0.9888;0.003409325;5.677825805
0.9;25;618;0.9888;0.00382018;5.563630242
-0.9;30;4;0.004444444;0.99906586;-6.974949661
-0.7;30;4;0.004444444;0.998255465;-6.349521176
-0.5;30;4;0.004444444;0.99758179;-6.022306543
-0.3;30;4;0.004444444;0.99698609;-5.801498579
0;30;4;0.004444444;0.99493784;-5.280886993
0.3;30;4;0.004444444;0.992330765;-4.862839613
0.5;30;4;0.004444444;0.984278955;-4.136909087
0.7;30;4;0.004444444;0.97485697;-3.657710042
0.9;30;4;0.004444444;0.91637636;-2.394100898
-0.9;30;9;0.01;0.99327602;-4.99532835
-0.7;30;9;0.01;0.99259763;-4.898525156
-0.5;30;9;0.01;0.990856095;-4.685481775
-0.3;30;9;0.01;0.987584335;-4.376302914
0;30;9;0.01;0.982136735;-4.006984171
0.3;30;9;0.01;0.97074461;-3.501999586
0.5;30;9;0.01;0.95609916;-3.080928177
0.7;30;9;0.01;0.91688548;-2.400763163
0.9;30;9;0.01;0.786028545;-1.30115049
-0.9;30;20;0.022222222;0.958237965;-3.133108472
-0.7;30;20;0.022222222;0.966024295;-3.347543274
-0.5;30;20;0.022222222;0.96366446;-3.277946838
-0.3;30;20;0.022222222;0.958771855;-3.146531994
0;30;20;0.022222222;0.941543605;-2.77923957
0.3;30;20;0.022222222;0.922615755;-2.478429641
0.5;30;20;0.022222222;0.884986605;-2.040523909
0.7;30;20;0.022222222;0.818564245;-1.506650261
0.9;30;20;0.022222222;0.572413765;-0.291706108
-0.9;30;40;0.044444444;0.890457135;-2.095419032
-0.7;30;40;0.044444444;0.91848613;-2.421953614
-0.5;30;40;0.044444444;0.914620785;-2.37140685
-0.3;30;40;0.044444444;0.899382275;-2.190379732
0;30;40;0.044444444;0.88283968;-2.019600368
0.3;30;40;0.044444444;0.841162955;-1.666906602
0.5;30;40;0.044444444;0.779564745;-1.263131721
0.7;30;40;0.044444444;0.69150883;-0.8071827
0.9;30;40;0.044444444;0.35640844;0.590986925
-0.9;30;60;0.066666667;0.813398145;-1.472243484
-0.7;30;60;0.066666667;0.865259155;-1.859675796
