RhoReference;N;k;k_N;median_RCV_bar;linearized_median_RCV_bar
-0.5;30;60;0.066666667;0.862261255;-1.834199566
-0.3;30;60;0.066666667;0.849142035;-1.727887704
0;30;60;0.066666667;0.81767778;-1.500692786
0.3;30;60;0.066666667;0.764068205;-1.1751143
0.5;30;60;0.066666667;0.700174525;-0.84812907
0.7;30;60;0.066666667;0.577774955;-0.313645988
0.9;30;60;0.066666667;0.22561094;1.233262397
-0.9;30;120;0.133333333;0.6497465;-0.617925109
-0.7;30;120;0.133333333;0.71758305;-0.932504165
-0.5;30;120;0.133333333;0.7157932;-0.923689156
-0.3;30;120;0.133333333;0.695648375;-0.82666063
0;30;120;0.133333333;0.653131295;-0.632831837
0.3;30;120;0.133333333;0.58842356;-0.357452266
0.5;30;120;0.133333333;0.5033997;-0.01359901
0.7;30;120;0.133333333;0.378345995;0.496574568
0.9;30;120;0.133333333;0.105496095;2.13759533
-0.9;30;240;0.266666667;0.395889985;0.422619968
-0.7;30;240;0.266666667;0.4702104;0.119299692
-0.5;30;240;0.266666667;0.470267105;0.119072066
-0.3;30;240;0.266666667;0.44913095;0.204182629
0;30;240;0.266666667;0.40765544;0.373666185
0.3;30;240;0.266666667;0.352579125;0.60772152
0.5;30;240;0.266666667;0.278841945;0.950213214
0.7;30;240;0.266666667;0.169011815;1.592646953
0.9;30;240;0.266666667;0.10712111;2.120490887
-0.9;30;360;0.4;0.23642261;1.172393558
-0.7;30;360;0.4;0.301935785;0.838096735
-0.5;30;360;0.4;0.302749755;0.834237805
-0.3;30;360;0.4;0.2897862;0.896422642
0;30;360;0.4;0.255935985;1.067199718
0.3;30;360;0.4;0.19933508;1.390455305
0.5;30;360;0.4;0.15404529;1.703219174
0.7;30;360;0.4;0.066701925;2.638490817
0.9;30;360;0.4;0.124848915;1.947292214
-0.9;30;480;0.533333333;0.130223215;1.898986593
-0.7;30;480;0.533333333;0.18524014;1.481240382
-0.5;30;480;0.533333333;0.179154235;1.522088147
-0.3;30;480;0.533333333;0.171693285;1.573673856
0;30;480;0.533333333;0.148830275;1.743804988
0.3;30;480;0.533333333;0.113738745;2.053107669
0.5;30;480;0.533333333;0.07521779;2.509170489
0.7;30;480;0.533333333;0.03014513;3.471123057
0.9;30;480;0.533333333;0.110332785;2.08734636
-0.9;30;600;0.666666667;0.073322455;2.536738751
-0.7;30;600;0.666666667;0.10153116;2.180326279
-0.5;30;600;0.666666667;0.10149766;2.180693567
-0.3;30;600;0.666666667;0.096138;2.240892035
0;30;600;0.666666667;0.08001002;2.442210902
0.3;30;600;0.666666667;0.05820803;2.783761094
0.5;30;600;0.666666667;0.03656995;3.27127302
0.7;30;600;0.666666667;0.02167081;3.809880015
0.9;30;600;0.666666667;0.081910505;2.416667626
-0.9;30;720;0.8;0.0385234;3.217204379
-0.7;30;720;0.8;0.04882534;2.969448265
-0.5;30;720;0.8;0.04838276;2.979019343
-0.3;30;720;0.8;0.045396095;3.045870407
0;30;720;0.8;0.03854071;3.216737139
0.3;30;720;0.8;0.02713846;3.57928986
0.5;30;720;0.8;0.01791638;4.003961079
0.7;30;720;0.8;0.01579916;4.131873208
0.9;30;720;0.8;0.048873055;2.968421317
-0.9;30;810;0.9;0.01705276;4.054243379
-0.7;30;810;0.9;0.020808515;3.851364938
-0.5;30;810;0.9;0.021655685;3.810593662
-0.3;30;810;0.9;0.018818605;3.953911343
0;30;810;0.9;0.017429725;4.031994786
0.3;30;810;0.9;0.01243871;4.374425176
0.5;30;810;0.9;0.01013745;4.581329608
0.7;30;810;0.9;0.009514615;4.645366073
0.9;30;810;0.9;0.0251408;3.657801026
-0.9;30;890;0.988888889;0.003290835;5.713317685
-0.7;30;890;0.988888889;0.0033135;5.706431245
-0.5;30;890;0.988888889;0.00342345;5.673677141
-0.3;30;890;0.988888889;0.003299595;5.710650495
0;30;890;0.988888889;0.00298311;5.81180133
0.3;30;890;0.988888889;0.00323301;5.73110344
0.5;30;890;0.988888889;0.00274942;5.893612092
0.7;30;890;0.988888889;0.002718555;5.904932533
0.9;30;890;0.988888889;0.003843575;5.557501375
