LNY0,[25, 25, 25, 25, 23, 23, 25, 23, 20, 23, 19, 23, 19, 8, 8, 27, 19, 20, 27, 5, 5, 5, 21, 5, 19, 25, 21, 5, 21, 27, 25, 25, 25, 25, 25, 47, 34, 47, 47, 4, 4, 47, 16, 4, 4, 47, 43, 4, 47, 47, 4, 12, 12, 21, 12, 34, 34, 34, 47, 34, 34, 14, 40, 14, 14, 43, 43, 22, 13, 24, 24, 13, 32, 11, 32, 32, 25, 13, 25, 11, 15, 32, 32, 32, 32, 32, 0, 46, 6, 46, 35, 36, 35, 13, 43, 10, 42, 18, 18, 6, 24, 24, 24, 24, 33, 3, 33, 33, 28, 26, 51, 26, 51, 9, 9, 9, 29, 50, 49, 49, 7, 26, 26, 48, 9, 51, 40, 40, 51, 51, 40, 50, 1, 1, 47, 47, 47, 47, 47, 43, 28, 28, 43, 51, 47, 34, 47, 49, 34, 17, 40, 40, 17, 40, 47, 4, 14, 44, 2, 2, 16, 2, 45, 38, 39, 39, 45, 30, 16, 12, 30, 37, 2, 8, 8, -1, 41, 30, 41, 41, 37, 37, 37, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 31, 8, 8, 31, 31]
LNY1,[31, 31, 31, 31, 15, 15, 15, 15, 22, 15, 22, 15, 33, 33, 8, 38, 22, 38, 38, 5, 15, 15, 33, 15, 44, 31, 44, 5, 5, 38, 31, 31, 31, 31, 31, 35, 29, 36, 29, 36, 42, 42, 10, 42, 10, 36, 43, 36, 35, 43, 36, 5, 10, 5, 10, 12, 32, 32, 35, 29, 29, 21, 21, 21, 12, 43, 35, 35, 40, 49, 24, 40, 31, 31, 31, 31, 31, 40, 31, 31, 0, 4, 0, 0, 25, 11, 28, 26, 28, 28, 43, 1, 1, 11, 43, 4, 1, 4, 1, 27, 24, 45, 27, 24, 46, 46, 50, 45, 50, 18, 6, 3, 6, 48, 48, 3, 3, 3, 39, 39, 3, 7, 18, 7, 48, 32, 18, 18, 6, 18, 30, 13, 47, 47, 13, 34, 34, 35, 35, 35, 34, 34, 35, 14, 47, 14, 34, 14, 35, 20, 32, 30, 41, 21, 21, 16, 21, 21, 17, 20, 16, 20, 20, 20, 23, 23, 20, 10, 16, 10, 17, 9, 17, 37, 37, -1, 10, 10, 10, 5, 9, 37, 9, 37, 2, 37, 2, 37, 33, 33, 2, 8, 8, 51, 8, 51, 51, 19, 37, 37, 37, 2, 37, 37, 2, 2]
LNY2,[8, 8, 23, 8, 11, 11, 39, 11, 47, 47, 40, 47, 27, 27, 32, 32, 27, 10, 10, 8, 23, 23, 0, 8, 0, 8, 33, 33, 8, 10, 23, 23, 23, 23, 23, 34, 28, 34, 49, 16, 16, 45, 16, 45, 13, 37, 37, 16, 34, 37, 34, 16, 16, 16, 13, 42, 17, 28, 28, 49, 28, 42, 17, 17, 42, 37, 30, 37, 2, 2, 2, 2, 8, 35, 8, 8, 8, 2, 8, 35, 2, 35, 2, 35, 35, 2, 36, 36, 36, 36, 30, 26, 26, 35, 37, 7, 26, 26, 26, 36, 26, 26, 36, 2, 4, 4, 4, 4, 4, 9, 5, 31, 31, 3, 9, 31, 5, 14, 30, 30, 19, 31, 9, 9, 9, 48, 15, 15, 17, 17, 15, 1, 12, 1, 1, 12, 30, 28, 28, 28, 30, 22, 30, 17, 30, 22, 22, 46, 17, 15, 48, 48, 15, 48, 29, 6, 34, 43, 6, 21, 6, 41, 41, 38, 38, 24, 38, 6, 6, 6, 6, 21, 21, 44, 44, -1, 33, 6, 6, 33, 21, 20, 6, 25, 25, 25, 25, 44, 50, 50, 25, 32, 32, 32, 32, 32, 32, 25, 25, 25, 25, 44, 51, 44, 18, 25]
LNY3,[45, 11, 11, 11, 46, 46, 45, 45, 46, 46, 13, 46, 13, 13, 5, 17, 17, 46, 17, 45, 45, 45, 50, 45, 13, 45, 13, 13, 13, 17, 45, 11, 11, 20, 20, 51, 51, 18, 18, 44, 44, 18, 1, 44, 38, 24, 37, 7, 18, 24, 7, 38, 1, 13, 38, 22, 22, 42, 42, 28, 28, 25, 25, 48, 22, 24, 39, 39, 10, 10, 31, 10, 27, 27, 26, 26, 11, 10, 11, 27, 27, 14, 27, 27, 27, 27, 41, 35, 35, 35, 39, 14, 39, 27, 37, 14, 37, 14, 37, 41, 6, 6, 41, 31, 39, 39, 34, 34, 34, 21, 29, 12, 49, 3, 12, 3, 3, 29, 43, 43, 9, 12, 12, 33, 12, 21, 21, 49, 49, 43, 21, 19, 19, 8, 19, 8, 15, 51, 4, 0, 39, 15, 39, 21, 16, 4, 16, 16, 4, 21, 21, 21, 21, 23, 18, 36, 23, 23, 47, 40, 36, 36, 40, 32, 2, 32, 2, 1, 30, 1, 47, 40, 40, 40, 40, -1, 50, 40, 50, 50, 40, 40, 40, 40, 40, 40, 40, 40, 13, 13, 40, 5, 5, 5, 5, 5, 5, 40, 40, 5, 40, 40, 40, 40, 40, 40]
LNY4,[9, 0, 21, 0, 26, 26, 23, 46, 26, 26, 43, 26, 14, 14, 14, 8, 26, 22, 8, 9, 23, 46, 14, 9, 43, 9, 47, 47, 9, 8, 9, 21, 39, 15, 39, 32, 50, 7, 50, 42, 7, 11, 10, 33, 10, 7, 16, 42, 7, 7, 7, 12, 6, 47, 10, 44, 44, 44, 44, 50, 44, 49, 44, 31, 35, 7, 7, 7, 37, 25, 38, 29, 0, 0, 4, 0, 0, 37, 0, 16, 16, 29, 4, 16, 16, 16, 29, 28, 28, 28, 7, 16, 29, 29, 16, 16, 16, 16, 16, 51, 27, 29, 51, 27, 28, 7, 28, 29, 28, 13, 3, 13, 30, 2, 2, 2, 17, 34, 41, 41, 18, 13, 45, 45, 13, 3, 36, 36, 13, 3, 11, 41, 41, 24, 41, 24, 24, 32, 32, 7, 28, 28, 7, 44, 41, 41, 24, 41, 41, 11, 11, 44, 11, 11, 11, 33, 20, 11, 48, 19, 10, 40, 33, 11, 5, 11, 33, 1, 48, 1, 48, 6, 19, 19, 14, -1, 6, 6, 6, 14, 19, 19, 6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 19, 14, 14]
LNY5,[7, 7, 30, 7, 20, 20, 34, 20, 20, 20, 41, 20, 20, 41, 49, 24, 20, 24, 24, 34, 34, 34, 41, 34, 41, 34, 34, 34, 34, 24, 34, 7, 30, 30, 30, 5, 5, 33, 33, 33, 39, 33, 18, 33, 18, 39, 39, 39, 5, 5, 39, 18, 18, 34, 18, 42, 35, 42, 23, 5, 5, 16, 16, 16, 16, 38, 38, 5, 4, 50, 31, 48, 7, 7, 4, 7, 7, 4, 7, 7, 4, 7, 4, 7, 48, 48, 32, 32, 51, 51, 9, 12, 9, 7, 3, 3, 12, 39, 3, 32, 46, 12, 32, 46, 9, 38, 11, 46, 9, 21, 14, 25, 13, 27, 21, 21, 25, 36, 37, 37, 15, 21, 21, 21, 21, 21, 21, 28, 28, 28, 21, 36, 15, 36, 15, 15, 29, 5, 47, 5, 38, 29, 38, 37, 29, 47, 37, 35, 23, 44, 44, 21, 40, 44, 33, 44, 33, 16, 19, 17, 33, 33, 44, 44, 40, 40, 44, 19, 19, 18, 0, 1, 8, 45, 45, -1, 43, 26, 22, 43, 8, 45, 8, 6, 6, 6, 6, 45, 49, 49, 6, 49, 49, 10, 49, 49, 49, 2, 2, 2, 2, 45, 45, 45, 45, 45]
LNY6,[42, 42, 42, 32, 35, 35, 42, 42, 48, 48, 48, 48, 23, 19, 7, 7, 39, 39, 4, 35, 42, 35, 23, 35, 1, 42, 1, 35, 35, 7, 42, 32, 42, 42, 42, 0, 0, 27, 0, 38, 38, 25, 25, 25, 38, 27, 15, 27, 27, 15, 27, 23, 51, 35, 38, 49, 49, 49, 45, 49, 49, 49, 17, 17, 17, 29, 30, 15, 22, 22, 44, 8, 42, 42, 22, 42, 42, 22, 42, 18, 22, 8, 22, 22, 28, 8, 34, 9, 20, 20, 29, 40, 29, 44, 29, 8, 29, 40, 40, 20, 44, 44, 44, 44, 30, 30, 33, 44, 45, 41, 31, 13, 41, 3, 5, 13, 43, 43, 43, 41, 31, 13, 10, 10, 13, 41, 41, 41, 41, 41, 41, 43, 16, 16, 43, 2, 6, 0, 45, 45, 45, 45, 30, 43, 45, 45, 45, 43, 49, 12, 17, 49, 24, 17, 27, 25, 49, 12, 26, 46, 26, 26, 26, 14, 14, 12, 14, 11, 26, 25, 26, 11, 26, 50, 50, -1, 23, 11, 11, 23, 26, 26, 11, 50, 50, 50, 50, 50, 36, 36, 50, 37, 37, 21, 37, 37, 37, 21, 21, 21, 50, 47, 50, 50, 50, 50]
LNY7,[5, 39, 5, 26, 30, 30, 15, 30, 30, 30, 43, 30, 43, 10, 7, 2, 43, 18, 2, 48, 48, 48, 43, 8, 0, 5, 43, 8, 8, 2, 5, 5, 39, 45, 45, 9, 44, 41, 47, 51, 51, 41, 51, 3, 51, 47, 12, 51, 47, 9, 47, 28, 28, 8, 51, 23, 33, 33, 13, 23, 44, 23, 23, 23, 23, 42, 42, 9, 37, 36, 27, 36, 26, 24, 26, 26, 39, 37, 39, 24, 26, 21, 26, 26, 21, 36, 25, 25, 25, 25, 38, 38, 38, 21, 12, 21, 38, 12, 12, 25, 25, 21, 25, 25, 42, 42, 25, 42, 42, 31, 40, 34, 40, 4, 4, 34, 34, 4, 22, 31, 22, 1, 1, 1, 1, 20, 20, 35, 31, 31, 20, 49, 19, 49, 22, 19, 50, 44, 17, 9, 42, 50, 50, 31, 50, 33, 17, 33, 13, 6, 23, 20, 6, 41, 41, 3, 23, 41, 3, 3, 51, 3, 3, 6, 3, 20, 3, 51, 3, 51, 3, 14, 3, 11, 11, -1, 28, 28, 28, 46, 3, 11, 3, 32, 11, 32, 32, 11, 11, 11, 11, 16, 16, 29, 16, 16, 16, 29, 32, 29, 32, 11, 11, 11, 11, 11]
LNY8,[20, 29, 29, 49, 46, 46, 42, 24, 46, 46, 48, 46, 48, 47, 25, 25, 48, 46, 25, 13, 24, 24, 48, 13, 48, 49, 5, 13, 49, 25, 49, 32, 15, 49, 15, 18, 18, 34, 35, 40, 40, 40, 38, 40, 38, 18, 18, 34, 35, 18, 34, 13, 38, 13, 38, 1, 51, 22, 22, 1, 22, 50, 51, 1, 1, 28, 28, 28, 41, 41, 41, 41, 20, 43, 43, 43, 27, 41, 43, 43, 36, 39, 14, 36, 39, 36, 11, 11, 11, 11, 11, 7, 11, 36, 18, 2, 39, 18, 39, 11, 11, 7, 33, 7, 11, 11, 11, 11, 11, 37, 21, 16, 16, 30, 45, 45, 16, 10, 51, 51, 31, 45, 37, 45, 45, 51, 37, 9, 51, 51, 9, 6, 6, 6, 31, 6, 22, 22, 22, 18, 22, 22, 22, 51, 31, 22, 51, 51, 19, 9, 8, 51, 9, 51, 34, 40, 34, 9, 40, 23, 12, 40, 34, 34, 17, 17, 34, 40, 12, 38, 40, 40, 23, 0, 47, -1, 38, 38, 38, 13, 23, 23, 23, 44, 44, 3, 44, 47, 47, 4, 26, 4, 4, 3, 4, 4, 4, 44, 44, 3, 44, 47, 0, 0, 26, 26]
LNY9,[31, 39, 39, 39, 27, 27, 24, 16, 29, 44, 6, 27, 45, 50, 5, 5, 44, 44, 45, 16, 16, 27, 6, 16, 6, 16, 6, 47, 47, 45, 39, 39, 39, 39, 39, 15, 43, 15, 43, 47, 22, 3, 47, 22, 47, 42, 11, 47, 15, 18, 42, 47, 47, 47, 47, 33, 26, 33, 26, 43, 43, 41, 33, 25, 33, 19, 7, 15, 40, 40, 7, 40, 39, 39, 39, 39, 39, 40, 39, 8, 40, 0, 21, 49, 40, 40, 7, 7, 7, 7, 0, 0, 7, 40, 0, 10, 0, 11, 0, 7, 7, 7, 7, 7, 15, 15, 7, 7, 15, 2, 13, 13, 13, 32, 2, 13, 13, 4, 17, 17, 4, 2, 23, 23, 2, 17, 13, 17, 13, 17, 43, 32, 37, 32, 37, 37, 37, 43, 26, 15, 15, 48, 15, 17, 17, 26, 48, 48, 26, 12, 12, 38, 43, 12, 43, 3, 43, 43, 51, 36, 51, 51, 51, 43, 3, 43, 3, 51, 51, 46, 28, 20, 28, 34, 34, -1, 47, 46, 47, 47, 46, 46, 46, 1, 1, 1, 1, 34, 50, 50, 1, 5, 5, 35, 5, 5, 35, 1, 1, 1, 1, 9, 30, 30, 14, 1]
