RhoReference;N;k;median_RCV_bar
0.5;15;90;0.163373605
0.7;15;90;0.09453828
0.9;15;90;0.10269517
-0.9;15;120;0.162439515
-0.7;15;120;0.20518691
-0.5;15;120;0.19041077
-0.3;15;120;0.18326497
0;15;120;0.15619123
0.3;15;120;0.12360262
0.5;15;120;0.089493645
0.7;15;120;0.057404915
0.9;15;120;0.08600091
-0.9;15;150;0.090705735
-0.7;15;150;0.104242205
-0.5;15;150;0.109609615
-0.3;15;150;0.100992325
0;15;150;0.082928815
0.3;15;150;0.06760693
0.5;15;150;0.05198656
0.7;15;150;0.03826038
0.9;15;150;0.07514857
-0.9;15;180;0.04196002
-0.7;15;180;0.05054105
-0.5;15;180;0.052311815
-0.3;15;180;0.051331735
0;15;180;0.04485041
0.3;15;180;0.03616851
0.5;15;180;0.030932395
0.7;15;180;0.026398175
0.9;15;180;0.046943235
-0.9;15;200;0.02557971
-0.7;15;200;0.031071145
-0.5;15;200;0.02791265
-0.3;15;200;0.025674675
0;15;200;0.026351105
0.3;15;200;0.0216044
0.5;15;200;0.02097592
0.7;15;200;0.01817668
0.9;15;200;0.027277365
-0.9;15;220;0.00965086
-0.7;15;220;0.009225345
-0.5;15;220;0.01013931
-0.3;15;220;0.009423395
0;15;220;0.009370655
0.3;15;220;0.0084679
0.5;15;220;0.008501825
0.7;15;220;0.007651245
0.9;15;220;0.00886361
-0.9;20;4;0.996252345
-0.7;20;4;0.99582083
-0.5;20;4;0.9942721
-0.3;20;4;0.989324625
0;20;4;0.983442915
0.3;20;4;0.97779681
0.5;20;4;0.965579545
0.7;20;4;0.943379945
0.9;20;4;0.84083634
-0.9;20;9;0.978806845
-0.7;20;9;0.97904768
-0.5;20;9;0.96917413
-0.3;20;9;0.9643766
0;20;9;0.95111086
0.3;20;9;0.931781985
0.5;20;9;0.902842995
0.7;20;9;0.83882245
0.9;20;9;0.634954145
-0.9;20;18;0.91917628
-0.7;20;18;0.92566862
-0.5;20;18;0.92439812
-0.3;20;18;0.90519436
0;20;18;0.88815994
0.3;20;18;0.84673438
0.5;20;18;0.798770835
0.7;20;18;0.70051188
0.9;20;18;0.405433415
-0.9;20;26;0.858901045
-0.7;20;26;0.88924292
-0.5;20;26;0.869953255
-0.3;20;26;0.861509855
0;20;26;0.82931602
0.3;20;26;0.778314925
0.5;20;26;0.72466581
0.7;20;26;0.592128215
0.9;20;26;0.309603715
-0.9;20;50;0.693690575
-0.7;20;50;0.74527514
-0.5;20;50;0.74829173
-0.3;20;50;0.72614463
0;20;50;0.68452838
0.3;20;50;0.61309193
0.5;20;50;0.541744935
0.7;20;50;0.401926925
0.9;20;50;0.141167115
-0.9;20;110;0.40810683
-0.7;20;110;0.4693668
-0.5;20;110;0.46133403
