"";"Var";"N";"RhoReference";"RhoEstimated";"k";"Theta";"r";"SMAUP"
"1";"SAR1_0";10;0.5;0.509491481976;33;0.33;30;0.272585410273492
"2";"SAR1_1";10;0.5;0.417337774997;47;0.47;30;0.155430879310155
"3";"SAR1_2";10;0.5;0.661264908351;38;0.38;30;0.17216600080591
"4";"SAR1_3";10;0.5;0.339078362994;81;0.81;30;0.0193697614360736
"5";"SAR1_4";10;0.5;0.694706972894;53;0.53;30;0.08161067443227
"6";"SAR1_5";10;0.5;0.438878380863;84;0.84;30;0.0154565971577707
"7";"SAR1_6";10;0.5;0.573881058823;80;0.8;30;0.0191754849877408
"8";"SAR1_7";10;0.5;0.532230472982;79;0.79;30;0.0207195161227387
"9";"SAR1_8";10;0.5;0.516039683215;64;0.64;30;0.0528950088652709
"10";"SAR1_9";10;0.5;0.482359120532;90;0.9;30;0.0103702883102962
"11";"SAR1_10";10;0.5;0.54481318295;66;0.66;30;0.0459067430325098
"12";"SAR1_11";10;0.5;0.449599969285;71;0.71;30;0.0357092987959586
"13";"SAR1_12";10;0.5;0.462831135709;84;0.84;30;0.0153674256937443
"14";"SAR1_13";10;0.5;0.500211692373;73;0.73;30;0.0306457386316426
"15";"SAR1_14";10;0.5;0.21002944472;48;0.48;30;0.175144108958847
"16";"SAR1_15";10;0.5;0.422536070556;78;0.78;30;0.0230002353979829
"17";"SAR1_16";10;0.5;0.473813702724;74;0.74;30;0.0291406775051903
"18";"SAR1_17";10;0.5;0.667791408021;64;0.64;30;0.0467973608080743
"19";"SAR1_18";10;0.5;0.511116843281;97;0.97;30;0.00657671372270015
"20";"SAR1_19";10;0.5;0.523127690242;90;0.9;30;0.0103198962918544
"21";"SAR1_20";10;0.5;0.535109944258;52;0.52;30;0.104177957869374
"22";"SAR1_21";10;0.5;0.331750530599;47;0.47;30;0.168589764963766
"23";"SAR1_22";10;0.5;0.777845386919;62;0.62;30;0.0469142783029982
"24";"SAR1_23";10;0.5;0.48212668057;36;0.36;30;0.248755103871911
"25";"SAR1_24";10;0.5;0.445425223812;33;0.33;30;0.297673772151614
"26";"SAR1_25";10;0.5;0.555779549609;51;0.51;30;0.107465292550091
"27";"SAR1_26";10;0.5;0.516398575432;80;0.8;30;0.0195606980579194
"28";"SAR1_27";10;0.5;0.549654007265;60;0.6;30;0.0652483561401745
"29";"SAR1_28";10;0.5;0.231045638255;40;0.4;30;0.266072082933884
"30";"SAR1_29";10;0.5;0.56603432632;80;0.8;30;0.0192283321687642
"31";"SAR1_30";10;0.5;0.427840916075;69;0.69;30;0.0410576416135942
"32";"SAR1_31";10;0.5;0.236901434023;95;0.95;30;0.00753069919136785
"33";"SAR1_32";10;0.5;0.372317750148;40;0.4;30;0.234610377266675
"34";"SAR1_33";10;0.5;0.528470942977;56;0.56;30;0.0838248688501961
"35";"SAR1_34";10;0.5;0.596546785097;72;0.72;30;0.0309420758152066
"36";"SAR1_35";10;0.5;0.570499696045;59;0.59;30;0.0678185557505026
"37";"SAR1_36";10;0.5;0.436593072262;73;0.73;30;0.0316232409136165
"38";"SAR1_37";10;0.5;0.366425299548;60;0.6;30;0.0755450520602363
"39";"SAR1_38";10;0.5;0.42399728523;98;0.98;30;0.00614686298246536
"40";"SAR1_39";10;0.5;0.429809995933;37;0.37;30;0.254055721990523
"41";"SAR1_40";10;0.5;0.499672313129;41;0.41;30;0.192500841117333
"42";"SAR1_41";10;0.5;0.540123460268;92;0.92;30;0.00906436702540847
"43";"SAR1_42";10;0.5;0.538410733359;65;0.65;30;0.0489802301000995
"44";"SAR1_43";10;0.5;0.617063699807;39;0.39;30;0.177823626455454
"45";"SAR1_44";10;0.5;0.386272325312;49;0.49;30;0.143399483102261
"46";"SAR1_45";10;0.5;0.530862810098;94;0.94;30;0.00797865815186864
"47";"SAR1_46";10;0.5;0.580515345109;78;0.78;30;0.0216435462012727
"48";"SAR1_47";10;0.5;0.405495042509;51;0.51;30;0.125694596050111
"49";"SAR1_48";10;0.5;0.516346061471;66;0.66;30;0.0468364746714914
"50";"SAR1_49";10;0.5;0.464142370786;60;0.6;30;0.0701474270138531
"51";"SAR1_50";10;0.5;0.481602833062;35;0.35;30;0.260215958398351
"52";"SAR1_51";10;0.5;0.523625378597;94;0.94;30;0.0079810266530674
"53";"SAR1_52";10;0.5;0.57353448281;91;0.91;30;0.00962990857559286
"54";"SAR1_53";10;0.5;0.701885006431;97;0.97;30;0.00659475370227884
"55";"SAR1_54";10;0.5;0.536767070023;86;0.86;30;0.0132918949066106
"56";"SAR1_55";10;0.5;0.418945740652;60;0.6;30;0.0726756127629932
"57";"SAR1_56";10;0.5;0.384231397616;63;0.63;30;0.0617852972384978
"58";"SAR1_57";10;0.5;0.520194563462;65;0.65;30;0.0496365572552535
"59";"SAR1_58";10;0.5;0.425384893573;78;0.78;30;0.0229762398637248
"60";"SAR1_59";10;0.5;0.534097651694;54;0.54;30;0.0933363949291273
"61";"SAR1_60";10;0.5;0.454204238352;98;0.98;30;0.00615286090501465
"62";"SAR1_61";10;0.5;0.467027493481;88;0.88;30;0.0118361736000936
"63";"SAR1_62";10;0.5;0.577848480225;63;0.63;30;0.0534707604616519
"64";"SAR1_63";10;0.5;0.435796426754;39;0.39;30;0.229569211569861
"65";"SAR1_64";10;0.5;0.519075594324;69;0.69;30;0.0388980495579717
"66";"SAR1_65";10;0.5;0.401901799213;96;0.96;30;0.00701936674232839
"67";"SAR1_66";10;0.5;0.361297760737;71;0.71;30;0.0373626436127407
"68";"SAR1_67";10;0.5;0.536221951762;73;0.73;30;0.03008472137085
"69";"SAR1_68";10;0.5;0.57275234191;60;0.6;30;0.0639058314394818
"70";"SAR1_69";10;0.5;0.540105868121;94;0.94;30;0.00797563230407682
"71";"SAR1_70";10;0.5;0.555750430517;75;0.75;30;0.0263269122104434
"72";"SAR1_71";10;0.5;0.516488681984;63;0.63;30;0.0561623907370824
"73";"SAR1_72";10;0.5;0.383053864163;47;0.47;30;0.16081204302464
"74";"SAR1_73";10;0.5;0.604845773279;41;0.41;30;0.165730852588952
"75";"SAR1_74";10;0.5;0.439779243714;84;0.84;30;0.0154532508544701
"76";"SAR1_75";10;0.5;0.559652012367;55;0.55;30;0.0859386100592045
"77";"SAR1_76";10;0.5;0.540272534943;87;0.87;30;0.0124653197301467
"78";"SAR1_77";10;0.5;0.552041946792;93;0.93;30;0.00849676362380285
"79";"SAR1_78";10;0.5;0.646727125265;54;0.54;30;0.0822985087170873
"80";"SAR1_79";10;0.5;0.494346862662;90;0.9;30;0.0103554930623229
"81";"SAR1_80";10;0.5;0.64869134545;70;0.7;30;0.0337283812369658
"82";"SAR1_81";10;0.5;0.436769496185;34;0.34;30;0.288247840254102
"83";"SAR1_82";10;0.5;0.636310398383;83;0.83;30;0.0156339386802831
"84";"SAR1_83";10;0.5;0.304892036806;91;0.91;30;0.00988723307507046
"85";"SAR1_84";10;0.5;0.403583117332;89;0.89;30;0.0111865789219499
"86";"SAR1_85";10;0.5;0.56697956544;88;0.88;30;0.0116467483176012
"87";"SAR1_86";10;0.5;0.478357789603;90;0.9;30;0.0103752226018431
"88";"SAR1_87";10;0.5;0.466175425401;43;0.43;30;0.181765621007082
"89";"SAR1_88";10;0.5;0.592026779736;63;0.63;30;0.0528438515365531
"90";"SAR1_89";10;0.5;0.367926670343;90;0.9;30;0.0105105700515264
"91";"SAR1_90";10;0.5;0.523154024386;66;0.66;30;0.0466147651420262
"92";"SAR1_91";10;0.5;0.486975815608;50;0.5;30;0.122546062590637
"93";"SAR1_92";10;0.5;0.477253103375;79;0.79;30;0.0211358046751564
"94";"SAR1_93";10;0.5;0.491721359042;58;0.58;30;0.0772290052121124
"95";"SAR1_94";10;0.5;0.395863471339;88;0.88;30;0.01196949654251
"96";"SAR1_95";10;0.5;0.0364660577966;67;0.67;30;0.05671382324875
"97";"SAR1_96";10;0.5;0.616981855632;85;0.85;30;0.0139022239335597
"98";"SAR1_97";10;0.5;0.437362865028;49;0.49;30;0.136417893838485
"99";"SAR1_98";10;0.5;0.316565304089;95;0.95;30;0.00751756201011172
"100";"SAR1_99";10;0.5;0.574088159291;56;0.56;30;0.0800636880556015
"101";"SAR1_100";10;0.5;0.452933708886;35;0.35;30;0.27026607237841
"102";"SAR1_101";10;0.5;0.370657871559;96;0.96;30;0.00702017608865125
"103";"SAR1_102";10;0.5;0.15124446789;54;0.54;30;0.126739666140292
"104";"SAR1_103";10;0.5;0.417127708289;68;0.68;30;0.044036011865121
"105";"SAR1_104";10;0.5;0.227692393466;62;0.62;30;0.0725861390484624
"106";"SAR1_105";10;0.5;0.349427259536;66;0.66;30;0.052109527950771
"107";"SAR1_106";10;0.5;0.470490217698;87;0.87;30;0.0126246447246034
"108";"SAR1_107";10;0.5;0.376528758488;66;0.66;30;0.0512781074955255
"109";"SAR1_108";10;0.5;0.445324244557;82;0.82;30;0.0175846973124547
"110";"SAR1_109";10;0.5;0.419478639275;67;0.67;30;0.0468681213723615
"111";"SAR1_110";10;0.5;0.486264715945;88;0.88;30;0.0117999095397622
"112";"SAR1_111";10;0.5;0.508695214769;85;0.85;30;0.014253363518195
"113";"SAR1_112";10;0.5;0.542051983018;49;0.49;30;0.121525552240126
"114";"SAR1_113";10;0.5;0.448890760333;36;0.36;30;0.259774240798135
"115";"SAR1_114";10;0.5;0.505299823261;47;0.47;30;0.141096324233114
"116";"SAR1_115";10;0.5;0.507529201334;61;0.61;30;0.0637669147361023
"117";"SAR1_116";10;0.5;0.45462603178;88;0.88;30;0.0118595016021993
"118";"SAR1_117";10;0.5;0.502288872722;93;0.93;30;0.00852226533189808
"119";"SAR1_118";10;0.5;0.547672348467;85;0.85;30;0.0141276718346936
"120";"SAR1_119";10;0.5;0.42873170025;74;0.74;30;0.0297563883560524
"121";"SAR1_120";10;0.5;0.527499298415;59;0.59;30;0.0705457079904708
"122";"SAR1_121";10;0.5;0.528218382641;55;0.55;30;0.0887551704923014
"123";"SAR1_122";10;0.5;0.500166581623;38;0.38;30;0.221671719865708
"124";"SAR1_123";10;0.5;0.572036765507;57;0.57;30;0.0758570634199963
"125";"SAR1_124";10;0.5;0.587244291921;43;0.43;30;0.154956435415729
"126";"SAR1_125";10;0.5;0.475639723427;52;0.52;30;0.110919191135461
"127";"SAR1_126";10;0.5;0.629710308341;86;0.86;30;0.013035939300204
"128";"SAR1_127";10;0.5;0.330328593286;77;0.77;30;0.0254173036499805
"129";"SAR1_128";10;0.5;0.478388458083;49;0.49;30;0.130658742524932
"130";"SAR1_129";10;0.5;0.26934057753;75;0.75;30;0.0297667241821601
"131";"SAR1_130";10;0.5;0.618786741511;68;0.68;30;0.038681020441342
"132";"SAR1_131";10;0.5;0.549316488774;97;0.97;30;0.00658033030527831
"133";"SAR1_132";10;0.5;0.509416405776;56;0.56;30;0.0853835517918435
"134";"SAR1_133";10;0.5;0.422194610313;88;0.88;30;0.011920319952316
"135";"SAR1_134";10;0.5;0.495847222515;97;0.97;30;0.00657526746720173
"136";"SAR1_135";10;0.5;0.6085713775;84;0.84;30;0.0148164704292949
"137";"SAR1_136";10;0.5;0.282221541476;52;0.52;30;0.131390661305179
"138";"SAR1_137";10;0.5;0.503830133594;55;0.55;30;0.090924583411116
"139";"SAR1_138";10;0.5;0.361281684721;84;0.84;30;0.0157425888629981
"140";"SAR1_139";10;0.5;0.63046780474;65;0.65;30;0.045623877210069
"141";"SAR1_140";10;0.5;0.425717147333;78;0.78;30;0.0229734400845151
"142";"SAR1_141";10;0.5;0.484031466434;45;0.45;30;0.16062376433894
"143";"SAR1_142";10;0.5;0.584230182917;42;0.42;30;0.163199923918805
"144";"SAR1_143";10;0.5;0.521975003167;42;0.42;30;0.178064894830572
"145";"SAR1_144";10;0.5;0.360671424871;73;0.73;30;0.0327637394455402
"146";"SAR1_145";10;0.5;0.347821597715;86;0.86;30;0.0138008351489913
"147";"SAR1_146";10;0.5;0.4158371689;39;0.39;30;0.234972290090904
"148";"SAR1_147";10;0.5;0.477397568352;56;0.56;30;0.0879812280142221
"149";"SAR1_148";10;0.5;0.501681888251;86;0.86;30;0.013387592880457
"150";"SAR1_149";10;0.5;0.383722636644;60;0.6;30;0.0746088731213184
"151";"SAR1_150";10;0.5;0.520370687852;47;0.47;30;0.138582880008747
"152";"SAR1_151";10;0.5;0.499131617055;87;0.87;30;0.0125594466848521
"153";"SAR1_152";10;0.5;0.3105182936;45;0.45;30;0.191769573013819
"154";"SAR1_153";10;0.5;0.519033868697;98;0.98;30;0.00616571218750358
"155";"SAR1_154";10;0.5;0.467382946007;33;0.33;30;0.289213439914613
"156";"SAR1_155";10;0.5;0.60664365956;92;0.92;30;0.00901602044684412
"157";"SAR1_156";10;0.5;0.538206957886;52;0.52;30;0.103823551783202
"158";"SAR1_157";10;0.5;0.348577594974;34;0.34;30;0.31851181423062
"159";"SAR1_158";10;0.5;0.510824571689;93;0.93;30;0.00851789533877991
"160";"SAR1_159";10;0.5;0.335679606158;82;0.82;30;0.018124920309587
"161";"SAR1_160";10;0.5;0.398865750175;72;0.72;30;0.0343599538963821
"162";"SAR1_161";10;0.5;0.592884214445;57;0.57;30;0.0742708192189106
"163";"SAR1_162";10;0.5;0.459700519579;92;0.92;30;0.00912250742311375
"164";"SAR1_163";10;0.5;0.648816057225;56;0.56;30;0.0738537255702533
"165";"SAR1_164";10;0.5;0.452695590162;94;0.94;30;0.00800420273177759
"166";"SAR1_165";10;0.5;0.57353448281;91;0.91;30;0.00962990857559286
"167";"SAR1_166";10;0.5;0.701885006431;97;0.97;30;0.00659475370227884
"168";"SAR1_167";10;0.5;0.536767070023;86;0.86;30;0.0132918949066106
"169";"SAR1_168";10;0.5;0.418945740652;60;0.6;30;0.0726756127629932
"170";"SAR1_169";10;0.5;0.384231397616;63;0.63;30;0.0617852972384978
"171";"SAR1_170";10;0.5;0.520194563462;65;0.65;30;0.0496365572552535
"172";"SAR1_171";10;0.5;0.425384893573;78;0.78;30;0.0229762398637248
"173";"SAR1_172";10;0.5;0.534097651694;54;0.54;30;0.0933363949291273
"174";"SAR1_173";10;0.5;0.454204238352;98;0.98;30;0.00615286090501465
"175";"SAR1_174";10;0.5;0.467027493481;88;0.88;30;0.0118361736000936
"176";"SAR1_175";10;0.5;0.577848480225;63;0.63;30;0.0534707604616519
"177";"SAR1_176";10;0.5;0.435796426754;39;0.39;30;0.229569211569861
"178";"SAR1_177";10;0.5;0.519075594324;69;0.69;30;0.0388980495579717
"179";"SAR1_178";10;0.5;0.401901799213;96;0.96;30;0.00701936674232839
"180";"SAR1_179";10;0.5;0.361297760737;71;0.71;30;0.0373626436127407
"181";"SAR1_180";10;0.5;0.536221951762;73;0.73;30;0.03008472137085
"182";"SAR1_181";10;0.5;0.57275234191;60;0.6;30;0.0639058314394818
"183";"SAR1_182";10;0.5;0.540105868121;94;0.94;30;0.00797563230407682
"184";"SAR1_183";10;0.5;0.555750430517;75;0.75;30;0.0263269122104434
