"";"Var";"N";"RhoReference";"RhoEstimated";"k";"Theta";"r";"SMAUP"
"1";"SAR1_0";10;-0.7;-0.721658341;65;0.65;30;0.0788398102562458
"2";"SAR1_1";10;-0.7;-0.776344896702;93;0.93;30;0.0091511302181289
"3";"SAR1_2";10;-0.7;-0.734738234163;70;0.7;30;0.0555313255106197
"4";"SAR1_3";10;-0.7;-0.576207605618;74;0.74;30;0.0403836718473034
"5";"SAR1_4";10;-0.7;-0.586031913371;98;0.98;30;0.00594279419631729
"6";"SAR1_5";10;-0.7;-0.673417472637;82;0.82;30;0.0222928929595526
"7";"SAR1_6";10;-0.7;-0.803004225;74;0.74;30;0.0418768438975117
"8";"SAR1_7";10;-0.7;-0.738485031682;87;0.87;30;0.0150734881547697
"9";"SAR1_8";10;-0.7;-0.55012987811;82;0.82;30;0.0218699587404447
"10";"SAR1_9";10;-0.7;-0.659154940755;77;0.77;30;0.0327093862393358
"11";"SAR1_10";10;-0.7;-0.747157652749;96;0.96;30;0.00704906831189555
"12";"SAR1_11";10;-0.7;-0.771595748628;90;0.9;30;0.0118006830364968
"13";"SAR1_12";10;-0.7;-0.664451260111;78;0.78;30;0.0303395248976405
"14";"SAR1_13";10;-0.7;-0.614790652442;75;0.75;30;0.0377409073273094
"15";"SAR1_14";10;-0.7;-0.68739607493;75;0.75;30;0.0381998253076282
"16";"SAR1_15";10;-0.7;-0.794896752116;72;0.72;30;0.0484559134419024
"17";"SAR1_16";10;-0.7;-0.600777830495;83;0.83;30;0.0203847281324719
"18";"SAR1_17";10;-0.7;-0.730409154502;87;0.87;30;0.0150593372174217
"19";"SAR1_18";10;-0.7;-0.562672173641;86;0.86;30;0.0159868038981003
"20";"SAR1_19";10;-0.7;-0.702973508228;97;0.97;30;0.00646068515339182
"21";"SAR1_20";10;-0.7;-0.736912875571;64;0.64;30;0.0846108192129717
"22";"SAR1_21";10;-0.7;-0.612142600842;78;0.78;30;0.0300783313094377
"23";"SAR1_22";10;-0.7;-0.724726502522;64;0.64;30;0.0844771203818163
"24";"SAR1_23";10;-0.7;-0.815668781958;79;0.79;30;0.0287492110220848
"25";"SAR1_24";10;-0.7;-0.446820011867;83;0.83;30;0.019894631616679
"26";"SAR1_25";10;-0.7;-0.593191854067;82;0.82;30;0.0220204950858513
"27";"SAR1_26";10;-0.7;-0.673847613653;86;0.86;30;0.0162194217240749
"28";"SAR1_27";10;-0.7;-0.698005396817;67;0.67;30;0.0683646818339344
"29";"SAR1_28";10;-0.7;-0.759218454245;79;0.79;30;0.0285151528454419
"30";"SAR1_29";10;-0.7;-0.669525716813;72;0.72;30;0.0475517602363964
"31";"SAR1_30";10;-0.7;-0.719809278652;74;0.74;30;0.0413645803316982
"32";"SAR1_31";10;-0.7;-0.638534096255;79;0.79;30;0.0279850191473607
"33";"SAR1_32";10;-0.7;-0.758472111353;62;0.62;30;0.0971186884181371
"34";"SAR1_33";10;-0.7;-0.677063061534;85;0.85;30;0.0175836999733092
"35";"SAR1_34";10;-0.7;-0.642963051722;96;0.96;30;0.00704638045504027
"36";"SAR1_35";10;-0.7;-0.809514819669;90;0.9;30;0.0118399503048326
"37";"SAR1_36";10;-0.7;-0.550820695125;92;0.92;30;0.0098214098577626
"38";"SAR1_37";10;-0.7;-0.718760293641;70;0.7;30;0.0554007323544169
"39";"SAR1_38";10;-0.7;-0.487949196048;95;0.95;30;0.00764912549982472
"40";"SAR1_39";10;-0.7;-0.660637560982;59;0.59;30;0.11699532836828
"41";"SAR1_40";10;-0.7;-0.696608096625;88;0.88;30;0.0138242429847849
"42";"SAR1_41";10;-0.7;-0.66982373444;65;0.65;30;0.0782671522426759
"43";"SAR1_42";10;-0.7;-0.810356448811;94;0.94;30;0.00840532158382043
"44";"SAR1_43";10;-0.7;-0.686259291716;92;0.92;30;0.00991028389783363
"45";"SAR1_44";10;-0.7;-0.713293340209;70;0.7;30;0.0553554940126693
"46";"SAR1_45";10;-0.7;-0.712731563825;71;0.71;30;0.0514928348446519
"47";"SAR1_46";10;-0.7;-0.783350461392;80;0.8;30;0.0264862234946234
"48";"SAR1_47";10;-0.7;-0.765526690388;91;0.91;30;0.0108429679173685
"49";"SAR1_48";10;-0.7;-0.60635539667;96;0.96;30;0.00704543584753363
"50";"SAR1_49";10;-0.7;-0.675695253761;89;0.89;30;0.0127068771168891
"51";"SAR1_50";10;-0.7;-0.730055190497;72;0.72;30;0.048002979252886
"52";"SAR1_51";10;-0.7;-0.736372839469;76;0.76;30;0.0357113774665229
"53";"SAR1_52";10;-0.7;-0.626544783427;77;0.77;30;0.0325325527483635
"54";"SAR1_53";10;-0.7;-0.783565471828;77;0.77;30;0.033346007843237
"55";"SAR1_54";10;-0.7;-0.650242739602;90;0.9;30;0.0116733444323139
